Industry_Name,Number_of_Firms,ROE,Retention_Ratio,Fundamental_Growth_
Advertising,18,0.24849955012358674,0.9899793761040259,0.2460094295934795
Aerospace/Defense,16,0.257568894780948,0.6926325844419277,0.17840060926397897
Apparel,344,0.12017638777186537,0.7292412455834518,0.08763757870847501
Auto & Truck,12,0.3763702351441578,0.7638702563112625,0.28749802798749796
Auto Parts,109,0.13531841999548025,0.7356799557009106,0.09955104922779212
Bank (Money Center),34,0.16003542007530566,0.8710402176879253,0.1393972871401728
Banks (Regional),5,0.16502318879733438,0.9092360163710778,0.1500450267909406
Beverage (Alcoholic),19,0.15282765534454246,0.8573490583901705,0.13102664640562098
Beverage (Soft),5,0.40215554558390065,0.8868393872649668,0.35664737763083487
Broadcasting,19,0.05502401602585991,0.40770121837701423,0.022433358373739443
Brokerage & Investment Banking,170,0.12420793789623032,0.7383364632991443,0.09170724957998244
Building Materials,51,0.15483092827912986,0.8140134653906076,0.12603446047813913
Business & Consumer Services,65,0.18715617909020818,0.6029625110575605,0.11284815970417042
Cable TV,8,-0.16277734330137653,0.9998469811320755,-0.1627524352965808
Chemical (Basic),138,0.12673454327385195,0.7386827198258779,0.09361661712141937
Chemical (Diversified),9,0.16347664657770125,0.7789190434653808,0.12733507318123116
Chemical (Specialty),178,0.14906565422169793,0.6989821756771687,0.10419423530662295
Coal & Related Energy,4,0.46306857237292237,0.47347577422805787,0.21925175082495088
Computer Services,156,0.2844606833385903,0.29997921857410814,0.08533229350296714
Computers/Peripherals,8,0.30476377180944914,0.9028689051846134,0.2751617329935307
Construction Supplies,97,0.10752037884647246,0.844586938533613,0.09081030759991641
Diversified,15,0.12938808321183087,0.7653369822309085,0.09902548514198432
Drugs (Biotechnology),8,0.04729198609604251,0.6236649181571131,0.02949435263807568
Drugs (Pharmaceutical),167,0.1416047740814535,0.726653784585429,0.10289764500165284
Education,29,-0.07307462111017832,0.9995357350691215,-0.07304069512625963
Electrical Equipment,111,0.11965951376150141,0.7950384677984776,0.09513391647845493
Electronics (Consumer & Office),7,0.19421411366781124,0.9999736126870201,0.1942089888792088
Electronics (General),35,0.21452697597492132,0.9090878176509738,0.1950238604163041
Engineering/Construction,155,0.12018930036106845,0.6982080289215817,0.08391713450256555
Entertainment,65,0.305811268529741,0.9676727260184195,0.2959252238653254
Environmental & Waste Services,14,0.14339688041594453,0.9170896785109983,0.13150779896013864
Farming/Agriculture,59,0.16606563930640256,0.8575815141369383,0.14241482240250336
Financial Svcs. (Non-bank & Insurance),274,0.19189096580368276,0.7950298137572207,0.15255903880459512
Food Processing,192,0.12630226357586943,0.44122242292601255,0.05572739075598497
Food Wholesalers,34,0.08195313818584755,0.9847779369627507,0.08070564235028219
Furn/Home Furnishings,43,0.08708145816244338,0.7335261096661136,0.06387652322994952
Green & Renewable Energy,16,0.12000453397240758,0.6445538913626891,0.07734938935308133
Healthcare Products,11,0.16582556767685164,0.9045320629348712,0.14999454281808872
Healthcare Support Services,37,0.12238493262141603,0.6255721859559273,0.0765606098280481
Heathcare Information and Technology,14,0.07507182487316033,0.5206293706293705,0.039084596935711785
Homebuilding,1,0.008445945945945946,1,0.008445945945945946
Hospitals/Healthcare Facilities,32,0.15472897987998593,0.903054017454657,0.13972862689728208
Hotel/Gaming,60,0.11218356830774188,0.8851988874686736,0.09930476985827906
Household Products,37,0.21477100785934686,0.33695733796404936,0.07236866708014145
Information Services,20,0.1786965618943939,0.7473190290607745,0.13354334113141705
Insurance (Life),7,0.6245589500860584,0.9648347198539416,0.6025961596385542
Insurance (Prop/Cas.),2,0.053283787323205864,0.6665388632872504,0.03551571503404924
Investments & Asset Management,102,0.12753101657130717,0.8131080901221621,0.10369650131563338
Machinery,161,0.2140228743655098,0.8534455905736535,0.18265687840914335
Metals & Mining,42,0.12293445578272391,-1.1782922459912983,-0.1448527160139437
Office Equipment & Services,17,0.4856744334941578,0.9434086629001883,0.45818946790752985
Oil/Gas (Integrated),1,0.15125601750547046,0.6714117624365874,0.10155506929248724
Oil/Gas (Production and Exploration),8,0.2624009890084949,0.40934568661270154,0.10741271301353429
Oil/Gas Distribution,11,0.38632749591042237,0.8218212885999949,0.3174921605107126
Oilfield Svcs/Equip.,23,0.15393606292550888,0.9276565620762235,0.14279979891302677
Packaging & Container,86,0.056477351044989674,0.7223098261580347,0.04079414561517279
Paper/Forest Products,49,0.2101030288690183,0.9218792802115856,0.19368962902404457
Power,32,0.15573897583323204,0.6360211346595723,0.09905328012017196
Publishing & Newspapers,22,0.09002085520158236,0.7902414873366397,0.07113821450581471
R.E.I.T.,4,0.013754185267857145,-5.183791459580078,-0.071298828125
Real Estate (Development),150,0.055886195608896655,0.9046209288485699,0.05055582218153296
Real Estate (General/Diversified),17,0.042325557449792245,0.5169281721937047,0.021879273049600745
Real Estate (Operations & Services),32,0.14066570292345448,0.5699805467390193,0.08017671425973906
Recreation,12,0.38580989259050763,0.9613128573955079,0.37088401025763484
Reinsurance,1,0.10186804908257466,0.8094760591626974,0.08245974692595476
Restaurant/Dining,16,-0.011631127187838944,0.9985185556062941,-0.01161389631967404
Retail (Automotive),4,0.06596241639239835,0.9370137882933633,0.06180769366882542
Retail (Building Supply),4,0.02962755387985938,0.7046431642304385,0.020876853314311918
Retail (Distributors),253,0.09557932795510399,0.8926701904326658,0.0853208168871089
Retail (General),11,-0.023050464510261093,0.9948848706603132,-0.022932558402951247
Retail (Grocery and Food),8,0.15173308137753716,1,0.15173308137753716
Retail (Special Lines),43,0.06127387015076458,0.7795943082046624,0.047768760411207624
Rubber& Tires,16,0.13379503621842315,0.8599664870119037,0.11505924727638778
Semiconductor,8,0.021819810596365494,0.9384164222873901,0.02047606859482979
Semiconductor Equip,1,0.03733075435203095,1,0.03733075435203095
Shipbuilding & Marine,23,0.1301238459500404,0.9550884666990357,0.1242797845094056
Shoe,12,0.12005714775182753,0.6094366291983577,0.07316722343704296
Software (Entertainment),5,0.018253957469936813,0.23477743040047627,0.004285617229431344
Software (Internet),6,0.22665696881534683,0.9771359807460891,0.22147467951631966
Software (System & Application),73,0.16137661366614622,0.40836576243823286,0.06590068387947595
Steel,168,0.09585435734350681,0.7002833020875856,0.06712520587999436
Telecom. Equipment,21,0.014688167028891972,0.4968110738413566,0.007297244034385029
Tobacco,6,0.2985833931718629,0.07443051403409195,0.022223715435825138
Transportation,48,-0.007996285845659635,0.998519254183701,-0.007984445378847743
Transportation (Railroads),1,0.10515463917525775,0.3837535014005603,0.04035346097201769
Trucking,12,0.27036454070389726,0.8758790927297285,0.23680664861801928
Utility (Water),1,0.1604009967477059,0.6911725157824322,0.1108647604561216
Total Market,4446,0.1604009967477059,0.6911725157824322,0.1108647604561216
Total Market (without financials),3850,0.15260675601052445,0.5951809305687378,0.09082863105342026
