Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Advertising,18,119.874,38.873999999999995,0.2867202280864987,0,0
Aerospace/Defense,16,0.8200000000000001,0.775,4.202757418891908e-05,0,0
Air Transport,5,52.707,-0.9930000000000021,0.003506203226342924,0,0
Apparel,344,206.761,-1.2319999999999993,0.006006290481115601,3.044,0.014722312234899232
Auto & Truck,12,468.7,17.599999999999966,0.004968974389691843,14.7,0.03136334542351184
Auto Parts,109,1134.868,382.8249999999998,0.0317087706602478,4.412999999999999,0.0038885579644504908
Bank (Money Center),34,277.2699999999999,-24.220000000000084,8.896847967445499e-05,0,0
Beverage (Alcoholic),19,1.034,-2.3390000000000004,0.00030292377102009724,0,0
Beverage (Soft),5,0.131,0.05800000000000001,0.0053938320912422285,0,0
Broadcasting,19,576.059,-13.920000000000073,0.04680122808143554,0,0
Brokerage & Investment Banking,170,37.866,7.731000000000002,0.001767817486313491,0.258,0.006813500237680241
Building Materials,51,58.123999999999995,4.30899999999999,0.011064807861183907,0,0
Business & Consumer Services,65,417.214,5.4500000000000455,0.07455173076792494,4.131,0.009901393529459703
Cable TV,8,40.407,-90.89300000000001,0.020113181757318757,75.217,1.8614843962679735
Chemical (Basic),138,364.37,5.341000000000008,0.01459369942450271,0,0
Chemical (Diversified),9,171.064,-3.326999999999998,0.02431820766518822,0,0
Chemical (Specialty),178,2804.041,179.3800000000001,0.05781813587776702,3.535,0.001260680567794836
Computer Services,156,9988.997,734.3779999999988,0.12469341096674944,67.39699999999999,0.006747123860383579
Construction Supplies,97,5020.476000000001,1012.0989999999997,0.0492800939429042,108.76999999999998,0.0216652763602495
Diversified,15,325.1,-1.6000000000000227,0.013572803625203585,0,0
Drugs (Biotechnology),8,1966,1962.76,0.28671861339028426,0,0
Drugs (Pharmaceutical),167,3444.8429999999994,192.51699999999937,0.058883506552460385,98.36800000000001,0.028555147505996654
