Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Advertising,18,0.24168750000000003,0.24346923076923077,0.049867499999999995,0.48286611111111116
Aerospace/Defense,16,0.18599200000000005,0.29940000000000005,0.1124,0.2715946666666666
Air Transport,5,0.2537466666666667,0.36992500000000006,0.17942,0.31556399999999996
Apparel,344,0.1975037593984963,0.27292123674911684,0.0792479518072289,0.4518495882352941
Auto & Truck,12,0.09165999999999999,0.37247272727272723,0.23122727272727275,0.14455909090909091
Auto Parts,109,0.1565776811594203,0.4263347916666668,0.11337359999999996,0.32854361904761914
Bank (Money Center),34,0.006902999999999999,0.17611416666666668,0.25534588235294126,0.04023352941176471
Banks (Regional),5,0.05292249999999999,0.34784,0.26264,0.130698
Beverage (Alcoholic),19,0.17224272727272727,0.4094235294117647,0.14642499999999997,0.3023168421052631
Beverage (Soft),5,0.21573333333333333,0.17256,0.1011,0.5693400000000001
Broadcasting,19,0.2433428571428572,0.44284375,0.12796666666666665,0.33057647058823525
Brokerage & Investment Banking,170,0.17340307692307697,0.2865318543046358,0.08900744444444447,0.42226360946745567
Building Materials,51,0.18582536585365855,0.25366097560975615,0.10614258064516129,0.41313199999999994
Business & Consumer Services,65,0.25728809523809526,0.2714426086956521,0.10315588235294121,0.4522745161290322
Cable TV,8,0.11779999999999999,0.5318714285714286,0.08219333333333333,0.08855714285714285
Chemical (Basic),138,0.1604358333333334,0.3580708181818183,0.07359651162790694,0.367151590909091
Chemical (Diversified),9,0.01892833333333333,0.4633333333333334,0.13960375,0.18584555555555554
Chemical (Specialty),178,0.1610659677419355,0.33510549295774666,0.09752018181818185,0.37900299401197607
Coal & Related Energy,4,0.34214999999999995,0.3048,0.1108,0.3121666666666667
Computer Services,156,0.20046150943396226,0.3009537499999999,0.11841459459459458,0.43655411764705865
Computers/Peripherals,8,0.31926,0.2522166666666667,0.07921666666666667,0.47253874999999995
Construction Supplies,97,0.16148249999999995,0.3666860465116279,0.11786485714285717,0.33456180851063844
Diversified,15,0.08496333333333334,0.48369166666666663,0.08896153846153844,0.20461769230769228
Drugs (Biotechnology),8,0.2607999999999999,0.20725,0.0606525,0.4090375
Drugs (Pharmaceutical),167,0.14907033057851232,0.30193949275362314,0.10167862385321101,0.3893339506172841
Education,29,0.11901647058823528,0.26544260869565217,0.07775235294117645,0.41169107142857136
Electrical Equipment,111,0.20557260273972602,0.34175977777777766,0.09955268656716414,0.38081457142857156
Electronics (Consumer & Office),7,0.16232166666666667,0.28624000000000005,0.10928,0.48457142857142854
Electronics (General),35,0.19586260869565217,0.2613251612903225,0.10043099999999999,0.4517970588235294
Engineering/Construction,155,0.21240851485148526,0.2802404201680673,0.1028337113402062,0.40198586666666664
Entertainment,65,0.21404650000000003,0.28203600000000006,0.07205942857142858,0.43253984375000015
Environmental & Waste Services,14,0.2611045454545455,0.20431818181818184,0.0672125,0.5211
Farming/Agriculture,59,0.24821805555555557,0.23836777777777773,0.0736,0.4565394545454548
Financial Svcs. (Non-bank & Insurance),274,0.131743125,0.34320050420168063,0.12684078431372553,0.34656574712643673
Food Processing,192,0.1657504511278196,0.31215103658536586,0.07635060000000002,0.39874320855614953
Food Wholesalers,34,0.1736227272727273,0.2185126666666667,0.04174153846153846,0.4607973529411765
Furn/Home Furnishings,43,0.2581490000000001,0.36001999999999995,0.12931642857142855,0.41343093023255817
Green & Renewable Energy,16,0.17269333333333337,0.41973333333333335,0.15802499999999997,0.24836999999999995
Healthcare Products,11,0.30794,0.17672000000000002,0.06394,0.6709454545454545
Healthcare Support Services,37,0.27672120000000006,0.2448289473684211,0.125876,0.4957677142857142
Heathcare Information and Technology,14,0.10014300000000002,0.35989,0.1417111111111111,0.3866414285714286
Homebuilding,1,0.731,0.04,0.1209,0.7767000000000001
Hospitals/Healthcare Facilities,32,0.22092208333333335,0.2576004347826087,0.16876049999999998,0.435916875
Hotel/Gaming,60,0.12110651162790699,0.40006851851851843,0.1339818181818182,0.32380258620689645
Household Products,37,0.2179734615384615,0.2622677777777778,0.14404,0.46122756756756766
Information Services,20,0.1537292857142857,0.45689375000000004,0.124745,0.32610100000000003
Insurance (General),2,0.0467,0.14025,0.22625,0.051050000000000005
Insurance (Life),7,0.0009166666666666668,0.4168571428571429,0.26776714285714287,0.030254285714285723
Insurance (Prop/Cas.),2,0,0.30829999999999996,0.1547,0.00183
Investments & Asset Management,102,0.12930901960784313,0.3961052747252747,0.13783169811320753,0.30188999999999994
Machinery,161,0.18745889830508475,0.33463333333333334,0.10321128205128204,0.40787516339869306
Metals & Mining,42,0.18504482758620694,0.31156448275862075,0.08849238095238095,0.46738299999999994
Office Equipment & Services,17,0.22816153846153844,0.26065307692307693,0.03825714285714286,0.44154875000000005
Oil/Gas (Integrated),1,0,0.10300000000000001,0.2284,0
