Industry_Name,Number_of_firms,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Advertising,18,0.000987110901151656,37.260999999999996,38.0153618909337,0.019843606726616732,0.011249856965198538,0.011475000713346518,0.03167342733668136,0.032293958714440296,285.62300000000005,286.0151276218133,0.2914098804198082,0.2915231400352446,0.22792366767957925,0.2282365807354681,0.7543618909337013,0
Aerospace/Defense,16,0.0015867719322510017,94.99399999999999,95.10350512499637,0.0011514310103761586,0.0017981342289389783,0.0018002033116665493,0.014383234448659585,0.014399576091376645,1225.3090000000002,1225.3310989750007,0.38401933439818536,0.384009335325484,0.16453295502534848,0.16453592244798218,0.10950512499638876,0
Air Transport,5,0.12427877522422426,10979.194,10979.194,0,0.3480409719310661,0.3480409719310661,1.3894910318095313,1.3894910318095313,937.7000000000002,937.7000000000002,0.14754772472378994,0.14754772472378994,0.10061255956334342,0.10061255956334342,0,0
Apparel,344,0.000996715924424494,13158.723000000007,13159.906590439381,8.993912162216073e-05,0.1319730823402999,0.13198338622763417,0.5030546331355097,0.5030771180816735,2104.6209999999983,2105.235281912123,0.08630790596161678,0.08632820034335682,0.028803213906248893,0.028811620784881038,1.183590439373802,0
Auto & Truck,12,0.003593209970558316,30619.55,30619.55,0,0.1653139999854228,0.1653139999854228,0.4867094110414848,0.4867094110414848,9291.754,9291.754,0.17855156697387448,0.17855156697387448,0.09753106155798344,0.09753106155798344,0,0
Auto Parts,109,0.0020543935849421766,10222.145999999999,10223.163937265903,9.957164652260059e-05,0.10989617357352781,0.10990591443620171,0.3856259180978011,0.3856495099130583,3210.223999999999,3210.3974125468185,0.13062554551977182,0.13062574176342046,0.07683509555452862,0.07683924609654852,1.0179372659040382,0
Bank (Money Center),34,0.013557340129245884,308944.3,312181.24679550173,0.010368806034086183,0.3639538498710676,0.3663700748616175,0.5319428125529455,0.5345370245344881,0,29.50964089965322,0,7.825859036490694e-05,0,0.00022597461564055293,3236.9467955017462,0
Banks (Regional),5,0.02790865674037806,3284,3474.153223054066,0.05473368928930134,0.19750175911280574,0.20657530880883568,0.3948016975030355,0.4083274359583537,0,12.596355389186797,0,0.0016023533302540712,0,0.00505532583745507,190.15322305406607,0
Beverage (Alcoholic),19,0.009229685862058848,323.217,323.217,0,0.01588091941559915,0.01588091941559915,0.13237012376692778,0.13237012376692778,364.57400000000007,364.57400000000007,0.1645241309499795,0.1645241309499795,0.09724592490244041,0.09724592490244041,0,0
Beverage (Soft),5,0.005416181792201478,458.596,458.596,0,0.023027891911174027,0.023027891911174027,0.36276163204606937,0.36276163204606937,352.46799999999996,352.46799999999996,0.35584933296578297,0.35584933296578297,0.1858480105075614,0.1858480105075614,0,0
Broadcasting,19,0.003993771535609395,856.289,856.289,0,0.08123999844785304,0.08123999844785304,0.0789276358947553,0.0789276358947553,237.87099999999998,237.87099999999998,0.060111566719555795,0.060111566719555795,0.061120918030428,0.061120918030428,0,0
Brokerage & Investment Banking,170,0.003112631174235967,9269.226,9269.325471278176,1.073123157493934e-05,0.38526058612629366,0.3852631276728618,0.5919178270267854,0.5919204191790686,38.520999999999994,38.561105744364966,0.0036643369709394294,0.003668111875471863,0.006722829574586133,0.006729828979698347,0.09947127817576984,0
Building Materials,51,0.0028562939766083578,1062.21,1062.6030049666558,0.00036985117190414216,0.05739919570553011,0.05741921330720681,0.27876856941526607,0.2788429502953846,476.36100000000005,476.3993990066689,0.12820617307180335,0.128200390601574,0.08185700005962786,0.08186359847446699,0.39300496665578066,0
Business & Consumer Services,65,0.0041614564504945505,640.187,640.4249442716712,0.0003715412302401149,0.027736937920248915,0.027746961116339414,0.17657111351557686,0.17662514982207045,638.539,638.5824111456658,0.2579117273910379,0.25790007726779485,0.08409292194190765,0.08409863900865515,0.23794427167115373,0
Cable TV,8,0.06831736403359974,145.3,145.3,0,0.08631464390605546,0.08631464390605546,0.1407837965892146,0.1407837965892146,25.924999999999997,25.924999999999997,0.020304500852436017,0.020304500852436017,0.02296408036940945,0.02296408036940945,0,0
Chemical (Basic),138,0.0019823883725840715,5597.236,5597.257483598886,3.838236663095378e-06,0.08782697575688535,0.08782728325214366,0.2490709959020047,0.2490717137872668,2796.555,2796.5637032802224,0.11853281452142223,0.11853304726223836,0.11066247710026243,0.11066282149776162,0.02148359888633422,0
Chemical (Diversified),9,0.0018754038855508656,988.19,988.19,0,0.02978163230432664,0.02978163230432664,0.1919751179701175,0.1919751179701175,814.69,814.69,0.14161843656874168,0.14161843656874168,0.11201413427561838,0.11201413427561838,0,0
Chemical (Specialty),178,0.0016813697864272864,10334.507999999998,10338.281439003149,0.00036499673813434556,0.0749399777253425,0.07496528929728893,0.28430292536465956,0.28437721239851615,5186.658,5186.85731219937,0.1458892274822671,0.14587498368726268,0.1039191836522722,0.10392317704475162,3.7734390031509975,0
Coal & Related Energy,4,0.12611112743039776,761.11,761.11,0,0.024792317798484134,0.024792317798484134,0.07647034178307283,0.07647034178307283,3864.279,3864.279,0.932131963193238,0.932131963193238,0.2225727413003323,0.2225727413003323,0,0
Computer Services,156,0.005788844840334884,7848.312000000001,7848.936177187819,7.952379452805884e-05,0.01925442372119001,0.019255925541074997,0.13563726630915823,0.13564659030369572,17527.355000000003,17527.503164562437,0.3686656579687822,0.3686629733335733,0.16921663187676525,0.1692180623212458,0.6241771878185318,0
