Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Advertising,18,0.47611391507233103,0.4717469854523132,0.9885249992866535,0.011475000713346518
Aerospace/Defense,16,0.36152889655525366,0.3610083065402536,0.9981997966883335,0.0018002033116665493
Air Transport,5,0.2951642704047186,0.2159334249156817,0.6519590280689339,0.3480409719310661
Apparel,344,0.3828828471348564,0.3429026375991502,0.8680166137723658,0.13198338622763417
Auto & Truck,12,0.27586541616757027,0.2399026007305615,0.8346860000145773,0.1653139999854228
Auto Parts,109,0.31720224855754675,0.28956427341432334,0.8900940855637983,0.10990591443620171
Bank (Money Center),34,0.2706495720555369,0.19438225317838403,0.6336299251383826,0.3663700748616175
Banks (Regional),5,0.2546751927526404,0.21336724402279333,0.7934246911911643,0.20657530880883568
Beverage (Alcoholic),19,0.2958209822106093,0.29206718886215954,0.9841190805844009,0.01588091941559915
Beverage (Soft),5,0.5365698410910166,0.5267023754284359,0.976972108088826,0.023027891911174027
Broadcasting,19,0.4004638144758087,0.3746064374901638,0.918760001552147,0.08123999844785304
Brokerage & Investment Banking,170,0.41233670226885366,0.2905098712345353,0.6147368723271383,0.3852631276728618
Building Materials,51,0.3708508945521493,0.3538926059838531,0.9425807866927932,0.05741921330720681
Business & Consumer Services,65,0.40838233767444265,0.39933653505209665,0.9722530388836605,0.027746961116339414
Cable TV,8,0.32980523042202203,0.3071899352301879,0.9136853560939445,0.08631464390605546
Chemical (Basic),138,0.33796101582665705,0.31438344742032515,0.9121727167478564,0.08782728325214366
Chemical (Diversified),9,0.22150950133064853,0.21624404509773534,0.9702183676956734,0.02978163230432664
Chemical (Specialty),178,0.326397800285098,0.306940052328552,0.925034710702711,0.07496528929728893
Coal & Related Energy,4,0.3396011708693104,0.3328783482695189,0.9752076822015159,0.024792317798484134
Computer Services,156,0.4041511072893946,0.3979343962848656,0.980744074458925,0.019255925541074997
Computers/Peripherals,8,0.4253075146252079,0.4189591447110394,0.981315243106563,0.018684756893436967
Construction Supplies,97,0.3246916921336131,0.28210176441937934,0.833645523754992,0.16635447624500802
Diversified,15,0.30629082692160886,0.2785632940571539,0.8857648264228564,0.11423517357714363
Drugs (Biotechnology),8,0.3428267327992044,0.24857583375104964,0.6430715403445157,0.3569284596554843
