Industry_Name,Number_of_firms,Price_Sales,Net_Margin,EV_Sales,Pre_tax_Operating_Margin
Advertising,18,2.6133062868670365,0.17256805239907053,2.5860449186458903,0.2282365807354681
Aerospace/Defense,16,7.081083548906668,0.19005558468658335,6.241741421451295,0.16453592244798218
Air Transport,5,2.206727318182257,0.05822373821206425,3.1576983039535786,0.10061255956334342
Apparel,344,1.184482443188878,0.017263813949791332,1.344710533879192,0.028811620784881038
Auto & Truck,12,1.6227721534519528,0.0669360108130928,1.872436028709655,0.09753106155798344
Auto Parts,109,1.9816386987685393,0.04607620375140207,2.1667747573410847,0.07683924609654852
Bank (Money Center),34,4.134454618063027,0.2744385216746064,5.099070489435131,0.00022597461564055293
Banks (Regional),5,5.3552594614118885,0.2941766665328892,5.8664980627900905,0.00505532583745507
Beverage (Alcoholic),19,5.34259093782592,0.07465824128631979,5.3776985268032185,0.09724592490244041
Beverage (Soft),5,10.25879773629754,0.12711734375090625,10.500317156673287,0.1858480105075614
Broadcasting,19,2.4882895105362284,0.04968690660643762,2.379339433322799,0.061120918030428
Brokerage & Investment Banking,170,2.5812763236361547,0.10873004473567414,3.192670468482525,0.006729828979698347
Building Materials,51,2.9974504371476995,0.06176550998388329,3.125581221966391,0.08186359847446699
Business & Consumer Services,65,2.955317449499589,0.06476076465231315,2.926734048082367,0.08409863900865515
Cable TV,8,1.3624108342626735,-0.15818774652615689,1.349479200345103,0.02296408036940945
Chemical (Basic),138,2.3003818759756225,0.0722868777183298,2.474951418034644,0.11066282149776162
Chemical (Diversified),9,4.426310651579106,0.08354209346770977,4.5107113885413375,0.11201413427561838
Chemical (Specialty),178,2.555961295195302,0.063838435907349,2.675589267616237,0.10392317704475162
Coal & Related Energy,4,1.724371798659937,0.20157644309051964,1.5074522502472374,0.2225727413003323
Computer Services,156,3.85947965689351,0.1308229599775485,3.868979637591291,0.1692180623212458
Computers/Peripherals,8,6.163656891955465,0.04875646855888348,6.074185353614551,0.07234122628195076
Construction Supplies,97,2.4258430864983422,0.05862329042324583,2.855855532381463,0.10960873609298911
Diversified,15,4.545459001951835,0.13288038237638042,4.946643137846482,0.12432580159295267
Drugs (Biotechnology),8,2.3156976817469803,0.03626288125241354,3.4509684501703375,0.12729994740358183
Drugs (Pharmaceutical),167,4.404457120226739,0.11704177002716544,4.459102614448041,0.1649693030789162
Education,29,4.0891157793628485,-0.08089791707429875,4.283739378398626,0.09072406441170328
Electrical Equipment,111,4.328198552124547,0.06205322006398711,4.424865785440692,0.0726400465850258
Electronics (Consumer & Office),7,2.6955663816456896,0.021124067736145644,2.7495746981638995,0.033312337655098605
Electronics (General),35,5.604817402939018,0.09569859130178482,5.457515163365977,0.09399101588949166
Engineering/Construction,155,1.819651535212661,0.04412789074852799,2.258549272335552,0.09636650537573407
Entertainment,65,2.68381775519442,0.13698222363761967,3.4219431452174374,0.08923136636382112
Environmental & Waste Services,14,2.7850889259301215,0.06694933083035294,2.7208101745881255,0.09585479546769375
Farming/Agriculture,59,1.8486763992554232,0.081997498095452,1.9953053215235943,0.07573681680930583
Financial Svcs. (Non-bank & Insurance),274,5.846164219595695,0.30622397285058917,14.528076126014085,0.09056818388688345
Food Processing,192,2.6658605196815763,0.04002995481480125,2.7813397658242605,0.07920764176828618
Food Wholesalers,34,0.37413516184828255,0.012319531222422252,0.40833332691259056,0.016119393073481012
Furn/Home Furnishings,43,2.4764278608169596,0.03855092528829076,2.5101987638381593,0.051307442905643055
Green & Renewable Energy,16,15.47640216947827,0.25267519612927625,19.353179349219463,0.4876335329283026
Healthcare Products,11,8.17482256257004,0.14021841833483484,8.165756224043594,0.16106704168406252
Healthcare Support Services,37,6.09326857551705,0.08575599526997141,6.100402546867872,0.13602631009459656
Heathcare Information and Technology,14,9.059448745401058,0.1104116878371039,8.998502847551169,0.1546958813235653
Homebuilding,1,6.4431137724550895,0.029940119760479045,6.451497005988025,0.026347305389221556
