Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Advertising,18,289.74,73.52300000000001,7.320999999999998,0.09957428287746688,0.21771419941052259,0.25375509077103614,0.2537664767177377,0.025267481190032436,0.02526861493751013
Aerospace/Defense,16,1725.4509999999998,310.30300000000005,525.898,1.694788642069203,0.2213284019114042,0.179838778383159,0.17983725607246973,0.3047887190073784,0.3047959615395761
Air Transport,5,688.9,3.317,58.04,17.497738920711484,0.05162846306390795,0.004814922339962259,0.053872364457831334,0.08425025402816083,0.10926204819277109
Apparel,344,2336.0439999999976,487.1229999999999,514.6449999999999,1.056499077235113,0.14426417471486558,0.20852475381456873,0.2532393298066943,0.220306209985771,0.29082906160165795
Auto & Truck,12,8303.907,1761.2160000000003,1732.1310000000003,0.9834858416003488,0.2137366017039548,0.21209486088897678,0.21213160057563724,0.20859229276050423,0.20864631426817243
Auto Parts,109,2967.989,796.4819999999996,744.532,0.934775676035366,0.21128749362807775,0.26835746358898216,0.2665868411492689,0.2508540294455269,0.2542029603043886
Bank (Money Center),34,43919.56,7533.82,12079,1.6033035034019927,0.17289831870547312,0.17153678224463087,0.17063741075730268,0.2750255239351214,0.2750255239351214
Banks (Regional),5,961.9,230.2,228.804,0.9939357080799306,0.1956335347049471,0.23931801642582387,0.2377586027653602,0.23786672211248572,0.23786672211248572
Beverage (Alcoholic),19,349.443,68.72899999999998,73.572,1.0704651602671365,0.14476234400297125,0.1966815761082637,0.19655955467132896,0.21054077489032547,0.2112153235321982
Beverage (Soft),5,319.28999999999996,72.697,0.5800000000000001,0.007978320976106306,0.0882827277027073,0.22768329731591974,0.22829428668231047,0.0018165304268846507,0.001819527926616557
Broadcasting,19,359.37699999999995,100.161,116.52199999999999,1.1633470113117879,0.14689821998346622,0.2787073184984014,0.29902235034184554,0.3242333260058379,0.3683080939782724
Brokerage & Investment Banking,170,933.4979999999994,221.22499999999985,213.68,0.9658944513504357,0.1362207168406473,0.23698497479373282,0.25715220516236786,0.2289024722066894,0.25238977731633905
Building Materials,51,514.255,120.095,105.32400000000003,0.8770057038178112,0.15865400358855386,0.23353200260571116,0.24357551348322926,0.20480889830920462,0.2226746582944852
Business & Consumer Services,65,685.5179999999999,167.55600000000004,187.293,1.1177934541287686,0.1506994795798062,0.2444224659308728,0.24386184316625142,0.27321383245954156,0.28495075173213336
Chemical (Basic),138,2838.611999999999,698.0159999999998,619.2169999999999,0.8871100375922615,0.20723748291861144,0.24590046121132442,0.2707365519835218,0.21814076738913246,0.2274332337238378
Chemical (Diversified),9,826.25,217.583,196.12000000000003,0.9013571832358228,0.2702533327754337,0.26333797276853255,0.26333797276853255,0.23736157337367628,0.23736157337367628
Chemical (Specialty),178,4669.993,1080.509,1307.5709999999995,1.2101435527145072,0.22000268262587394,0.2313727236850248,0.23608580862420475,0.27999420984142787,0.2960976337705526
