Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Advertising,18,1.214216075930662,1.1974133375606295,0.11965957818862755,10.147253519618884,10.006832346283765
Aerospace/Defense,16,1.471790738100471,1.2966343159039944,0.18564974791409394,7.927782044614008,6.984304209796118
Air Transport,5,0.9382366336058533,1.2023820188607475,0.17623265833359117,5.3238522443999186,6.822696940681426
Apparel,344,0.672111819033665,0.7328179807521311,0.13306684120698636,5.050933898612582,5.507141930364363
Auto & Truck,12,1.227179940199998,1.3457573733464028,0.22590677757070218,5.4322404728026665,5.957135893920758
Auto Parts,109,1.0615901143470976,1.1224973096102853,0.1676172056472091,6.333419712183189,6.6967904952004265
Bank (Money Center),34,1.1941784299687133,1.3109177134725933,0.21290097568066185,5.609079179420513,6.1574058516241275
Banks (Regional),5,1.2375072408741046,1.2716327109204526,0.16678603230062994,7.41972948096464,7.624335763490968
Beverage (Alcoholic),19,0.599550973491196,0.6006155861857082,0.15191674639653013,3.946575922092616,3.9535837913352427
Beverage (Soft),5,0.45193786382495915,0.4593820280818523,0.16472621653756095,2.7435697445397715,2.788760876913019
Broadcasting,19,0.9097141959439837,0.8486814729098937,0.14024885192315828,6.48642882611554,6.051254333082759
Brokerage & Investment Banking,170,0.4993898799761155,0.5462839120404231,0.12011208470041994,4.157698879523066,4.548117813481871
Building Materials,51,0.8543683121458628,0.8755433893241724,0.14838728014843963,5.757692379637885,5.900393810361105
Business & Consumer Services,65,0.5658980799094386,0.5557597703132835,0.10928625178603925,5.178126897584104,5.085358507869321
Cable TV,8,1.0263857087061559,0.9903181667049161,0.11195519108589969,9.167825973506154,8.845665458648329
Chemical (Basic),138,0.8571476856072152,0.8978960804003071,0.14404939046462287,5.95037356869429,6.233251508418022
Chemical (Diversified),9,0.8700574056970516,0.8787258858218959,0.1636222577853929,5.317475858560878,5.370454470652969
Chemical (Specialty),178,0.7429092129014293,0.7601902739772037,0.1310281771369897,5.669843152322262,5.801731280916977
Coal & Related Energy,4,0.7145691247037509,0.6200328188050137,0.10663203600875833,6.701261191759098,5.8146954893938885
Computer Services,156,0.7575374815101766,0.7550152375143054,0.1414943787410775,5.353834465017192,5.3360087109603
Computers/Peripherals,8,0.3155797146013509,0.3092554839508758,0.1408784711008582,2.2400847491837133,2.195193357326206
Construction Supplies,97,0.8466579542414305,0.9469955546369726,0.1882973968059578,4.496386931540638,5.0292546296476965
Diversified,15,1.0370227871292834,1.08987479643481,0.18666669561412352,5.555478355244536,5.838614075473826
Drugs (Biotechnology),8,0.5488821059366336,0.7303843556163842,0.1140132274735199,4.814196721727871,6.406137005340185
Drugs (Pharmaceutical),167,0.9612653467791071,0.9618567533257633,0.13822692973308454,6.954255213765547,6.9585337327762655
Education,29,0.5832319065550702,0.5960867065563075,0.10764791918720236,5.4179580149692965,5.537373235424069
Electrical Equipment,111,0.9380149948803851,0.947567655845507,0.15293831303365182,6.133289796873781,6.1957506726062075
Electronics (Consumer & Office),7,1.093322947156372,1.1073477494916755,0.15840794654212179,6.901945079287103,6.990481056436294
Electronics (General),35,0.5270585471353525,0.5093497079903779,0.09702461360183783,5.43221485321503,5.249695815132109
Engineering/Construction,155,0.9313873152627558,1.0762860858195458,0.1525475350272769,6.105554672490874,7.055414468854551
Entertainment,65,0.5429922688045106,0.6423947178886079,0.12199715547263397,4.450860077031164,5.265653247404674
Environmental & Waste Services,14,0.9670478723742577,0.9313133898177656,0.11738429679340569,8.23830698646383,7.93388396283415
Farming/Agriculture,59,0.5777841409226175,0.6072712832591157,0.12567324688840398,4.597511047324826,4.832144456316656
Financial Svcs. (Non-bank & Insurance),274,0.3428910982375642,0.6963413563240893,0.13198245391369987,2.5980051747012705,5.276014619181199
Food Processing,192,0.8398061845139801,0.86063816113717,0.1287901389759108,6.520733584044501,6.682484916785016
Food Wholesalers,34,0.6920902415316237,0.7258204291245565,0.10770881828358325,6.425567122177875,6.738727995451273
Furn/Home Furnishings,43,0.46120876822782264,0.4614807376908351,0.10701553014262177,4.309736798137245,4.312278199956682
Green & Renewable Energy,16,0.7542182257805196,0.8829617041693082,0.10953798883708095,6.885448909439906,8.060780680231066
Healthcare Products,11,0.8032935161756932,0.7992013264764143,0.10248930379330701,7.837827816605305,7.7978998480483925
Healthcare Support Services,37,0.3931688025295447,0.39031480418354586,0.07942823988673096,4.949987600005049,4.914055816170121
Heathcare Information and Technology,14,1.235839162246495,1.2169487686463463,0.1478830825528052,8.356866390076831,8.229127684106839
Hospitals/Healthcare Facilities,32,0.9236397174570091,0.9319727910845824,0.16138013035883678,5.723379423496871,5.77501572846852
Hotel/Gaming,60,0.7034992220463522,0.7280842329366062,0.1441835773577244,4.879191062800075,5.049702929274699
Household Products,37,0.692011506677313,0.6885749168943986,0.12831243757678737,5.3931755934664185,5.366392610866951
Information Services,20,1.0445201313248984,1.0715327925011955,0.153103780169825,6.822301383847616,6.998735049602533
Insurance (General),2,1.565629167940152,2.0507224244760094,0.21343731430394247,7.335311414716545,9.608078283611208
Insurance (Life),7,1.145394677219265,1.0974499365121784,0.280867562481598,4.07805966306383,3.9073573566690585
Insurance (Prop/Cas.),2,1.556493761053257,1.393938525347544,0.20642376383613112,7.540283793531033,6.75280064389349
Investments & Asset Management,102,0.5623538632883939,0.5971051073841283,0.11944761867954945,4.707953741606689,4.998886658310236
Machinery,161,0.8052466037238477,0.8106079953768068,0.1405095250689521,5.730904031799196,5.769060816190348
