Industry_Name,Number_of_firms,EV_EBITDAR_D,EV_EBITDA,EV_EBIT,EV_EBIT_1_t_,EV_EBITDAR_D,EV_EBITDA,EV_EBIT,EV_EBIT_1_t_
Advertising,18,9.882407341993952,10.048555924693787,11.326090996747245,15.229988259601917,10.194237618249156,10.371060055463248,11.330545306596495,15.23597788892135
Aerospace/Defense,16,25.38488206176111,32.62998102361371,37.6052784351567,46.08314113466192,26.21451069431974,33.925822358957035,37.93543275283618,46.487726571891855
Air Transport,5,20.069778455727466,20.069778455727466,29.465782233123598,29.570844865908164,54.77287176623861,54.77287176623861,31.384732856990507,31.49663766362717
Apparel,344,29.18036482423767,30.170944367444132,43.376082181104266,57.55615317224188,31.273487146248065,32.33077027297164,46.67250565038784,61.93021013124749
Auto & Truck,12,11.718104330422964,15.063365054150706,19.1863992524985,24.28029802885128,14.867801912108417,20.695606372969287,19.198355875542976,24.29542907908733
Auto Parts,109,19.333881647414874,19.955138622584972,28.189652029862554,38.89121539272021,21.332352741346977,22.090947098304774,28.19880292186277,38.903840213751664
Beverage (Alcoholic),19,45.93479134417367,45.93730849144919,55.18540268916597,68.87729701145193,51.374871313973514,51.37801347590748,55.299988479705064,69.02031235869343
Beverage (Soft),5,47.20173994044945,47.20173994044945,56.35515564533518,72.99623916748465,57.97405262836132,57.97405262836132,56.499486478205114,73.1831893741653
Broadcasting,19,16.795094702927358,16.796135385436678,29.62821024841196,54.84666625585518,21.88598176786048,21.88732677339372,38.928398165392174,72.06283620073705
Building Materials,51,28.476208338888114,28.904765707920795,37.30387998394154,50.27343224299109,33.82099088882894,34.41307194933829,38.18035464127869,51.4546334831116
Business & Consumer Services,65,30.27532898785711,30.27641243734121,34.446175691932545,45.50305651915899,30.969720624805486,30.970842778682854,34.801205852821916,45.97204784119822
Cable TV,8,6.947494135210066,6.947494135210066,56.546036644165866,77.43787630867666,5.79154311695026,5.79154311695026,58.76478302796529,80.47637411021464
Chemical (Basic),138,17.020172298743006,17.22397129917676,22.218977315165642,29.947737245774555,15.472694444956808,15.639827300228925,22.364795913727043,30.144278113219578
Chemical (Diversified),9,31.40559994179691,32.55068113943267,40.26912690716714,54.70014949538233,28.764872628051467,29.7225463638258,40.26912690716714,54.70014949538233
Chemical (Specialty),178,20.625865618438223,21.443675557355967,25.592901915151188,32.76847727856554,18.37680622788607,19.019222097364814,25.74583787468381,32.96429245152385
Coal & Related Energy,4,5.860300812152506,5.881107658012947,6.772693172516788,9.146540982268812,5.612796620165347,5.631879754257987,6.772852063735564,9.146755565302067
Computer Services,156,20.264006358118237,20.63218774632566,22.83499970391314,30.726548636625964,20.68496280169921,21.068251271002886,22.863869166911794,30.765395099093375
Computers/Peripherals,8,72.45717778287111,72.45717778287111,82.23289690453478,111.38760023149236,80.34990043146365,80.34990043146365,83.96575045521544,113.73481656253097
Construction Supplies,97,18.187079428674355,18.54384919238598,25.658460719448218,34.567610996222484,21.279607833663196,21.762030562603506,26.054999210634374,35.101835884388215
Diversified,15,33.660532935240056,33.85253664345705,39.76512537794404,49.05443414561301,34.10410345669871,34.301102981224524,39.78774377053266,49.08233629452296
Drugs (Biotechnology),8,9.901933501805297,14.661905865177891,26.48843531291492,32.05746645187751,11.647930304290233,18.58175945407317,27.108954249836852,32.808445691237516
Drugs (Pharmaceutical),167,17.71020882099618,21.327169412315683,26.80758398085719,35.21528575508583,19.809336065718743,24.39979780254331,27.029893023885446,35.50731790844102
Education,29,20.259665880401776,20.663215327468084,34.576157707258936,47.740572079723165,43.68060291821113,45.07030558667364,47.21723399603369,65.19457083918722
Electrical Equipment,111,38.22852808133585,40.799938311139684,52.433846724201544,70.42728965284905,55.71922713810924,60.503280592071434,60.91496348727349,81.81882592510215
Electronics (Consumer & Office),7,63.48054538535227,64.66517839239643,80.94319227615748,110.46524987773537,74.05260313457032,75.63775760549555,82.53922995833541,112.64340342491145
Electronics (General),35,46.27419072710058,48.144011998765905,56.716743675893944,76.5943307579736,53.032327479113256,55.442830894542055,58.06422147604573,78.41406076404795
Engineering/Construction,155,17.030362192659833,18.31588253570968,22.63863192133399,31.512303895424917,19.543361929100865,21.192081647129694,23.437077680978916,32.62371670117108
Entertainment,65,19.83325197474028,19.848238240265236,36.99879499609872,48.851030939940166,34.11957506924082,34.16238669111888,38.34910620179481,50.63390236845461
Environmental & Waste Services,14,18.99373819935564,19.27517767527483,26.15667043571344,37.53044426650622,18.115184044642174,18.350672144241262,28.384705859657576,40.72730219640414
Farming/Agriculture,59,19.099408884379546,20.224976546290417,25.381778922016437,31.38188167787939,21.6323936740977,23.031018114185784,26.34524931972623,32.573110792038975
Food Processing,192,28.74451173608307,28.935829602038105,34.726378893137365,48.75955035271241,31.338256062219735,31.563261956907304,35.11453824065088,49.30456759474052
Food Wholesalers,34,13.949775946680575,13.949775946680575,18.559057789160498,24.345590375317077,19.144845832915276,19.144845832915276,25.331805301302836,33.23001427868829
Furn/Home Furnishings,43,31.476492561598636,33.788995055771274,47.08328737109997,64.05978362967576,32.33820239131999,34.685240977751164,48.92465150630367,66.56507573374829
Green & Renewable Energy,16,31.291811347898776,31.292214717396295,39.60344551142559,50.510072778204645,33.6602973144327,33.660763063685415,39.687958358813255,50.6178601188544
Healthcare Products,11,37.368290771071415,39.31805356600252,49.42810368349248,65.60276153666588,47.384209318338314,50.47887744845011,50.697871759890845,67.28804351422741
Healthcare Support Services,37,34.83497022443921,35.07824681803784,44.69289952612828,59.591435704264526,38.22052835970669,38.51257295822206,44.84722508921604,59.797206239803224
Heathcare Information and Technology,14,35.90510712847707,38.20354127499573,57.311580825795325,78.11959201510437,34.38095007173021,36.449836017814185,58.16898789134343,79.28829630115574
Hospitals/Healthcare Facilities,32,33.90008972406751,34.03714429590598,43.15365223090741,58.79069785166034,36.5118283203785,36.6704191424607,43.274147934165164,58.95485606577266
Hotel/Gaming,60,30.101412874480687,30.355706443727705,38.114175525774534,48.74540045064325,33.37825245451274,33.68791463744543,38.51627105826946,49.25965289033266
Household Products,37,42.58185913870024,42.75563848686576,46.38695980829792,61.527838070490795,44.95478178455211,45.148304090579195,46.43680844035043,61.59395748365427
Information Services,20,17.397418759428557,17.478733011352308,19.78309362341817,27.41772743872218,21.413041420892583,21.53492617311046,20.014211140451096,27.738037154125937
Insurance (Life),7,27.66587547251171,27.66587547251171,28.31305884996348,29.697561964850376,22.243030806906518,22.243030806906518,28.31305884996348,29.697561964850376
Insurance (Prop/Cas.),2,20.937126812011595,20.937126812011595,21.679965074554126,27.183878640225387,13.529517939930027,13.529517939930027,21.679965074554126,27.183878640225387
Investments & Asset Management,102,21.002290515945354,21.084198746077227,22.350701703298416,28.41022043904445,28.70168502338226,28.821700171748486,28.49612879421414,36.22173976683476
Machinery,161,27.2711981802151,27.970294374995916,33.1623437547297,44.81248763265038,29.914417887361875,30.742593085114443,33.750462713935846,45.607216551115144
Metals & Mining,42,7.5965664023464035,7.600160162869347,10.860063499656043,16.914823407635506,7.064768415604837,7.067857358483034,10.927410154792735,17.0197175253143
Office Equipment & Services,17,26.047605034747303,26.307545163650893,31.83738310025198,42.8770346262531,27.16024189875823,27.442320388442642,31.911488712246005,42.976836449834586
Oil/Gas (Integrated),1,3.346374172573599,3.363539244642745,4.677495821635734,6.157199191404191,4.2837620176675975,4.311931040038669,4.677495821635734,6.157199191404191
Oil/Gas (Production and Exploration),8,4.179769710105663,4.2218625143670305,4.953454764399814,6.563538539422128,4.501190996530663,4.540372339383693,6.163100003493692,8.166370002198825
Oil/Gas Distribution,11,5.6490047080834875,5.6490047080834875,7.166983649521706,8.453363795245394,6.2584102128190535,6.2584102128190535,7.807236159199006,9.208533284920774
Oilfield Svcs/Equip.,23,8.167892862119178,8.182963929437163,10.413857448734568,13.45791639027919,12.635948332560488,12.672026647973734,10.421797654193345,13.468177585202577
Packaging & Container,86,10.929397564437696,11.025698608192451,17.341348940336815,20.76548032042473,11.251598723661415,11.350828613468227,17.8365486612409,21.35845956872269
Paper/Forest Products,49,8.130960568728819,8.142952916668728,10.075518170503312,13.47686518820646,8.109114690188399,8.12081302537696,10.272986695961938,13.740996188864154
