Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Local_Currency_
Advertising,18,1.1974133375606295,0.13231798166348518,0.9885249992866535,0.47611391507233103,0.074755,0.21771419941052259,0.0523285,0.011475000713346506,0.13140010230433646,0.15336903632966337
Aerospace/Defense,16,1.2966343159039944,0.14006714007210197,0.9981997966883335,0.36152889655525366,0.074755,0.2213284019114042,0.0523285,0.0018002033116665261,0.13990919268168306,0.16204335176288076
Air Transport,5,1.2023820188607475,0.1327060356730244,0.6519590280689339,0.2951642704047186,0.074755,0.05162846306390795,0.0523285,0.3480409719310661,0.10473136003596104,0.12618245440559117
Apparel,344,0.7328179807521311,0.09603308429674144,0.8680166137723658,0.3828828471348564,0.074755,0.14426417471486558,0.0523285,0.13198338622763417,0.09026480526758641,0.1114349956611318
Auto & Truck,12,1.3457573733464028,0.14390365085835405,0.8346860000145773,0.27586541616757027,0.074755,0.2137366017039548,0.0523285,0.16531399998542273,0.12876499637069103,0.1506827632905101
Auto Parts,109,1.1224973096102853,0.1264670398805633,0.8900940855637983,0.31720224855754675,0.074755,0.21128749362807775,0.0523285,0.10990591443620168,0.11831877586002518,0.1400337035466277
Bank (Money Center),34,1.3109177134725933,0.14118267342220953,0.6336299251383826,0.2706495720555369,0.074755,0.17289831870547312,0.0523285,0.36637007486161743,0.10862916325374748,0.13015594312275236
Banks (Regional),5,1.2716327109204526,0.13811451472288735,0.7934246911911643,0.2546751927526404,0.074755,0.1956335347049471,0.0523285,0.20657530880883568,0.12039324224002758,0.1421484508272126
Beverage (Alcoholic),19,0.6006155861857082,0.08570807728110381,0.9841190805844009,0.2958209822106093,0.074755,0.14476234400297125,0.0523285,0.015880919415599104,0.08517797890417585,0.10624939597027616
Beverage (Soft),5,0.4593820280818523,0.07467773639319267,0.976972108088826,0.5365698410910166,0.077424,0.0882827277027073,0.0541968,0.023027891911174048,0.07420610360369059,0.09506447454745137
Broadcasting,19,0.8486814729098937,0.1050820230342627,0.918760001552147,0.4004638144758087,0.074755,0.14689821998346622,0.0523285,0.08123999844785301,0.10079632690484042,0.12217101286415777
Brokerage & Investment Banking,170,0.5462839120404231,0.08146477353035705,0.6147368723271383,0.41233670226885366,0.074755,0.1362207168406473,0.0523285,0.38526312767286175,0.07023964166131969,0.0910209939265878
Building Materials,51,0.8755433893241724,0.10717993870621786,0.9425807866927932,0.3708508945521493,0.074755,0.15865400358855386,0.0523285,0.057419213307206785,0.10403041224693836,0.12546789597988872
Business & Consumer Services,65,0.5557597703132835,0.08220483806146744,0.9722530388836605,0.40838233767444265,0.074755,0.1506994795798062,0.0523285,0.027746961116339453,0.0813758604709773,0.10237344999468556
Cable TV,8,0.9903181667049161,0.11614384881965395,0.9136853560939445,0.32980523042202203,0.074755,0.13238339196477242,0.0523285,0.08631464390605548,0.1106356497105448,0.13220139048162327
Chemical (Basic),138,0.8978960804003071,0.10892568387926399,0.9121727167478564,0.33796101582665705,0.074755,0.20723748291861144,0.0523285,0.08782728325214362,0.10395490697942622,0.12539092459067702
Chemical (Diversified),9,0.8787258858218959,0.10742849168269007,0.9702183676956734,0.22150950133064853,0.068943,0.2702533327754337,0.0482601,0.029781632304326622,0.10566636039755782,0.1271356101140153
Chemical (Specialty),178,0.7601902739772037,0.09817086039761962,0.925034710702711,0.326397800285098,0.074755,0.22000268262587394,0.0523285,0.07496528929728896,0.09473427458834148,0.11599125079394046
Coal & Related Energy,4,0.6200328188050137,0.08722456314867158,0.9752076822015159,0.3396011708693104,0.074755,0.21233009946862205,0.0523285,0.02479231779848412,0.08635940886117376,0.10745376631478876
Computer Services,156,0.7550152375143054,0.09776669004986727,0.980744074458925,0.4041511072893946,0.074755,0.16565779658249472,0.0523285,0.019255925541075025,0.0968917356455458,0.11819060429885742
Computers/Peripherals,8,0.3092554839508758,0.0629528532965634,0.981315243106563,0.4253075146252079,0.074755,0.17462747986455607,0.0523285,0.01868475689343696,0.06275433983806712,0.0833903464368646
Construction Supplies,97,0.9469955546369726,0.11276035281714757,0.833645523754992,0.3246916921336131,0.074755,0.18214755171455183,0.0523285,0.166354476245008,0.10270724359323558,0.12411903473096819
Diversified,15,1.08987479643481,0.12391922160155866,0.8857648264228564,0.30629082692160886,0.074755,0.1305797045482185,0.0523285,0.11423517357714363,0.11574104309289164,0.13740591771605448
Drugs (Biotechnology),8,0.7303843556163842,0.0958430181736396,0.6430715403445157,0.3428267327992044,0.074755,0.15033950763807988,0.0523285,0.35692845965548425,0.08031144822927185,0.10128836955411225
Drugs (Pharmaceutical),167,0.9618567533257633,0.11392101243474212,0.9611762640309574,0.3203901749936524,0.074755,0.19808604306906963,0.0523285,0.03882373596904265,0.11152976099430571,0.13311286314953508
Education,29,0.5960867065563075,0.0853543717820476,0.9186871621127614,0.47783334941258965,0.074755,0.1257315195010897,0.0523285,0.08131283788723864,0.08266894442374924,0.10369164237372486
Electrical Equipment,111,0.947567655845507,0.1128050339215341,0.9603835474204558,0.3892496410800857,0.074755,0.17458770167280493,0.0523285,0.03961645257954416,0.11040916818325645,0.131970511254776
Electronics (Consumer & Office),7,1.1073477494916755,0.12528385923529986,0.9764443083083681,0.4402954391266252,0.074755,0.20226449844017605,0.0523285,0.023555691691631853,0.1235653452859009,0.14538214810698635
Electronics (General),35,0.5093497079903779,0.07858021219404851,0.9749482224505673,0.40893537964902793,0.074755,0.1815780483342038,0.0523285,0.025051777549432663,0.07792256013987148,0.0988530952882185
Engineering/Construction,155,1.0762860858195458,0.12285794330250653,0.7700456223214658,0.3988456872430766,0.074755,0.16209368223330398,0.0523285,0.22995437767853422,0.10663938905986517,0.12812753253675568
Entertainment,65,0.6423947178886079,0.08897102746710028,0.7595767370372927,0.4278493631094938,0.074755,0.10921846270478834,0.0523285,0.24042326296270733,0.0801613114502594,0.10113531749783711
Environmental & Waste Services,14,0.9313133898177656,0.1115355757447675,0.9526657804735227,0.44237146128615795,0.074755,0.21383532770911598,0.0523285,0.04733421952647732,0.1087330550239439,0.13026185220887476
Farming/Agriculture,59,0.6072712832591157,0.08622788722253694,0.9126583957101255,0.3822610803777417,0.074755,0.15331785817012916,0.0523285,0.08734160428987447,0.08326706035807689,0.10430137220969016
Financial Svcs. (Non-bank & Insurance),274,0.6963413563240893,0.09318425992891138,0.3906699549621434,0.40644588561517303,0.074755,0.1492770357169575,0.0523285,0.6093300450378566,0.06828961789137195,0.08903310561741784
Food Processing,192,0.86063816113717,0.10601584038481297,0.9408549768758115,0.35768190930771093,0.074755,0.15841575778309738,0.0523285,0.059145023124188456,0.10284050139627704,0.12425488006416585
Food Wholesalers,34,0.7258204291245565,0.09548657551462786,0.869681176384141,0.46221720928121984,0.074755,0.15930457318863353,0.0523285,0.130318823615859,0.08986226588403715,0.1110246399788728
Furn/Home Furnishings,43,0.4614807376908351,0.07484164561365422,0.9570942579119461,0.299403845306232,0.074755,0.24298686124391317,0.0523285,0.042905742088053866,0.07387570239436397,0.09472765778066217
Green & Renewable Energy,16,0.8829617041693082,0.10775930909562298,0.78728945432833,0.45501115754715177,0.074755,0.11930726027413026,0.0523285,0.21271054567167003,0.09596859144587085,0.11724953496909163
Healthcare Products,11,0.7992013264764143,0.10121762359780796,0.9867012233643874,0.4420211152482545,0.074755,0.22721979601485032,0.0523285,0.01329877663561263,0.10056745806316986,0.12193769996730919
Healthcare Support Services,37,0.39031480418354586,0.06928358620673493,0.9719336602752465,0.4064745149788983,0.074755,0.16748538097381577,0.0523285,0.028066339724753475,0.06880771899719422,0.08956126693888744
Heathcare Information and Technology,14,1.2169487686463463,0.13384369883127967,0.9712796238465263,0.3288518074254409,0.074755,0.1520300587480424,0.0523285,0.02872037615347367,0.13150255165862013,0.1534734749917972
Hospitals/Healthcare Facilities,32,0.9319727910845824,0.11158707498370589,0.9596959078521039,0.28475492604727076,0.074755,0.22823490909526875,0.0523285,0.0403040921478961,0.1091987119170096,0.13073655098335935
Hotel/Gaming,60,0.7280842329366062,0.09566337859234894,0.9051133063353042,0.3498077584816093,0.074755,0.14940781894384988,0.0523285,0.09488669366469582,0.09155147524235994,0.11274664951891045
Household Products,37,0.6885749168943986,0.09257770100945253,0.9929466861264331,0.3268336415011811,0.074755,0.19019461011075678,0.0523285,0.007053313873566891,0.09229381076157259,0.1135033993200496
Information Services,20,1.0715327925011955,0.12248671109434338,0.9213944702929364,0.370973866763597,0.074755,0.23380509460690185,0.0523285,0.07860552970706358,0.11697188774797254,0.13866066226735074
Insurance (General),2,2.0507224244760094,0.19896142135157635,0.6687057010785824,0.4025623576631118,0.074755,0,0.0523285,0.3312942989214176,0.1503827704736065,0.17272029999736582
Insurance (Life),7,1.0974499365121784,0.12451084004160114,0.9954185671207751,0.2052574833982197,0.068943,0.09753900408597824,0.0482601,0.004581432879224856,0.12416150239410932,0.14598988108137356
Insurance (Prop/Cas.),2,1.393938525347544,0.1476665988296432,0.9957947752313367,0.24386124045564408,0.068943,0.19940355445857913,0.0482601,0.004205224768663252,0.14724857215859868,0.1695252434626493
Investments & Asset Management,102,0.5971051073841283,0.08543390888670041,0.8875978159420752,0.371141498427293,0.074755,0.13017004131850357,0.0523285,0.11240218405792479,0.08171278862370465,0.10271692044164049
Machinery,161,0.8106079953768068,0.10210848443892862,0.9584127316642346,0.35668721722976887,0.074755,0.1918851708505093,0.0523285,0.041587268335765426,0.10003827086831667,0.1213982372929443
Metals & Mining,42,1.0620993717733045,0.12174996093549509,0.738142771361886,0.3925262004245379,0.074755,0.18330685254117438,0.0523285,0.261857228638114,0.10357144956691725,0.12500002140316813
Office Equipment & Services,17,0.6591768913630133,0.09028171521545134,0.9598218618678322,0.406159781733717,0.074755,0.15985527496174542,0.0523285,0.04017813813216775,0.08875682569196504,0.10989773492870225
Oil/Gas (Integrated),1,0.9937605448783849,0.11641269855500187,0.6424712262979217,0.1935286369851587,0.068943,0.24032085429917696,0.0482601,0.35752877370207825,0.09204618356902203,0.11325096383249811
Oil/Gas (Production and Exploration),8,0.9146439570769712,0.11023369304771145,0.5519658693784453,0.36378520762892247,0.074755,0.12025435197395146,0.0523285,0.4480341306215547,0.08429019022210675,0.10534436867302133
Oil/Gas Distribution,11,0.7386304830790849,0.09648704072847653,0.8537329376878955,0.3719054250623931,0.074755,0.10164692168245261,0.0523285,0.1462670623121045,0.09002810070013284,0.11119369488848507
Oilfield Svcs/Equip.,23,0.8843319331093127,0.10786632397583733,0.7813951634542372,0.3682890096552993,0.074755,0.2089970410286667,0.0523285,0.2186048365457628,0.09572548704349207,0.11700171009288018
Packaging & Container,86,0.7511524165484432,0.09746500373243341,0.7447674040631929,0.38195167598473173,0.074755,0.15685462062597802,0.0523285,0.25523259593680714,0.08594469671329305,0.10703100150384248
