Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Advertising,18,0.07629002706774599,0.004817452312249433,0.043147998008222485,0.026903360486198007
Aerospace/Defense,16,0.3970705748943058,0.5214496196218844,0.20363935683166615,0.15638572643794063
Air Transport,5,0.02209248801758815,0.011555905582779231,0.10232931433887235,-0.26621501709780454
Apparel,344,0.09252946298786999,0.117192423858644,0.05863011825376367,0.13953185377036412
Auto & Truck,12,0.04859654733840321,0.09667884927514721,0.16955991984439123,-0.07423272816359539
Auto Parts,109,0.13462876722096007,0.11977528188314894,0.16712997070728755,0.07039195299245708
Beverage (Alcoholic),19,0.200192585202948,0.18695515325460993,0.1167405087770306,0.1717670625955258
Beverage (Soft),5,0.0008684240081538,0.0011130801950289446,0.0012180081717275521,0.0004930033076040088
Broadcasting,19,0.28177917215896975,0.6962914427991088,0.2545065149634746,0.824214183117881
Brokerage & Investment Banking,170,0.33122601716371336,0.03048895098831932,0.37784637337018817,-0.02343400270756153
Building Materials,51,0.12844954376108034,0.2097001269368524,0.13770921511371648,0.18835645215363922
Business & Consumer Services,65,0.20306561547057222,0.0046466238786923375,0.04825414133991285,0.09939202621273746
Cable TV,8,0.10414398677694149,0.010105081151561158,0.23385450206698866,-0.6565565660439865
Chemical (Basic),138,0.11749991056954069,0.1388281649914415,0.10020489072230997,0.15451062702939874
Chemical (Diversified),9,0.1390012511858767,0.14282080543372153,0.14201784658536254,0.11011948137657933
Chemical (Specialty),178,0.15169208096028527,0.17119349004265547,0.15056909071791222,0.16307808281448447
Coal & Related Energy,4,0.10937041920023592,0.04779496678641184,0.053977826121264595,0.011717459006431905
Computer Services,156,0.2320103033627723,0.011075582055723116,0.060376790992207746,0.18214932088756228
Computers/Peripherals,8,0.21147247922220483,0.1617876744550729,0.11712090324604044,0.2784757723067273
Construction Supplies,97,0.07647890010775507,0.1212528435107877,0.11408836126921162,0.02400349358044775
Diversified,15,0.2231361507829119,0.5481330117376342,0.22458250697803916,0.42447289942721766
Drugs (Biotechnology),8,0.2912609733431269,0.358122594344109,0.3171833300293463,0.22594745170926905
Drugs (Pharmaceutical),167,0.219554564551083,0.22896636460698805,0.13706717335108934,0.29823584722212004
Education,29,0.18641162240523673,0.016151123285721915,0.11700670591792812,0.04253677582312037
Electrical Equipment,111,0.16733881374162388,0.2158692649782215,0.1689519181647522,0.23884812467202945
Electronics (Consumer & Office),7,0.15780760526638501,0.13887136152328292,0.2785626693124938,0.02367141949365113
Electronics (General),35,0.2285758252118905,0.22469482699385823,0.18027487769602224,0.2458250677710249
