Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_
Advertising,80,25.675,18918.079999999994,6759.35,18990.323897985032,7167.35104052886,6628.984897985038,25583.060000000005,13827.223999999998,2574.024000000001,1699.7364204029911,556.3800000000002
Aerospace/Defense,6,20.166666666666668,1291.8700000000001,85.41000000000001,1569.9498991726657,459.9651078213516,445.3048991726657,425.25,90.67,-72.007,-94.20397983453314,-101.28
Air Transport,6,55.5,23432.9,12391.32,33993.97304257778,24656.953042577778,20536.073042577777,25519.3,8887.9,5282.371,2707.9963914844448,1856.36
Apparel,60,84.76666666666667,14141.529999999997,13173.999999999998,14875.292262536077,14044.711262536071,4202.502262536077,17900.35000000001,7254.289999999999,1439.8140000000005,783.8291474927845,613.3829999999998
Auto & Truck,10,90.1,379714,289422.7,618915.2483924342,657907.4483924343,357674.838392434,631237.4000000001,125611.9,79036.78000000001,49976.77232151317,43132.2
Auto Parts,104,78.79611650485437,114833.46999999994,122213.34999999998,119159.78343200484,145193.59543200475,37694.59343200481,245047.2,34273.09999999997,23106.135999999995,11627.534313599037,7779.955000000005
Bank (Money Center),8,50.625,268868.50000000006,352534.8,-206365.73783282412,120480.32265958724,1735432.162167176,91542.3,91542.3,1028.2,242.9475665648034,22738.199999999997
Banks (Regional),75,90.02666666666667,84371.50000000001,169730.99999999997,-159917.52673718132,77210.24512532062,431389.5732628184,46632.09999999998,46632.09999999998,68.48400000000001,22.509347436261724,7539.018999999998
Beverage (Alcoholic),6,130.83333333333334,36266.399999999994,24527.7,50998.2239355888,40731.1039355888,17148.493935588795,38295.5,14804.599999999999,4760.36,2987.8212128822406,1743.41
Beverage (Soft),7,44.714285714285715,17207.2,11611,17350.17240779594,11084.77040779594,2713.672407795942,20369.899999999998,8259.8,2134.2810000000004,1179.4605184408115,727.95
Broadcasting,11,51.72727272727273,11186.400000000001,21449.800000000003,11537.048246633658,22530.59824663366,2889.748246633657,13726.999999999998,4160.6,1409.6399999999999,824.8327506732686,942.77
Brokerage & Investment Banking,37,59.729729729729726,40522.3,46197.770000000004,344512.11780762044,357965.3348076203,389365.77780762035,28417.34999999999,21612.579999999994,1942.904,1211.7150384759193,2364.971
Building Materials,61,84.42622950819673,79900.78000000004,50533.02000000002,90133.17331123709,60458.62431123706,22512.193311237068,88704.00000000001,25777.339999999997,10612.439999999999,6276.977337752582,3183.379
Business & Consumer Services,218,31.56422018348624,137944.10000000006,38803.88999999999,127262.3490379477,24931.230813517177,11312.673037947623,84100.19,31468.199999999997,9861.729000000001,7539.621392410478,5271.411000000003
Cable TV,1,35,1417.9,1724.2,1524.1914061145483,1866.5914061145484,493.4914061145482,827.8,365.3,308.38,167.14171877709035,111.6
Chemical (Basic),69,87.10144927536231,56717.749999999985,71172.82,77301.59428658395,91708.86428658395,33855.074286583935,105259.6,24337.500000000004,10833.291000000001,4715.178942683211,1541.6979999999996
Chemical (Diversified),22,93.18181818181819,37892.9,42716.7,68233.13404568774,69409.41404568774,40088.054045687735,76891.9,19153.64,7294.435,2622.7051908624544,946.3530000000002
Chemical (Specialty),73,90.26027397260275,172976.46999999997,86096.19999999998,172511.1915834999,80996.46058349997,26543.41158349996,95318.19999999997,29502.950000000004,17433.504000000004,11826.396883300005,8613.922999999997
Coal & Related Energy,1,131,241.6,363.4,474,605.8,269.4,1048.2,72.8,63.7,31.5,19.6
Computer Services,244,36.84836065573771,178693.99000000002,70508.15599999994,185370.65051775612,78609.37451775608,32040.32051775614,176138.99,42402.89000000001,18557.873999999993,12161.125296448787,8228.458000000008
Computers/Peripherals,26,59.38461538461539,71153.38,58578.450000000004,77427.6346210514,61735.5346210514,18045.319621051403,94468.77000000002,38125.73399999998,11506.978,6580.55087578972,3902.355000000001
Construction Supplies,51,90.86274509803921,73797.99999999999,68567.59999999999,97348.12475545566,102002.47675545566,35879.06475545566,99871.69999999998,24126.400000000005,13220.362,8305.524448908865,5032.100999999999
Diversified,15,79.93333333333334,81141.8,44034.81,96923.03180369748,49931.1028036975,25983.411803697476,83102.18,22126.540000000005,11723.953999999998,7728.666639260504,5438.450000000003
Drugs (Biotechnology),30,16.033333333333335,5779.000000000001,1838.2400000000005,5075.8444535865165,982.7671725025749,412.57445358651654,1497.543,995.7620000000001,133.30099999999993,-30.249490717303303,-108.80000000000001
Drugs (Pharmaceutical),41,88.02439024390245,275051.5,143408.65000000005,298200.3884577257,123792.84845772557,50860.78845772558,101981.14999999998,69148.73999999998,22161.578999999998,14274.026708454887,9212.668999999998
Education,36,31.166666666666668,4953.4,2424.39,5071.464920301689,2458.5149203016867,1993.6949203016866,5796.51,2151.4,687.887,381.0856159396627,182.41599999999997
Electrical Equipment,53,80.35849056603773,77226.09,55038.2,79843.6510841979,59942.91108419788,14409.051084197896,89608.59999999998,22008.340000000007,9476.104000000001,5526.789183160421,3947.738999999998
Electronics (Consumer & Office),10,82.1,152299.39999999997,84746.5,183062.22766518738,109017.72766518735,47558.62766518738,166724.1,42256.1,14520.653,9046.027466962525,7186.879999999999
Electronics (General),137,68.54744525547446,276358.0900000001,122965.15000000002,267535.0037911519,114047.48779115193,24243.63379115192,121237.98999999996,38798.536,19740.777000000002,12504.481841769622,9003.588999999998
Engineering/Construction,157,83.28025477707007,85715.40999999996,87077.49000000002,83480.57056878273,88184.96955520593,25941.034568782714,175584.45000000007,20593.50000000002,10326.324000000004,7866.323486243458,5845.5689999999995
Entertainment,73,31.26027397260274,125629.37999999999,42520.96999999998,106865.93303588059,26519.842037326118,3511.563035880559,35046.95999999998,17436.660000000007,8581.744,7634.324592823886,5816.761999999997
Environmental & Waste Services,36,46.638888888888886,11429.300000000001,5591.92,11656.797539034798,6071.037539034799,3063.2675390347986,12924.6,2821.000000000001,1416.842,1043.6794921930405,679.1180000000002
Farming/Agriculture,11,80,20443,16682.73,33179.771866869116,31173.441866869114,14730.821866869113,25672.800000000003,6979.4,3010.704,2147.638826626177,1532.7440000000001
Financial Svcs. (Non-bank & Insurance),47,42.12765957446808,84284.1,105508.91999999998,1163650.076856873,1188065.4948568735,1115332.1468568735,94275.31000000001,51869.29,17915.704999999998,9036.14322862529,22151.107
Food Processing,121,79.00826446280992,121507.93999999993,70818.51999999996,127604.76701809991,81671.18901809993,22449.91801809991,151097.30000000005,34957.47199999999,12178.537999999997,7247.436596380019,6014.024999999998
Food Wholesalers,37,74.21621621621621,7222.509999999999,6879.839999999998,8833.319600360708,8966.825600360706,3847.3696003607065,47146.72,4444.419999999999,1226.4639999999997,783.7518799278587,568.3900000000001
Furn/Home Furnishings,20,91.25,8760.390000000001,7613.195,7443.01769568099,6676.093695680991,545.6246956809898,10009.407,3017.6069999999995,914.524,611.9720608638021,415.028
Green & Renewable Energy,9,23.666666666666668,2930.6,1269.75,5591.488646485445,4178.651646485444,3596.7986464854444,3013.86,336.0799999999999,291.24399999999997,91.81867070291102,22.022999999999993
Healthcare Products,40,59.175,122062.20000000003,33250.8,121270.98839684778,31474.005396847806,11736.718396847811,34964.17,17324.58,7541.859000000001,5049.91092063044,4997.506999999999
Healthcare Support Services,47,44.191489361702125,21819.6,19109.160000000003,16984.255606813324,14693.731123508942,3488.1956068133272,91624.70000000001,8904.65,2586.0070000000005,1658.120278637335,1281.963
Heathcare Information and Technology,36,25.02777777777778,18411.000000000007,3842.79,16896.99182127457,1906.1118212745703,496.7818212745699,3945.7820000000006,1910.0710000000001,919.165,765.0868357450862,523.753
Homebuilding,51,45.72549019607843,45106.63000000001,39151.070000000014,73147.97274926367,68603.5867492637,42465.56574926371,79962.54700000002,16304.212,8697.720000000001,4746.453850147261,4303.977999999999
Hospitals/Healthcare Facilities,9,19.11111111111111,3015.9,364.84000000000003,3271.232467809802,685.0526488463559,495.9524678098014,924.9,218.52,144.532,105.15250643803971,76.21000000000001
Hotel/Gaming,33,49.09090909090909,9265.3,4313.084,13788.301051672026,9309.531051672026,7490.262051672027,9399.670000000002,3581.44,1447.1240000000003,535.2675896655943,537.732
Household Products,43,60.27906976744186,82369.79999999999,28225.2,79116.90120642933,24448.38220642933,5947.511206429329,41027.700000000004,20738.480000000003,4972.019999999999,2842.907158714133,1901.5330000000001
Information Services,14,32.214285714285715,4914.3,2303.89,4680.362646662268,1461.1996466622684,633.0126466622683,4785.299999999999,1249.9,531.3109999999999,376.28887066754635,262.78000000000003
Insurance (General),6,21.5,1257.1000000000001,389.55,1004.5355445905349,140.67354459053487,39.481544590534895,1016.79,683.0199999999999,62.279999999999994,75.34669108189303,88.823
Insurance (Life),5,62.2,66396.1,120612.29999999999,-173489.1954542144,55260.6659974135,222357.40454578557,174300,97880.59999999999,9925.89,8700.839090842883,4994.696
Insurance (Prop/Cas.),7,29.571428571428573,87013.7,57992.3,67475.69133275794,50123.02609988253,14667.391332757932,119527.8,31739,16093.491000000002,13203.016733448414,6922.219999999999
Investments & Asset Management,14,19.333333333333332,3144,1971.0499999999997,2994.927208136073,1735.9514596384065,759.3692081360731,732.6500000000001,443.46,106.59000000000003,108.13615837278536,382.48
Machinery,229,80.64192139737992,218745.05000000016,139591.03999999995,224116.33078978947,148693.83078978938,47449.96078978944,196509.10999999996,48054.29999999999,21602.967999999997,13319.712842042118,9818.996000000006
Metals & Mining,21,104.19047619047619,20113.1,26630.300000000003,31241.248305408633,39826.08730540863,15109.288305408638,45293.40000000001,4891.860000000001,3002.8700000000003,1319.8893389182724,587.1799999999998
Office Equipment & Services,26,84.5,7522.7,6706.800000000002,5946.525285492333,5393.4122854923335,738.0652854923325,9623.100000000004,3481.4099999999994,996.6710000000002,704.7273429015333,537.285
Oil/Gas (Integrated),0,0,0,0,0,0,0,0,0,0,0,0
Oil/Gas (Production and Exploration),2,59.5,19015.5,30037.4,25493.26684063168,40392.66684063169,8923.066840631684,17368.8,9484.4,10953.82,8327.406631873662,3447.7999999999997
Oil/Gas Distribution,3,82.33333333333333,2738.9,2225.4,3869.949449733272,3468.7494497332723,1381.9494497332726,6268.599999999999,1474.66,544.5,278.96111005334546,222.97
Oilfield Svcs/Equip.,19,72.21052631578948,28477.000000000004,42199.600000000006,61384.21624598417,76509.75224598416,40272.97624598417,198738.71,15551.58,6771.949999999999,2964.7129508031658,1786.39
Packaging & Container,30,88.9,9190.9,12581.07,13217.664862686284,17038.687862686285,6485.884862686284,21590.6,3687.2899999999995,1908.746,800.0710274627431,626.236
Paper/Forest Products,15,79,8772.21,15005.2,23080.534430624328,29258.02443062433,17182.074430624325,29816.4,5232.19,2312.615,708.866113875135,120.16900000000004
Power,25,78.44,70928.80000000002,100238.4,257816.8774850958,304761.44948509574,219078.00748509585,236212.29999999996,24787.160000000003,33396.341,18661.023502980832,15184.5
Precious Metals,2,78,1120.1,794.9,2490.6000000000004,2211.1800000000003,1550.7,2709,188.79999999999998,136.94,112.95,62.85
Publishing & Newspapers,53,63.16981132075472,24023.379999999994,22277.250000000015,22043.715498741407,21441.0634987414,5169.7554987414005,29927.96,7285.745000000002,2775.7190000000005,1395.6931002517204,1395.0880000000004
R.E.I.T.,54,10.023255813953488,99489.3,70818.30000000002,154617.97227125926,123521.86227125925,60417.21227125924,9065.6,4749.350000000001,5853.282999999999,4288.900545748152,3889.1800000000007
Real Estate (Development),15,34.46666666666667,3563.5600000000004,2641.4100000000003,6904.724479322142,6007.32447932214,4798.594479322141,4072.66,988.95,459.391,358.5751041355717,205.60100000000003
Real Estate (General/Diversified),56,42.785714285714285,103193.20999999999,83732.53000000001,244108.8918748167,231469.4438748166,158539.09187481663,104708.12000000001,23785.049999999992,23441.012999999995,14215.600425036673,8385.101
Real Estate (Operations & Services),43,38.395348837209305,20155.050000000007,12866.780000000002,42789.022029815984,36301.791029815984,26873.230029815997,14363.419999999998,3940.9900000000007,5073.831000000001,3312.417594036801,1422.1740000000004
Recreation,51,59.64705882352941,114685.30000000002,33047.23199999999,111049.83195839457,31278.179958394594,9137.511958394598,37156.90000000001,13976.869999999997,7376.613,5475.740608321082,3982.1630000000005
Reinsurance,0,0,0,0,0,0,0,0,0,0,0,0
Restaurant/Dining,107,43.925233644859816,51208.10700000005,13130.54600000001,56319.287055584355,15820.342055584353,12153.038055584351,39683.86199999999,22055.669999999995,3681.2030000000004,1510.5837888831275,735.1470000000005
Retail (Automotive),29,44.06896551724138,10172.050000000001,5624.250000000001,10869.696584670042,6581.817584670042,2447.526584670044,16390,4038.3699999999994,1424.3549999999996,1056.3566830659913,713.8679999999999
Retail (Building Supply),19,56.473684210526315,21473.6,14051.92,28390.50043178106,20198.460431781055,9454.87043178106,23042.599999999995,9189.670000000002,2742.439,1542.5257136437879,1185.1999999999998
Retail (Distributors),144,82.86805555555556,297904.8860000001,232385.1099999999,433589.72994611313,402433.26594611304,184777.1399461131,632467.7499999997,82557.99,35326.494000000006,26285.531210777415,30750.791000000005
Retail (General),42,61.42857142857143,70238.4,34877.94000000002,99964.99833660855,71951.20233660856,76534.11833660853,127913.7,41999.45,10489.773000000001,3061.326532678292,-138.46099999999953
Retail (Grocery and Food),57,56.59649122807018,67950.99999999999,46327.70199999998,95708.05162162978,61757.7926216298,45365.7416216298,162973.42,49711.66000000001,14109.265999999998,6292.888675674042,3248.8599999999997
Retail (REITs),4,14.75,9811.900000000001,8447.9,15752.699999999999,13785.3,6538.4,1138,508.5,695.7,487.9,441.8
Retail (Special Lines),131,45.23664122137404,151820.96,55970.11599999998,153186.33375723133,57341.046757231255,21823.328757231247,148693.22000000006,52143.547000000006,12659.546999999995,8975.14684855375,5917.223
Rubber& Tires,6,96.83333333333333,37834.5,32221.8,43667.56822513898,38205.368225138984,11869.668225138985,47399,16642.1,7978.57,4832.156554972204,3511.8999999999996
Semiconductor,21,43.333333333333336,55160.099999999984,24170.399999999994,56527.551845364396,20002.980845364393,9217.621845364394,23708.039999999997,9701.819999999998,6152.160000000002,4487.422630927123,3469.495000000001
Semiconductor Equip,36,49.55555555555556,194159.79999999996,28236.940000000002,188331.56708805708,25769.686088057133,4842.518088057124,35245.24000000001,14466.600000000002,8758.701000000001,7702.854382388575,5789.732000000001
Shipbuilding & Marine,29,94.44827586206897,46431.6,51815.5,63064.36469674444,72607.52069674444,22929.47469674443,46030.000000000015,7676.289999999999,7004.463,4028.414060651113,7331.284999999999
Shoe,3,79.66666666666667,5799.7699999999995,1436.68,6116.049196452737,1854.7621964527375,888.2691964527374,3972.7400000000002,2008.1200000000001,483.9,354.85316070945254,243.97899999999998
Software (Entertainment),73,16.041095890410958,36216.13999999999,21712.61800000001,37855.567967028124,12982.225339388682,13273.217967028115,16481.154000000002,11039.223999999998,2896.674999999999,1648.1988065943776,1837.97
Software (Internet),26,21.153846153846153,4959.300000000001,1185.34,5336.146945002201,2268.220683409036,3364.5669450022024,3645.4900000000002,1608.2999999999997,500.119,323.63881099955944,94.15099999999998
Software (System & Application),176,24.795454545454547,53503.130000000005,12142.663999999999,45587.80660821433,4430.577375162075,1242.746608214315,16057.28000000001,7275.053999999999,2610.951999999999,1983.5470783571366,1123.7769999999991
Steel,42,95.14285714285714,54024.90000000001,72565.09999999999,87278.18861421081,118321.68161421086,47292.07861421082,148934.30000000002,21385.09,15770.158999999994,9918.73307715784,8144.237000000001
Telecom (Wireless),7,26.571428571428573,195040.69999999998,130441.42,332128.17070014274,225545.18170014274,198876.1707001427,123601.09999999999,57466.100000000006,31520.512,15805.260659971465,-6331.703
Telecom. Equipment,16,51.0625,1395.05,2008.29,948.8563749809882,1556.039374980988,291.4363749809881,2123.5800000000004,748.09,134.091,71.7075250038024,47.77199999999999
