Industry_Name,Number_of_Firms,Beta,ROE,Cost_of_Equity,_ROE_COE_,BV_of_Equity,Equity_EVA,ROC,Cost_of_Capital,_ROC_WACC_,BV_of_Capital,EVA,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Std_Dev_in_Stock2,After_tax_Cost_of_Debt,D_D_E_
Advertising,80,1.2791060620585621,0.08231264840554198,0.11081367129389705,-0.02850102288835507,6759.35,-192.64838906040285,0.38730777580801745,0.09260114468190614,0.2947066311261113,3214.153697985039,947.2324082547034,0.7405187279064733,0.28880882805506164,0.058554999999999996,0.28880882805506164,0.040625458999999996,0.25948127209352667
Aerospace/Defense,6,0.7551477935328271,-1.1858096241657885,0.08131482077589816,-1.2671244449416867,85.41000000000001,-108.22509884246948,-0.06021841651454727,0.07135924415287691,-0.13157766066742418,554.7468991726657,-72.99229925564678,0.7436614474542872,0.6196670995669483,0.061224,0.6196670995669483,0.0424772112,0.2563385525457128
Air Transport,6,0.8376526584488906,0.14981131953657884,0.08595984467067255,0.06385147486590628,12391.32,791.2040575354018,0.08506380262520963,0.06290269459833453,0.022161108026875098,26266.19504257778,582.0879857935373,0.532941717272053,0.15583370303453475,0.052743,0.15583370303453475,0.0365930934,0.4670582827279471
Apparel,60,0.7445237967010849,0.046560118415059956,0.08071668975427108,-0.03415657133921113,13173.999999999998,-449.97867082276736,0.04211364871983289,0.07060825171533704,-0.028494602995504145,13976.568062536076,-398.25675818160806,0.7709062978961922,0.17952137316169342,0.052743,0.17952137316169342,0.0365930934,0.2290937021038077
Auto & Truck,10,1.4485868571394955,0.14902839341903726,0.1203554400569536,0.028672953362083656,289422.7,8298.60357902833,0.06844747634979617,0.0797260160081554,-0.011278539658359232,554431.448392434,-6253.1770785356175,0.5149440569615977,0.21406224490512202,0.052743,0.21406224490512202,0.0365930934,0.4850559430384022
Auto Parts,104,1.1938522802251452,0.06365879832276922,0.10601388337667568,-0.04235508505390646,122213.34999999998,-5176.356833972838,0.027464627313128615,0.08885777193711808,-0.06139314462398947,157400.07823200483,-9663.28576672473,0.7528678160343351,0.20237318834776644,0.052743,0.20237318834776644,0.0365930934,0.24713218396566491
Bank (Money Center),8,1.0628308416655978,0.06449916433781856,0.09863737638577316,-0.0341382120479546,352534.8,-12034.907756683266,0.002374607950120356,0.044916072888478036,-0.04254146493835768,79796.25122312979,-3394.649423621157,0.1341457921334429,0.15624539135737073,0.052743,0.15624539135737073,0.0365930934,0.8658542078665571
Banks (Regional),75,0.6961745755310824,0.04441745467828505,0.07799462860239995,-0.0335771739241149,169730.99999999997,-5699.087307313945,2.0873484770438674e-05,0.04336582172017179,-0.04334494823540135,50773.8655419556,-2200.790573627294,0.1635864053606203,0.16817272487177418,0.052743,0.16817272487177418,0.0365930934,0.8364135946393797
Beverage (Alcoholic),6,0.5303786962375058,0.07107922879030647,0.06866032059817158,0.0024189081921348887,24527.7,59.33025446422691,0.052038658982420626,0.0583653520861662,-0.006326693103745576,38903.7909355888,-246.13234582174928,0.6789566978029089,0.12707328404651796,0.052743,0.12707328404651796,0.0365930934,0.32104330219709104
Beverage (Soft),7,0.2583039643063298,0.06269485832400311,0.05334251319044637,0.00935234513355674,11611,108.5900793457273,0.08550836907475493,0.05106086420432375,0.034447504870431175,10198.388407795941,351.30903434809954,0.8637774314174133,0.15936070714407516,0.052743,0.15936070714407516,0.0365930934,0.13622256858258672
