Industry_Name,Number_of_firms,Number_of_Employees,Market_Capitalization_millions_,Revenues_millions_,Mkt_Cap_per_Employee_,Revenues_per_Employee_,Stock_based_Compensation_millions_,Stock_based_Compensation_as_of_Revenue
Advertising,80,135199,3684.44,5331.099999999999,27251.97671580411,39431.50467089253,0,0
Aerospace/Defense,6,2970,0,0,0,0,5.19,0.012204585537918871
Air Transport,6,82810,0,0,0,0,0,0
Apparel,60,118734,97.89999999999999,241.5,824.5321474893458,2033.9582596391936,0,0
Auto & Truck,10,989435,0,0,0,0,7.32,1.1596271070123537e-05
Auto Parts,104,1258840,2263.5,3064,1798.083950303454,2433.986845031934,0,0
Bank (Money Center),8,323498,121173.1,35945.2,374571.4038417548,111114.13362679213,9.63,0.00010519726945903698
Banks (Regional),75,177299,23794.299999999996,15689.7,134204.36663489358,88492.88490064806,0,0
Beverage (Alcoholic),6,73398,0,0,0,0,0,0
Beverage (Soft),7,49037,429.4,227.6,8756.653139466118,4641.39323368069,0,0
Broadcasting,11,29025,113.2,85.3,3900.0861326442723,2938.8458225667528,0,0
Brokerage & Investment Banking,37,82259,3827.9999999999995,656.93,46535.94135596105,7986.117020629961,313.696,0.01103888997390679
Building Materials,61,358130,0,0,0,0,0,0
Business & Consumer Services,218,731260,6345.1,4694.7,8676.941170035281,6420.0147690287995,488.113,0.005803946459573992
Cable TV,1,848,0,0,0,0,0,0
Chemical (Basic),69,287293,11.7,59.5,40.724974155304864,207.10563779834524,0,0
Chemical (Diversified),22,179134,0,0,0,0,0,0
Chemical (Specialty),73,275557,906.3,434.3,3288.9746948907123,1576.0804479653937,0,0
Coal & Related Energy,1,1046,0,0,0,0,0,0
Computer Services,244,742552,8215.130000000001,8415.150000000001,11063.373339510232,11332.741680043959,0,0
Computers/Peripherals,26,534314,2479.5,8410.2,4640.529725966379,15740.182738988686,2.38,2.519351104073864e-05
Construction Supplies,51,286287,343.5,201,1199.8449108761488,702.0926552725062,0,0
Diversified,15,366183,419,301.59999999999997,1144.2366248569704,823.6318998970459,0,0
Drugs (Biotechnology),30,5316,1499.4,257.88,282054.17607223475,48510.158013544016,4.834,0.0032279540554094274
Drugs (Pharmaceutical),41,202955,1201.5,356.8,5920.031534083911,1758.025177995122,439.6,0.004310600537452265
Education,36,39698,566.6999999999999,516.4300000000001,14275.278351554232,13008.967706181673,0.468,8.073823731866244e-05
Electrical Equipment,53,495695,0,0,0,0,0,0
Electronics (Consumer & Office),10,459852,23154.4,56583.700000000004,50351.852335099116,123047.63271661318,107.11,0.000642438615653046
Electronics (General),137,697603,7002.599999999999,1897.7,10038.087565563794,2720.3151362594485,0.358,2.9528698059081982e-06
Engineering/Construction,157,354663,530.5,1608.3999999999999,1495.786140646191,4535.009290509582,0,0
Entertainment,73,74368,965,612.1,12976.011187607573,8230.690619621342,-0.132,-3.7663751720548685e-06
Environmental & Waste Services,36,63199,178.8,154.4,2829.158689219766,2443.0766309593505,0,0
Farming/Agriculture,11,68788,79.8,277.4,1160.0860615223585,4032.6801186253415,0,0
Financial Svcs. (Non-bank & Insurance),47,123596,7065.1,1062.8199999999997,57162.85316676915,8599.145603417584,6.27,6.650733898408819e-05
Food Processing,121,359733,100.03999999999999,322.79999999999995,278.0951427864555,897.3321880394624,0,0
Food Wholesalers,37,31770,1578.6,8296.2,49688.38526912181,261133.1444759207,0,0
Furn/Home Furnishings,20,37605,41.089999999999996,80.307,1092.6738465629571,2135.540486637415,0,0
Green & Renewable Energy,9,1794,1495.3,556.3,833500.5574136009,310089.1861761427,0,0
Healthcare Products,40,211237,1542.1,204.3,7300.330907937529,967.1601092611617,0,0
Healthcare Support Services,47,137943,107.1,194.70000000000002,776.4076466366542,1411.4525564907246,0,0
Heathcare Information and Technology,36,26829,3417.2,1359.33,127369.63733273697,50666.44302806664,0.144,3.6494666963354784e-05
Homebuilding,51,128879,4646.900000000001,10093.5,36056.30087135996,78317.64678496885,0,0
Hospitals/Healthcare Facilities,9,11681,14.5,32.2,1241.3320777330707,2756.6133036555093,0,0
Hotel/Gaming,33,49475,511.3,1135.9,10334.512379989894,22959.070237493685,0,0
Household Products,43,149521,6128.1,2700.7999999999997,40984.878378288,18063.014559827712,0,0
Information Services,14,58630,1439.9,512.2,24559.09943714822,8736.141906873616,0,0
Insurance (General),6,3818,155.8,68,40806.70508119434,17810.3719224725,0,0
Insurance (Life),5,328694,29991,76696.5,91242.91894588889,233337.08555677926,0,0
Insurance (Prop/Cas.),7,132479,86367.70000000001,118866.50000000001,651935.023664128,897247.8656994695,0,0
Investments & Asset Management,14,1375,40.7,31.3,29600,22763.636363636364,0,0
Machinery,229,809421,2251.4999999999995,2569.9700000000003,2781.6179713647157,3175.072057680738,0,0
Metals & Mining,21,76867,58.5,580.9,761.0548089557287,7557.209205510818,0,0
Office Equipment & Services,26,39600,0,0,0,0,0,0
Oil/Gas (Production and Exploration),2,4981,0,0,0,0,0,0
Oil/Gas Distribution,3,12932,0,0,0,0,0,0
Oilfield Svcs/Equip.,19,89846,51.7,6.01,575.4290675155265,66.89223782917436,0,0
Packaging & Container,30,76638,41.3,57.7,538.8971528484564,752.8902111224197,0,0
Paper/Forest Products,15,82526,15.2,54.4,184.18437825654945,659.1861958655454,0,0
Power,25,249557,0,0,0,0,0,0
Precious Metals,2,1606,0,0,0,0,0,0
Publishing & Newspapers,53,137217,474.40000000000003,1262.4999999999998,3457.297565170497,9200.7550084902,4.3,0.00014367835295155432
R.E.I.T.,54,15448,0,0,0,0,0,0
Real Estate (Development),15,4998,0,0,0,0,-0.877,-0.00021533837835714252
Real Estate (General/Diversified),56,173231,559.6,591.3,3230.3686984431192,3413.3613498738678,4.81,4.593722053265782e-05
Real Estate (Operations & Services),43,21459,496.20000000000005,643.7,23123.16510555012,29996.737965422435,-0.003,-2.0886390567149051e-07
Recreation,51,119566,1340.4,812.4,11210.54480370674,6794.573708244819,0,0
Restaurant/Dining,107,123303,6022.719999999998,5003.1,48844.878064605065,40575.655093550035,0,0
Retail (Automotive),29,33882,0,0,0,0,0,0
Retail (Building Supply),19,45956,57.7,103.7,1255.5487857951084,2256.506223344068,0,0
Retail (Distributors),144,592781,1303.7,2539.0499999999997,2199.2945118011544,4283.285058056853,10.9,1.723408031476705e-05
Retail (General),42,277453,5357.6,8388.3,19309.93717854916,30233.228690985496,40.848,0.000319340305221411
Retail (Grocery and Food),57,204063,403.79999999999995,1957.2,1978.8006645006685,9591.155672512901,0.386,2.3684843822998867e-06
Retail (REITs),4,60,0,0,0,0,0,0
Retail (Special Lines),131,345884,79880.97000000002,29806.7,230947.28290409505,86175.42297417631,6.347,4.2685201114079026e-05
Rubber& Tires,6,213126,0,0,0,0,0,0
Semiconductor,21,82174,0,0,0,0,121.5,0.00512484372390126
Semiconductor Equip,36,88396,10251.999999999998,3675.5,115978.09855649575,41579.93574369881,11.6,0.00032912245738715343
Shipbuilding & Marine,29,84262,0,0,0,0,0,0
Shoe,3,9903,0,0,0,0,0,0
Software (Entertainment),73,46932,1409.2699999999998,955.54,30027.912724793314,20360.09545725731,0.554,3.3614151047918124e-05
Software (Internet),26,16455,1109.6000000000001,1006.5000000000001,67432.39137040415,61166.81859617138,0,0
Software (System & Application),176,104805,6612.05,1003.5200000000002,63089.07017794953,9575.115691045277,1.669,0.0001039403933916578
Steel,42,281964,0,0,0,0,0,0
Telecom (Wireless),7,168679,17.3,64.7,102.56167039169073,383.5687904244156,0,0
Telecom. Equipment,16,12051,0,0,0,0,0,0
Telecom. Services,20,353902,1827.7,2052.3,5164.424049595651,5799.063017445508,0,0
Tobacco,1,52640,0,0,0,0,0,0
Transportation,33,494902,355.29999999999995,1034.7,717.9199114168056,2090.7169500224286,0,0
Transportation (Railroads),20,396602,0,0,0,0,0,0
Trucking,20,106645,1948.9,2687.9,18274.649538187445,25204.18209948896,0,0
Total Market,4020,17395017,475772.61,435093.8369999998,27351.08623348859,25012.556009574455,1587.015,0.00024190334871101839
Total Market (without financials),3821,16221999,203356.91,186076.8869999998,12535.872428545952,11470.650873545228,1257.4189999999999,0.00020942710509623582
