Industry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Advertising,80,230.16580000000002,0.03211309153109608,85.17499999999998,0.0033293515318339544,69.884,75.159,75.54299999999999,68.85499999999999,63.494,0.06051274202406054
Aerospace/Defense,6,154.562,0.3360298365501916,87.06000000000002,0.2047266313932981,45.72,34.599999999999994,17.13,16.57,17.29,0.3816712916193177
Air Transport,6,0.022,8.922432533334619e-07,0.007,2.743021948094188e-07,0.007,0.008,0.008,0.007,0.007,0
Apparel,60,435.8298,0.031031595584493463,137.94599999999997,0.007706329764501805,143.415,155.069,154.37500000000003,141.802,150.81,-0.01767364859173448
Auto & Truck,10,71233.82,0.10827331439103854,23026.6,0.03647851030373041,23732.100000000002,25688.800000000003,23859.800000000003,21321.7,22567.100000000006,0.004039532201049578
Auto Parts,104,24568.504799999995,0.16921204221783742,5325.228000000002,0.021731437861767046,9359.513000000003,10193.161000000007,9675.580000000002,8847.689000000006,9377.572000000004,-0.10700390468549048
Banks (Regional),75,116.5014,0.0015088852497606446,32.7,0.0007012336995331546,33.8,36.8,59.574,54.259,57.769,-0.10757735766836152
Beverage (Alcoholic),6,2131.392,0.05232836319316394,680.3199999999999,0.017765011554882425,702.8699999999999,764.38,752.12,646.5,688.3600000000001,-0.002346977767426872
Beverage (Soft),7,237.052,0.021385377529631183,75.469,0.0037049273683228685,78.384,84.727,84.052,72.094,77.332,-0.004865299014949587
Broadcasting,11,26.7844,0.001188801100920696,8.79,0.0006403438478910177,9.079,9.878,8.249,7.524,8.014,0.01865684397668299
Brokerage & Investment Banking,37,36.082600000000006,0.00010079914587090315,10.5,0.0003694925811168178,10.757,11.761,17.047,15.508,16.534000000000002,-0.08680763213473208
Building Materials,61,5310.850600000001,0.08784272980906889,1715.3310000000001,0.019337696158008656,1772.4109999999996,1926.4879999999998,1760.5089999999996,1587.472,1690.8009999999995,0.002884890062230916
Business & Consumer Services,218,3493.6322000000005,0.14013075512123646,1222.3110000000001,0.014533986189567468,1265.87,1375.1560000000002,744.876,677.9059999999998,720.438,0.11151933486088295
Cable TV,1,1.7060000000000002,0.0009139654208261725,0,0,0,0,2.93,2.67,2.85,-1
Chemical (Basic),69,9659.3758,0.10532652296091148,3093.8229999999994,0.029392311960144246,3193.0020000000004,3479.745000000001,3309.827999999999,2996.865,3191.3770000000004,-0.006189752480649124
Chemical (Diversified),22,10572.2586,0.15231735846438588,3387.5769999999998,0.044056357041508926,3497.7160000000003,3803.213,3615.348,3292.209,3502.725,-0.006662967420022481
Chemical (Specialty),73,7820.368999999998,0.0965519844158858,2473.2490000000003,0.025947290234184038,2601.0550000000007,2813.092,2734.4249999999993,2423.2540000000013,2570.9540000000006,-0.007718927951558818
Coal & Related Energy,1,2.5706,0.004243314625288875,0.777,0.0007412707498568975,0.802,0.873,1.08,0.981,1.04,-0.0566398297162215
Computer Services,244,6480.0251999999955,0.08243323699944088,2057.813,0.011682893151595795,2123.145999999999,2311.7329999999993,2295.719,2091.8400000000006,2220.7899999999995,-0.015128244762046439
Computers/Peripherals,26,16998.376999999997,0.2753418611232641,5501.989,0.05824135320063973,5613.526,6012.514,5857.641999999999,5275.009999999998,5591.293,-0.003215001398409134
Construction Supplies,51,6775.136000000002,0.06642128912460579,2213.7919999999995,0.02216635943916044,2241.298,2425.8150000000005,2254.7839999999997,2054.515,2189.4320000000007,0.002215396935213221
Diversified,15,7418.180200000001,0.14856832281803056,2347.4799999999996,0.02824811575340141,2425.192,2637.9109999999996,2665.6939999999995,2407.6119999999996,2563.6319999999996,-0.01746225446651628
Drugs (Biotechnology),30,1056.6770000000001,1.0752058367082176,322.008,0.21502420965541558,338.92599999999993,386.12800000000004,403.663,351.931,375.03399999999993,-0.030027986258837513
Drugs (Pharmaceutical),41,52920.35079999999,0.42749117949307014,17394.96399999999,0.1705703848211164,17489.761000000002,18655.718000000008,18050.492000000006,15599.751999999999,16010.053,0.016731205058152288
Education,36,52.2492,0.021252342041344394,20.076999999999998,0.0034636358774503963,16.211000000000002,17.444000000000003,14.931000000000001,13.822999999999999,12.591999999999999,0.09779391906730317
Electrical Equipment,53,9255.6622,0.15440795304384164,2973.7309999999998,0.033185776811600676,3067.0710000000013,3324.578000000001,3153.761,2860.116,2988.979000000001,-0.0010223698515733348
Electronics (Consumer & Office),10,32331.444000000007,0.29657051832244724,10389.84,0.06231756536697454,11962.850000000002,9900.820000000002,11863.28,8427.6,8569.09,0.03928541142774922
Electronics (General),137,17479.797200000005,0.15326770925467179,5565.870000000002,0.04590862979500075,5874.644999999998,6394.155999999996,5719.288000000001,5450.012000000003,5772.3820000000005,-0.007259821960532209
Engineering/Construction,157,2893.1562,0.032807815374805045,922.2279999999998,0.00525233299418029,961.1,1040.5059999999999,992.5300000000001,903.6629999999994,959.8779999999998,-0.007970805620966193
Entertainment,73,5030.7364,0.18969707258886928,1634.893,0.04664863942550227,1689.5160000000003,1849.3799999999999,1716.5919999999996,1239.829,1548.4210000000005,0.010927606211424301
Environmental & Waste Services,36,103.0614,0.016975912162846742,33.522000000000006,0.0025936586045216103,34.71900000000001,37.437999999999995,34.74,27.027000000000005,27.583,0.03977096169122918
Farming/Agriculture,11,2191.5736,0.07030258671337755,728.568,0.028378984762082823,752.796,806.8960000000001,811.249,260.658,396.77799999999996,0.12923544534311193
Financial Svcs. (Non-bank & Insurance),47,4.774800000000001,4.018970351946146e-06,1.487,1.5772952642637824e-05,1.546,1.591,1.897,1.688,1.8070000000000002,-0.03823146831916058
Food Processing,121,4105.901800000001,0.05027356463599486,1295.1859999999997,0.008571867266986236,1356.8570000000002,1466.8270000000005,1452.2999999999997,1321.0699999999997,1392.7060000000001,-0.014413970199516735
Food Wholesalers,37,5.339,0.0005954169555595271,1.669,3.54001296378624e-05,1.722,1.8679999999999999,2.0140000000000002,1.8299999999999998,1.9529999999999998,-0.03093966270824755
Furn/Home Furnishings,20,809.9150000000001,0.1213157030021858,259.12199999999996,0.025887847302042966,267.201,289.809,278.75600000000003,258.222,272.402,-0.00994619082197623
Green & Renewable Energy,9,3.877,0.0009278112482194691,1.059,0.00035137663992355314,1.046,1.137,2.156,2.183,2.398,-0.15080123035758175
Healthcare Products,40,5944.956000000002,0.18888463432097533,1847.773,0.05284761514430344,2000.8789999999995,2164.1,2125.872,1738.3549999999998,2017.2179999999998,-0.017394577610284512
Healthcare Support Services,47,374.2468,0.025469827700959582,120.66600000000001,0.0013169592915447473,125.25200000000001,134.16,126.381,111.654,119.063,0.002678306971478861
Heathcare Information and Technology,36,158.1896,0.082990723961946,47.628,0.012070611098129597,53.230999999999995,56.99,58.365,52.184,55.97499999999999,-0.03178089364569214
Homebuilding,51,1190.1533999999997,0.017348267873367032,379.891,0.004750861675279052,394.746,426.46299999999997,410.968,371.003,399.15,-0.009841832363023495
Hotel/Gaming,33,32.434,0.003483956369013317,10.9,0.0011596151779796522,11.26,12.25,8.89,8.1,8.620000000000001,0.04805445026814503
Household Products,43,3414.336999999999,0.13965492567856336,1091.5680000000002,0.026605634729707006,1124.2120000000002,1218.9559999999997,1210.1560000000002,1039.817,1182.1679999999997,-0.015820489542884175
Information Services,14,16.525599999999997,0.011309611275740756,5.590999999999999,0.0011683697991766453,5.787999999999999,5.338000000000001,5.032,5.443,4.171,0.060351513187336225
Insurance (General),6,0.6028,0.004285098536150478,0.198,0.0001947304753193875,0.20500000000000002,0.23,0.226,0.062,0.066,0.2457309396155174
Machinery,229,14085.066200000001,0.0947252897123369,4460.263999999997,0.022697492243489364,4881.803999999998,5132.019000000001,4486.563999999997,4227.609999999999,4614.903999999999,-0.006793441314426829
Metals & Mining,21,1090.255,0.027375398231800106,334.24300000000005,0.007379507831163039,358.789,404.93,389.381,351.35200000000003,372.24899999999997,-0.021308635832111067
Office Equipment & Services,26,429.91140000000007,0.07971046477503915,137.52800000000002,0.014291444544897171,141.974,154.29799999999997,151.164,128.799,137.32500000000002,0.0002954743460492626
Oil/Gas (Production and Exploration),2,44.024,0.0010899008023831566,14.75,0.000849223895721063,15.209999999999999,16.59,15.85,4.0600000000000005,4.32,0.2783849662016702
Oil/Gas Distribution,3,42.900000000000006,0.012367569529502565,13.8,0.002201448489295856,14.2,15.5,14.5,13.2,14.1,-0.004292003955326806
Oilfield Svcs/Equip.,19,1243.1776,0.0162486162025868,398.088,0.0020030722751496173,410.99199999999996,446.95300000000003,426.092,388.437,413.346,-0.007494163317997682
Packaging & Container,30,553.3176000000001,0.032474190762760126,176.55499999999998,0.00817740127648143,181.183,198.368,193.52100000000002,176.93499999999997,188.28900000000002,-0.012786661815197942
Paper/Forest Products,15,467.4178,0.015975712957254713,147.595,0.004950128117411894,152.26200000000003,165.70299999999997,169.348,154.261,164.357,-0.021284000517491575
Power,25,2056.6373999999996,0.006748351549957367,656.5659999999999,0.0027795588968059664,678.333,737.7860000000002,712.2320000000001,649.203,691.0330000000001,-0.010180693833927168
Precious Metals,2,8.382,0.003790736168018885,2.72,0.0010040605389442599,2.81,3.06,2.71,2.47,2.63,0.006752301507851888
Publishing & Newspapers,53,1333.0180000000003,0.0621712631035419,421.87100000000004,0.01409621638093609,434.9680000000001,469.762,483.8020000000001,438.973,465.993,-0.0196976225502159
Real Estate (General/Diversified),56,277.63960000000003,0.0011994654471548874,87.59899999999999,0.0008366017840832208,90.50899999999999,98.378,100.66699999999999,91.699,97.609,-0.021407558539185634
Recreation,51,3651.961600000001,0.11675748412656183,1163.732,0.03131940500956753,1206.3460000000002,1307.666,1270.262,1152.242,1244.652,-0.013354800768406228
