Industry_Name,Number_of_firms,Beta_,D_E_Ratio,Effective_Tax_rate,Unlevered_beta,Cash_Firm_value,Unlevered_beta_corrected_for_cash,HiLo_Risk,Standard_deviation_of_equity,Standard_deviation_in_operating_income_last_10_years_
Advertising,80,1.2791060620585621,0.3504047396979524,0.2761944116135301,1.007875767549067,0.2566533974130682,1.355862479281594,0.3069713796433544,0.28880882805506164,0.3004228475392951
Aerospace/Defense,6,0.7551477935328271,0.34469791788079734,0,0.5970831617360219,0.09626261585960136,0.6606821541458587,0.45498879447493024,0.6196670995669483,3.803492988158035
Air Transport,6,0.8376526584488906,0.87637778689696,0.1749239999569143,0.5006715775461525,0.22686452081427083,0.6475858255443959,0.15846579763599675,0.15583370303453475,5.766913105429754
Apparel,60,0.7445237967010849,0.29717451099959324,0.23484284858136018,0.6061761900307587,0.18909364911466003,0.7475292176081013,0.20905633248464497,0.17952137316169342,0.32559748551532436
Auto & Truck,10,1.4485868571394955,0.9419585224469837,0.2325087901902541,0.8405283523159477,0.16066637278953366,1.0014234209934516,0.2335029122110137,0.21406224490512202,0.15914355417611983
Auto Parts,104,1.1938522802251452,0.3282544142574881,0.2699733874127004,0.9534804422214125,0.21876813518238347,1.2204832971630113,0.24792839504044334,0.20237318834776644,0.28646450798621126
Beverage (Alcoholic),6,0.5303786962375058,0.47284797872379936,0.31219876853405043,0.38908393583159095,0.04524337356008194,0.4075215872367403,0.19236851620544804,0.12707328404651796,0.1770560806231279
Beverage (Soft),7,0.2583039643063298,0.15770563530359047,0.25737543033707544,0.23039856724718988,0.12904555319544983,0.26453572640050294,0.19473453846449088,0.15936070714407516,0.19098461124678823
Broadcasting,11,0.5581086228993901,0.25832691899392624,0.3379549176684596,0.4657133820949191,0.18038315279943373,0.5682086497923774,0.19077569714927645,0.11960713829091961,0.10273051791101254
Brokerage & Investment Banking,37,1.0235219962053272,9.608679117612287,0.24179018930451315,0.12214645296796063,0.1986004367355512,0.15241642068084618,0.25071065885227484,0.20316578395322846,0.4395009219989783
