Industry_Name,Number_of_Firms,Capital_Expenditures_US_millions_,Depreciation_Amort_US_millions_,Cap_Ex_Deprecn,Acquisitions_US_millions_,Net_R_D_US_millions_,Net_Cap_Ex_Sales,Net_Cap_Ex_EBIT_1_t_,Sales_Invested_Capital_LTM_
Advertising,80,342.272,625.8940000000002,0.546852981495269,1024.05,14.58800000000042,0.02951234136964069,0.808566109355324,7.959501132767263
Air Transport,6,1909.734,494.407,3.862675892533884,0,-0.0003999999998995918,0.055461027536021765,0.706025175379075,0.9715643989787232
Apparel,60,531.276,236.83899999999997,2.2431947441088673,16.719,-11.148200000000202,0.016759884583262323,0.5370975430338638,1.2807400157111213
Auto & Truck,10,43631.299999999996,12795.170000000004,3.409982047913391,54,-407.3000000000029,0.0482905955825811,0.8117781935207854,1.138531015566061
Auto Parts,104,10419.908999999998,1632.5619999999997,6.382550249240151,298.048,-4165.474999999996,0.020077438142529287,0.5925078377299355,1.5568429364997196
Beverage (Alcoholic),6,1618.99,907.6500000000001,1.7837161901614056,1193.105,-30.526000000000295,0.048933138358292744,0.8764564157566803,0.9843642246434051
Beverage (Soft),7,808.24,593.3240000000001,1.3622236754286021,17.34,-3.848799999999983,0.011212976008718747,0.26766699327734106,1.997364601688308
Broadcasting,11,676.4799999999999,202.612,3.338795332951651,424.39000000000004,0.24119999999982156,0.06545488453412981,1.5565003628522283,0.6444422538401143
Brokerage & Investment Banking,37,1477.854,927.1830000000004,1.5939183526876564,2.0810000000000004,-3.8213999999998123,0.019316741356952702,0.6676393509436318,0.09054126060206777
Building Materials,61,4545.171999999999,1099.507,4.133827251668246,680.528,-32.205199999993056,0.0461533617424243,0.8898669453242192,1.500528851385145
Business & Consumer Services,218,1188.9220000000005,894.0139999999998,1.3298695546154766,171.95000000000005,265.4617999999973,0.008707706843468464,0.1359732430597821,3.243047064210087
Chemical (Basic),69,5945.662,1568.4599999999998,3.790764189077185,399.55400000000003,-140.34039999999914,0.04404743700337072,1.2844701454716516,1.1055253117817387
Chemical (Diversified),22,4252.9,2499.018,1.7018284782262472,115.15800000000002,-154.66520000000082,0.022295908931890093,1.0199741961203315,1.0548365409193963
Chemical (Specialty),73,5933.627,696.658,8.517273899101138,71.22000000000001,-155.30699999999706,0.054059791309529606,0.5964887650348947,1.136058918772203
Coal & Related Energy,1,49.5,1.03,48.05825242718446,0,-0.17820000000000036,0.04607116962411753,2.2471499262285777,1.62317702292424
Computer Services,244,5873.927999999998,566.3980000000001,10.370672212825605,-313.0139999999999,-150.83260000000337,0.027499211844010205,0.5780439171973578,2.5997611779894267
