Industry_Name,Number_of_firms,Book_Debt_to_Capital,Market_Debt_to_Capital_Unadjusted_,Market_D_E_unadjusted_,Market_Debt_to_Capital_adjusted_for_leases_,Market_D_E_adjusted_for_leases_,Interest_Coverage_Ratio,Debt_to_EBITDA,Effective_tax_rate,Institutional_Holdings,Std_dev_in_Stock_Prices,EBITDA_EV,Net_PP_E_Total_Assets,Capital_Spending_Total_Assets
Advertising,80,0.3172458865967795,0.25846207299229795,0.3485486899304793,0.25948127209352667,0.3504047396979524,8.052367579113994,1.9857010322388953,0.2761944116135301,0.1104879220779221,0.28880882805506164,0.13554397564925774,0.05249192592112389,0.00873567607106925
Aerospace/Defense,6,0.7197143461357018,0.2551058063772127,0.3424725398066369,0.2563385525457128,0.34469791788079734,-7.379525107045544,-7.084074119832416,0,0.12596666666666667,0.6196670995669483,-0.04586579484985244,0.13110781188594384,0.008329330596917164
Air Transport,6,0.564521146041501,0.4401242421527342,0.7861105539647247,0.4670582827279471,0.87637778689696,8.530984735697984,5.452035490824221,0.1749239999569143,0.18650000000000003,0.15583370303453475,0.1553913981570727,0.38178881176205,0.04185745878877012
Apparel,60,0.23117786389798986,0.224088427230606,0.2888066567054627,0.2290937021038077,0.29717451099959324,17.05290597515641,2.755468158893275,0.23484284858136018,0.17488084745762714,0.17952137316169342,0.09679231672148186,0.28906270678786594,0.023128722181590216
Auto & Truck,10,0.46052288027905486,0.4849476516133687,0.9415502193756352,0.4850559430384022,0.9419585224469837,38.11921908311091,5.034752205655788,0.2325087901902541,0.38319000000000003,0.21406224490512202,0.12770210494133008,0.18019842594885604,0.04306526310137446
Auto Parts,104,0.2106801901660956,0.24688361027434044,0.3278160104366785,0.24713218396566491,0.3282544142574881,14.595312831682216,1.5710152799192159,0.2699733874127004,0.21099184466019427,0.20237318834776644,0.19390884520350657,0.2981522432987124,0.042229253107534816
Beverage (Alcoholic),6,0.37201639301560285,0.3209124307643911,0.4725641365010037,0.32104330219709104,0.47284797872379936,17.698169105883743,3.238809814283517,0.31219876853405043,0.4059833333333333,0.12707328404651796,0.09334364282984395,0.1858494087375017,0.025715193341645685
Beverage (Soft),7,0.1736211497921228,0.13536741809652397,0.15656062578455532,0.13622256858258672,0.15770563530359047,37.30824156643711,1.2287956927168728,0.25737543033707544,0.1673285714285714,0.15936070714407516,0.12301209174388408,0.31452066632759157,0.03637885791702862
Broadcasting,11,0.09638750196702058,0.17663887241391338,0.21453389830508474,0.20529396224032712,0.25832691899392624,59.7133965404936,1.871659216058588,0.3379549176684596,0.1625090909090909,0.11960713829091961,0.12218376571419057,0.27180967034510506,0.02159435880574717
Brokerage & Investment Banking,37,0.8777559799686253,0.9056679887250686,9.600855282153285,0.9057375580019361,9.608679117612287,5.073126488039,270.086615530874,0.24179018930451315,0.18849742857142857,0.20316578395322846,0.005639581017829219,0.013364751922655927,0.0018426211653702917
Building Materials,61,0.29346779005650453,0.2184535880895445,0.27951454291184624,0.21981778854151235,0.28175185913375383,9.879671324744749,1.9388704102285457,0.265712176327184,0.2109034482758621,0.17017550903641812,0.11774177708527349,0.29721561127300655,0.04335568920536653
