Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Advertising,80,184.65991,556.3800000000002,0.3318953053668355,150.47500000000002,0.2704536467881663,103.57700000000003,764.3520000000005,1145.4800000000012,0.13550955580674867,0.09042235569368293,0.1861623350947194,0.2566533974130682
Air Transport,6,102.0923,1856.36,0.05499595983537676,59.870000000000005,0.032251287465793275,59.870000000000005,649.558,49.48799999999983,0.09217036815803978,1.2097882314904667,0.032251287465793275,0.22686452081427083
Apparel,60,269.32655,613.3829999999998,0.4390838187559813,117.706,0.19189641708361665,97.602,131.57299999999978,24.239000000003216,0.7418087297545862,4.026651264490575,0.15912081032568565,0.18909364911466003
Auto & Truck,10,8016.693099999999,43132.2,0.1858633016632585,11012.175,0.25531215657907547,11011.545999999998,9130.17000000001,24001.370000000024,1.2060614424484963,0.45878822750534604,0.2552975735065682,0.16066637278953366
Bank (Money Center),8,8239.769,22738.199999999997,0.36237560580872724,9270.099999999999,0.4076883834252491,8476.748,21142.199999999997,71234.00000000001,0.40093973191058646,0.11899862425246369,0.372797670879841,1.1029614676720652
Banks (Regional),75,2261.7475899999986,7539.018999999998,0.30000555642584253,1443.779,0.1915075422942959,1078.8919999999998,6328.318999999999,6238.998999999999,0.1704863487444296,0.17292709936321515,0.1431077438589822,1.3100612570962518
Beverage (Alcoholic),6,845.1885,1743.41,0.484790439426182,0.33499999999999996,0.00019215216156842047,0.33499999999999996,759.1110000000004,1267.4220000000005,0.00044130568520282245,0.0002643160683655482,0.00019215216156842047,0.04524337356008194
Broadcasting,11,239.92207999999997,942.77,0.25448633282773103,115.13499999999999,0.122124166021405,114.05499999999999,484.85600000000017,734.7560000000003,0.2352347913607338,0.15522840235397867,0.12097860559839621,0.18038315279943373
Business & Consumer Services,218,1352.1219180000005,5271.411000000003,0.25650094784868793,2395.1910000000007,0.4543737910020675,2330.1750000000006,5202.784000000002,4341.940000000003,0.44787079379040134,0.5366667894996243,0.4420400913531499,0.14735963770574134
Chemical (Specialty),73,3324.0086380000002,8613.922999999997,0.3858878977673705,1396.356,0.16210453703846672,1375.968,2564.9789999999957,3227.3979999999956,0.5364441580223474,0.4263397325027784,0.15973767120973806,0.13536841434369412
Computer Services,244,1952.298039999999,8228.458000000008,0.23726171294791773,2148.9559999999997,0.26116144726022755,1883.9569999999997,1549.5940000000094,2685.534000000014,1.215774583536067,0.7015204424892739,0.22895626373738528,0.1203584738416997
Diversified,15,1243.5614800000003,5438.450000000003,0.2286610118691906,1142.3209999999997,0.2100453254144102,1141.9059999999997,3003.3690000000033,242.89400000000387,0.3802083593457875,4.701252398165379,0.20996901690739075,0.0952360310726393
Drugs (Pharmaceutical),41,5042.40305,9212.668999999998,0.5473335740163899,3068.835,0.33311030712163875,3052.745,5807.620999999998,10213.825999999997,0.5256446658623214,0.298883591711862,0.3313637991335628,0.08502870551809386
Education,36,89.89800000000001,182.41599999999997,0.492818612402421,16.898,0.09263441803350585,7.904,42.74899999999998,9.404000000000053,0.18489321387634808,0.8404934070608204,0.04332953249714938,0.2699876742030391
Electronics (General),137,2770.251050000002,9003.588999999998,0.30768297508915643,2325.1809999999996,0.25825045989993545,2190.4769999999994,329.2149999999913,2334.0599999999945,6.653636681196353,0.9384835865401937,0.2432893149609561,0.11000176440429743
Engineering/Construction,157,2339.75956,5845.5689999999995,0.40026207200701935,1527.4750000000001,0.2613047592116354,1434.2600000000002,150.99099999999999,2646.6540000000023,9.498976760204252,0.5419144323360737,0.24535849290291506,0.2523443596006952
Entertainment,73,2270.3912000000014,5816.761999999997,0.39031873746940354,678.058,0.11656966539115754,531.6569999999999,5490.408999999997,5348.752999999997,0.09683376957891483,0.09939830835336765,0.09140085153905217,0.17248604103666113
Environmental & Waste Services,36,137.6163,679.1180000000002,0.2026397474371169,51.82999999999999,0.07631957921892805,26.685999999999993,511.0100000000002,262.4340000000001,0.052222070018199215,0.10168651927722774,0.03929508568466745,0.19567064237320517
Financial Svcs. (Non-bank & Insurance),47,2141.68504,22151.107,0.09668523744659803,1359.961,0.061394719460296045,1230.096,9965.592,22824.237,0.1234343127834252,0.05389428790105886,0.05553203277831668,0.02998139621252656
Food Processing,121,1719.6544300000005,6014.024999999998,0.28594068531474365,1018.8630000000002,0.16941449362116062,987.5770000000002,768.5589999999986,629.6829999999982,1.284972266280145,1.568371704492583,0.164212320367807,0.11359637622521387
Food Wholesalers,37,88.03381999999998,568.3900000000001,0.1548827741515508,10.793,0.018988722532064246,5.195999999999999,601.5570000000001,656.6150000000002,0.008637585465716462,0.007913312976401693,0.0091416105139077,0.20204013781027239
Healthcare Products,40,1129.6112500000002,4997.506999999999,0.22603495102658194,1828.673,0.365917046239255,1682.78,2197.145999999998,1934.3259999999982,0.7658935728440448,0.8699567704719895,0.3367238905318192,0.09363252072667837
Healthcare Support Services,47,411.29276000000004,1281.963,0.32083044518445547,564.13,0.440051701960197,548.43,1791.828,1749.9319999999998,0.3060729043189413,0.313400749286258,0.4278048586425661,0.32889233536243456
Heathcare Information and Technology,36,123.78278,523.753,0.2363380830276867,11.113,0.021218016889640725,-27.628,431.8200000000001,454.59300000000013,-0.06398036218794867,-0.06077524290959164,-0.05275005584693548,0.10634721825156186
Homebuilding,51,992.8087099999999,4303.977999999999,0.2306723477675769,257.427,0.05981141167543144,250.121,925.2479999999991,2628.751,0.27032860379055157,0.09514822818897643,0.05811391229230262,0.16471235963181016
Household Products,43,962.5143000000003,1901.5330000000001,0.5061780679062631,123.667,0.0650354214205065,122.543,1250.6910000000003,1099.451,0.09798023652524883,0.11145835512451215,0.06444431939913743,0.10417448034050009
Information Services,14,63.05783999999999,262.78000000000003,0.23996438085090183,105.387,0.40104650277798914,101.03,273.002,281.383,0.37007054893370744,0.35904798797368714,0.3844660933099931,0.1562828805983435
Insurance (General),6,2.4976000000000003,88.823,0.028118843092442277,0.187,0.002105310561453678,-0.5509999999999999,110.04599999999999,113.90799999999999,-0.005006997073950893,-0.00483723706851143,-0.006203348231876879,0.22524306413155767
Insurance (Life),5,2703.3523999999998,4994.696,0.5412446323059501,2903.1,0.5812365757595658,2834.2889999999998,3320.365,1719.558,0.8536076606035782,1.6482660078927258,0.5674597613148027,1.60082109038682
Insurance (Prop/Cas.),7,2504.0114,6922.219999999999,0.3617353103484143,1106.36,0.1598273386283591,1105.4289999999999,9186.296999999999,8789.947,0.12033455918091915,0.12576059901157535,0.15969284420316024,0.3363988284514043
Investments & Asset Management,14,80.36341000000002,382.48,0.21011140451788332,292.663,0.7651720351390923,283.894,365.66499999999996,467.14099999999996,0.7763772852200785,0.6077265750597786,0.7422453461618908,0.23273278840916947
Office Equipment & Services,26,176.98875999999998,537.285,0.32941317922517843,45.788000000000004,0.08522106517025416,43.356,337.5899999999999,322.21099999999996,0.12842797476228565,0.13455778977129895,0.08069460342276447,0.2801483785121336
Oil/Gas (Production and Exploration),2,706.4904,3447.7999999999997,0.20491049364812347,0.007,2.030280178664656e-06,0.007,3209.5399999999995,3207.7999999999997,2.180997900010594e-06,2.18218093397344e-06,2.030280178664656e-06,0.08752417452006685
Oil/Gas Distribution,3,39.8128,222.97,0.17855675651432928,0.1,0.00044849082836256003,0.1,133.937,69.55800000000002,0.0007466196794015097,0.001437649156099945,0.00044849082836256003,0.06088550505436201
Power,25,1118.4780599999997,15184.5,0.07365919589054626,1135.083,0.0747527412822286,-172.14399999999978,7235.201999999996,5873.081999999995,-0.0237925630825511,-0.029310675383044188,-0.01133682373472948,0.1109971530639132
Precious Metals,2,48.2072,62.85,0.7670198886237072,0,0,0,179.22900000000004,156.073,0,0,0,0.06747042084768608
R.E.I.T.,54,2626.2700000000004,3889.1800000000007,0.67527602219491,2481.2000000000003,0.6379751001496459,1003.6000000000001,1682.5290000000002,4220.728999999999,0.5964830323875547,0.237778829202254,0.25804925459865574,0.03307269932214347
Recreation,51,1121.45914,3982.1630000000005,0.2816206016679879,418.55000000000007,0.10510619479915816,344.10900000000004,2023.4080000000008,2383.4100000000003,0.17006407012327712,0.1443767543141969,0.08641258532109308,0.10315530553684903
Restaurant/Dining,107,200.30751500000008,735.1470000000005,0.2724727367451679,82.568,0.1123149519755912,-208.61300000000006,1038.1550000000007,993.9739999999993,-0.200945908847908,-0.20987772315976094,-0.283770456792995,0.11113842708843791
Retail (Automotive),29,225.59749999999997,713.8679999999999,0.3160213092616562,85.991,0.12045784374702327,70.184,294.54799999999994,231.94700000000006,0.2382769531621332,0.30258636671308525,0.09831509466736148,0.13866392333049526
Retail (Distributors),144,7948.870586999999,30750.791000000005,0.2584932071178266,13531.724999999999,0.4400447780351405,13468.376999999999,22587.158000000007,8160.108000000022,0.5962847118703466,1.6505145520132776,0.4379847334658805,0.10170732151000116
Retail (Grocery and Food),57,616.710058,3248.8599999999997,0.18982352517498446,142.64700000000002,0.043906785764852914,103.87700000000002,4177.546000000002,1978.8859999999986,0.024865555041165308,0.052492665065092224,0.03197336912024527,0.1553935433371027
Retail (REITs),4,134.51,441.8,0.3044590312358533,134.51,0.3044590312358533,61.41,566.811,622.321,0.10834299263775754,0.0986789775694537,0.13899954730647351,0.036549788077282985
Retail (Special Lines),131,1419.2798800000003,5917.223,0.23985573638174534,1223.5770000000002,0.20678230311752663,1166.6160000000002,4807.451999999999,2753.3280000000004,0.24266825753018448,0.4237112323704259,0.19715599699386016,0.11781530591312372
Rubber& Tires,6,977.6854,3511.8999999999996,0.27839215239613885,169.45,0.048250234915572766,161.95,1444.114,3082.263999999999,0.11214488606855136,0.05254254664752923,0.046114638799510235,0.12145057880571988
Semiconductor,21,292.26698,3469.495000000001,0.08423905496333038,494.287,0.1424665549309049,442.859,1316.5490000000011,2516.4220000000014,0.3363786687772347,0.17598757283158378,0.12764364842722065,0.12193923262547482
Semiconductor Equip,36,2191.10657,5789.732000000001,0.3784469764749041,1267.1699999999998,0.2188650528210977,1251.262,1753.5330000000008,2308.9590000000007,0.7135662687842198,0.5419160755994366,0.21611742996048863,0.05362123970474691
Shipbuilding & Marine,29,2561.44787,7331.284999999999,0.3493859357534184,1519.9359999999997,0.2073219087786111,1516.6919999999998,3012.544000000001,2107.1440000000007,0.5034588706422212,0.7197856435060913,0.20687942154751862,0.09078160953431051
Shoe,3,61.158249999999995,243.97899999999998,0.250670139643166,0,0,0,345.034,341.034,0,0,0,0.08552431934061887
Software (Entertainment),73,372.3947099999999,1837.97,0.20261196319852876,103.503,0.05631375920172799,87.866,2388.4129999999996,2018.5690000000004,0.036788444879507866,0.04352885633337279,0.04780600336240526,0.23507659985710294
Software (Internet),26,63.45445,94.15099999999998,0.6739646950112056,6.984999999999999,0.07418933415470894,-1.362,101.62899999999993,135.21899999999994,-0.013401686526483592,-0.010072548976105435,-0.014466123567460784,0.35893413719135436
