Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Advertising,80,184.65991,0,0.3318953053668355,0.009761028074730631,18918.079999999994,0.08231264840554198,0.1104879220779221,0.28880882805506164
Aerospace/Defense,6,0,0,0,0,1291.8700000000001,-1.1858096241657885,0.12596666666666667,0.6196670995669483
Air Transport,6,102.0923,0,0.05499595983537676,0.004356793226617277,23432.9,0.14981131953657884,0.18650000000000003,0.15583370303453475
Apparel,60,269.32655,0,0.4390838187559813,0.019045078573534834,14141.529999999997,0.046560118415059956,0.17488084745762714,0.17952137316169342
Auto & Truck,10,8016.693099999999,0,0.1858633016632585,0.021112450686569362,379714,0.14902839341903726,0.38319000000000003,0.21406224490512202
Auto Parts,104,2539.667625,0,0.3264373155114648,0.022116092329178952,114833.46999999994,0.06365879832276922,0.21099184466019427,0.20237318834776644
Bank (Money Center),8,8239.769,0,0.36237560580872724,0.030646092792573316,268868.50000000006,0.06449916433781856,0.272225,0.15624539135737073
Banks (Regional),75,2261.7475899999986,0,0.30000555642584253,0.026807009357425176,84371.50000000001,0.04441745467828505,0.28072933333333333,0.16817272487177418
Beverage (Alcoholic),6,845.1885,0,0.484790439426182,0.023305001323539146,36266.399999999994,0.07107922879030647,0.4059833333333333,0.12707328404651796
Beverage (Soft),7,276.36122,0,0.3796431348306889,0.0160607896694407,17207.2,0.06269485832400311,0.1673285714285714,0.15936070714407516
Broadcasting,11,239.92207999999997,0,0.25448633282773103,0.021447657870271038,11186.400000000001,0.043952391164486376,0.1625090909090909,0.11960713829091961
Brokerage & Investment Banking,37,1057.2131599999998,0,0.4470300735188718,0.026089663222472557,40522.3,0.05119231945611227,0.18849742857142857,0.20316578395322846
Building Materials,61,1388.90615,0,0.4362993379047861,0.0173828859993607,79900.78000000004,0.06299601725762677,0.2109034482758621,0.17017550903641812
Business & Consumer Services,218,1352.1219180000005,0,0.25650094784868793,0.009801955415273287,137944.10000000006,0.13584748848633485,0.1521055188679245,0.25997752543385966
Cable TV,1,35,0,0.31362007168458783,0.024684392411312504,1417.9,0.06472566987588446,0.1655,0.15782623356083741
Chemical (Basic),69,1337.92932,0,0.8678284073793961,0.023589252394532582,56717.749999999985,0.021661330828257185,0.2532970588235295,0.18015244303339079
Chemical (Diversified),22,1253.0544599999998,0,1.324087798104935,0.03306831781151614,37892.9,0.0221541692125094,0.3668181818181818,0.1699549076681745
Chemical (Specialty),73,3324.0086380000002,0,0.3858878977673705,0.019216536434117314,172976.46999999997,0.10004997897700478,0.27430083333333327,0.1753730980821533
Coal & Related Energy,1,0,0,0,0,241.6,0.05393505778756192,0.1139,0.24507305033397694
Computer Services,244,1952.298039999999,0,0.23726171294791773,0.01092537046153594,178693.99000000002,0.11670221527279787,0.14036444444444443,0.2540357812799971
Computers/Peripherals,26,1881.9113800000005,0,0.4822501745740713,0.02644865753390774,71153.38,0.0666175871843656,0.2565538461538462,0.23643255759877177
Construction Supplies,51,1903.7198600000002,0,0.37831511330953027,0.025796361147998596,73797.99999999999,0.07338890379712866,0.22168823529411757,0.20235113082837003
Diversified,15,1243.5614800000003,0,0.2286610118691906,0.015325781286587188,81141.8,0.12350342831046626,0.247612,0.17281596672783253
