Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Advertising,80,184.65991,108.97500000000002,46.89799999999999,-62.077000000000034,-0.009183871230221845,1064.1319999999998,1445.2600000000002,381.1280000000004,0.057800333400466426,-33.491
Aerospace/Defense,6,0,0,1.6,1.6,0.018733169418100923,476.5,487.17,10.670000000000016,0.024141910084394903,-1.1199999999999997
Air Transport,6,102.0923,59.870000000000005,0,-59.870000000000005,-0.004831607932004016,1145.0700000000002,545,-600.0700000000002,-0.032575586902884514,-61.020000000000095
Apparel,60,269.32655,117.706,20.104,-97.602,-0.007408683771064219,11327.748999999998,11220.415,-107.3339999999971,-0.02628050560114008,-342.91000000000076
Auto & Truck,10,8016.693099999999,4784.974999999999,0.629,-4784.346,-0.016530652225965687,161080.99999999994,175952.19999999995,14871.200000000012,0.0415954584892921,-127.60000000000036
Auto Parts,104,2539.667625,856.941,194.831,-662.11,-0.005417656909003804,11013.037,6579.685,-4433.352,-0.11776969922365303,-15.103000000000009
Bank (Money Center),8,8239.769,4473.2,793.3519999999999,-3679.848,-0.010438254606353756,84682.7,134774.5,50091.8,0.02892961554448068,0
Banks (Regional),75,2261.7475899999986,1317.279,364.88700000000006,-952.3919999999999,-0.005611184757056755,372.31999999999994,283,-89.31999999999994,-0.0002071622185468632,0
Beverage (Alcoholic),6,845.1885,0.33499999999999996,0,-0.33499999999999996,-1.3658027454673694e-05,2869.559,3377.8700000000003,508.31100000000015,0.0296595325063309,-8.599999999999998
Beverage (Soft),7,276.36122,19.012999999999998,2.051,-16.961999999999996,-0.0014608560847472222,437.08,84.97500000000001,-352.10499999999996,-0.13070115851327221,-90.80000000000001
Broadcasting,11,239.92207999999997,115.13499999999999,1.08,-114.05499999999999,-0.005317298995794832,236.694,486.59400000000005,249.90000000000006,0.1041309875317831,-12.280000000000001
Brokerage & Investment Banking,37,1057.2131599999998,388.912,63.25900000000001,-325.65299999999996,-0.007049106482845383,23223.362999999998,33713.464,10490.101000000002,0.02705670239418663,44.67999999999999
Building Materials,61,1388.90615,911.352,6.384,-904.968,-0.017908448772703464,5158.046,6901.176999999999,1743.1309999999985,0.07805030396137086,65.30600000000004
Business & Consumer Services,218,1352.1219180000005,2154.491000000001,65.01599999999999,-2089.475000000001,-0.05384704987051559,2968.4919999999993,2107.648,-860.8439999999991,-0.09032782034412623,327.684000000002
Cable TV,1,35,9.47,0,-9.47,-0.005492402273518154,64.9,0,-64.9,-0.13697762769100888,0
Chemical (Basic),69,1337.92932,306.241,17.773,-288.46799999999996,-0.00405306407698894,4153.054,5218.657999999999,1065.6039999999994,0.03163868942327867,-50.80799999999999
Chemical (Diversified),22,1253.0544599999998,204.906,0.161,-204.745,-0.004793090290214366,2117.668,4398.93,2281.262,0.05697841762556417,-13.490000000000009
Chemical (Specialty),73,3324.0086380000002,1396.356,20.388000000000005,-1375.968,-0.015981750646369995,4859.537000000001,5521.956000000001,662.4189999999999,0.025035889793239112,-8.039999999999992
Coal & Related Energy,1,0,0,0,0,0,2558.2,2522,-36.19999999999982,-0.13437268002969496,0
Computer Services,244,1952.298039999999,1996.6559999999997,264.9990000000001,-1731.6569999999997,-0.024559669380660034,6094.427999999996,7230.368,1135.9400000000041,0.036441128012575034,-129.1690000000001
Computers/Peripherals,26,1881.9113800000005,921.4440000000001,3.391,-918.0530000000001,-0.01567219685737673,4656.460000000001,5624.428,967.9679999999989,0.058379203434065045,-134.65999999999985
Construction Supplies,51,1903.7198600000002,45.74800000000001,33.867999999999995,-11.880000000000017,-0.00017325967366511324,9304.525,11117.979,1813.4539999999997,0.05150160449956239,-67.73000000000002
Diversified,15,1243.5614800000003,1142.3209999999997,0.41500000000000004,-1141.9059999999997,-0.02593189342704101,4301.964999999999,1541.49,-2760.4749999999995,-0.1075337406966208,-10358.84
Drugs (Biotechnology),30,38.34640000000001,3.453,69.045,65.592,0.03568195665419095,30.8,29.47,-1.3300000000000018,-0.0032621065850404253,4.547000000000001
Drugs (Pharmaceutical),41,5042.40305,1199.4350000000002,16.09,-1183.3450000000003,-0.008251559442195432,5556.649,9962.854,4406.204999999999,0.08664771478661376,-43.49000000000001
Education,36,89.89800000000001,11.678,8.994,-2.684000000000001,-0.0011070826063463391,204.80199999999996,171.45700000000002,-33.34499999999994,-0.020723433980838327,-8.980000000000018
Electrical Equipment,53,1406.169397,324.03999999999996,11.854,-312.186,-0.005672169511357566,2972.8399999999997,2345.8460000000005,-626.9939999999992,-0.043863979227163806,-3.4360000000000355
Electronics (Consumer & Office),10,1311.2997,782.2950000000001,0.013,-782.282,-0.009230847291628564,2967.0499999999997,6405.419999999999,3438.3699999999994,0.07230240940040458,907.5999999999995
Electronics (General),137,2770.251050000002,1079.2799999999997,134.70400000000004,-944.5759999999997,-0.007681656144037555,4043.0029999999974,6047.848000000001,2004.8450000000034,0.08534971482051265,-19.195999999999913
Engineering/Construction,157,2339.75956,1085.4750000000001,93.21500000000003,-992.2600000000001,-0.011395137824941897,8862.619999999999,11358.283000000001,2495.6630000000023,0.09834298848270182,-53.98100000000005
Entertainment,73,2270.3912000000014,669.458,146.401,-523.057,-0.012301153995311025,663.3059999999998,521.6499999999999,-141.65599999999995,-0.04844462243008998,-130.09600000000046
Environmental & Waste Services,36,137.6163,51.82299999999999,25.144,-26.678999999999995,-0.0047709910013018775,726.3260000000001,477.75,-248.57600000000014,-0.08235056368870738,-6.682999999999993
Farming/Agriculture,11,415.59266999999994,171.08,3.63,-167.45000000000002,-0.010037326025176936,3738.2529999999997,5915.46,2177.2070000000003,0.14784043117225706,-162.9
Financial Svcs. (Non-bank & Insurance),47,2141.68504,622.811,129.865,-492.946,-0.004672078910484536,59046.530999999995,71905.17599999999,12858.644999999997,0.011573178209954545,-549.424
Food Processing,121,1719.6544300000005,952.0230000000001,31.286,-920.7370000000001,-0.013001358966552825,4239.826,4100.95,-138.8760000000002,-0.006278457426103718,-468.87200000000075
Food Wholesalers,37,88.03381999999998,5.463,5.597,0.13400000000000034,1.9477197144119683e-05,277.03000000000003,332.088,55.05799999999999,0.01691246330405849,-58.92599999999993
Furn/Home Furnishings,20,144.56195,79.5,8.922,-70.578,-0.0092704836799793,177.23999999999998,232.386,55.146000000000015,0.13502277067724405,-6.009999999999991
Green & Renewable Energy,9,29.18906,1.323,0.807,-0.5159999999999999,-0.0004063792085056113,366.2,607.5999999999999,241.39999999999992,0.06792677302524855,-1.1900000000000013
Healthcare Products,40,1129.6112500000002,1828.673,145.893,-1682.78,-0.050608707158925494,1751.9229999999998,1489.103,-262.8199999999997,-0.02242876507468686,-4.410000000000004
Healthcare Support Services,47,411.29276000000004,564.13,15.700000000000001,-548.43,-0.028699848658967735,649.8430000000002,607.947,-41.896000000000186,-0.015090957816205631,-60.179999999999836
Heathcare Information and Technology,36,123.78278,11.113,38.741,27.628,0.00718956799616945,279.387,302.16,22.773000000000025,0.04737850584923683,17.567999999999998
Homebuilding,51,992.8087099999999,253.207,7.305999999999999,-245.90099999999998,-0.006280824508755441,9233.777000000002,10937.280000000002,1703.5030000000006,0.06163878181574108,-111.68000000000029
Hospitals/Healthcare Facilities,9,6.528980000000001,1.958,5.548,3.59,0.009839929832255234,42.35000000000001,101.96000000000001,59.61,0.1341027198488223,0
Hotel/Gaming,33,44.51224,93.92399999999999,25.985,-67.939,-0.015751837896039123,790.662,627.99,-162.67200000000003,-0.027327890333635724,-47.20100000000025
Household Products,43,962.5143000000003,118.95700000000001,1.1239999999999999,-117.83300000000001,-0.004174744554511571,967.1429999999999,815.903,-151.2399999999999,-0.025696170142491058,-42.700000000000045
Information Services,14,63.05783999999999,105.387,4.356999999999999,-101.03,-0.043851920013542316,288.42900000000003,296.81,8.380999999999972,0.014335023227492548,-33.180000000000064
Insurance (General),6,2.4976000000000003,0.187,0.738,0.5509999999999999,0.001414452573482223,2.355,6.2170000000000005,3.8620000000000005,0.13437717466945026,30
Insurance (Life),5,2703.3523999999998,2903.1,68.81099999999999,-2834.2889999999998,-0.02349917048261247,3578.307,1977.5,-1600.8069999999998,-0.007217084144845992,0
Insurance (Prop/Cas.),7,2504.0114,1106.36,0.931,-1105.4289999999999,-0.019061651288188257,2400.353,2004.003,-396.35000000000014,-0.029457779165133775,-16
Investments & Asset Management,14,80.36341000000002,292.663,8.769,-283.894,-0.14403186119073594,21.297,122.773,101.476,0.13528870638740384,-2.328000000000001
Machinery,229,3973.7650140000014,1459.8059999999996,27.708,-1432.0979999999995,-0.010259240134610359,7137.126999999999,9459.944000000003,2322.8170000000046,0.04943676910475697,-465.00099999999975
Metals & Mining,21,577.8636599999999,8.469999999999999,8.21,-0.259999999999998,-9.763314720449938e-06,5817.4800000000005,6166.1,348.6199999999999,0.02330651388382843,-155.24
Office Equipment & Services,26,176.98875999999998,45.788000000000004,2.432,-43.356,-0.006464483807478975,59.885,44.50600000000001,-15.37899999999999,-0.022230670490552062,34.33999999999992
Oil/Gas (Production and Exploration),2,706.4904,0.007,0,-0.007,-2.3304280663439577e-07,1.74,0,-1.74,-0.00019604529322291703,0
Oil/Gas Distribution,3,39.8128,0.1,0,-0.1,-4.493574188909859e-05,171.94,107.561,-64.37899999999999,-0.04920061138708444,9.700000000000045
Oilfield Svcs/Equip.,19,1178.48922,523.9350000000001,108.27,-415.6650000000001,-0.009849974881278496,6262.196999999999,1981.05,-4281.146999999999,-0.10675332880783914,-542.6000000000001
Packaging & Container,30,181.80448,70.207,6.565,-63.641999999999996,-0.0050585522535046695,790.1389999999999,1327.293,537.154,0.08296301559010415,-19.55200000000002
Paper/Forest Products,15,162.42002,6.726000000000001,2.151,-4.575000000000001,-0.00030489430330818656,2148.201,2929.7,781.4989999999998,0.04599244345835367,-6.300000000000011
Power,25,1118.4780599999997,1135.083,1307.2269999999999,172.14399999999978,0.001717345847499559,78110.53,76748.41,-1362.1199999999953,-0.006224799381011471,0
Precious Metals,2,48.2072,0,0,0,0,129.816,106.66,-23.156000000000006,-0.014932611078867612,3.1099999999999994
Publishing & Newspapers,53,280.56104,716.84,40.157999999999994,-676.682,-0.030375472735638356,1098.3289999999997,393.915,-704.4139999999998,-0.16516712404826797,-134.12799999999993
R.E.I.T.,54,2626.2700000000004,80,1477.6000000000001,1397.6000000000001,0.01973501199548704,6612.200000000001,9150.4,2538.199999999999,0.04217554144276175,-6.399999999999999
Real Estate (Development),15,80.33265999999999,2.801,15.089999999999998,12.288999999999998,0.004652439416826618,1352.6400000000003,1878.1600000000003,525.52,0.11526280234771852,9.910000000000004
Real Estate (General/Diversified),56,2107.2367099999997,1053.296,55.16299999999999,-998.133,-0.01192049254931148,28051.890999999992,38765.439999999995,10713.549000000003,0.08188529905851868,-651.1700000000003
Real Estate (Operations & Services),43,381.05939,53.766,8.81,-44.955999999999996,-0.003493958861502255,1792.0269999999998,1520.4900000000005,-271.53699999999935,-0.012205022003577554,-130.56400000000002
Recreation,51,1121.45914,404.25000000000006,74.441,-329.8090000000001,-0.00997992812227058,3013.6970000000006,3373.699,360.0019999999995,0.042913679613016065,-23.10300000000001
Restaurant/Dining,107,200.30751500000008,80.578,291.18100000000004,210.60300000000004,0.016039165469585188,2333.554,2289.3729999999987,-44.181000000001404,-0.003885491579192443,-1470.1400000000067
Retail (Automotive),29,225.59749999999997,85.991,15.807,-70.184,-0.012478819398141973,376.2939999999999,313.69300000000004,-62.600999999999885,-0.028164774797878177,-332.34999999999945
Retail (Building Supply),19,60.009319999999995,40.627,9.446,-31.181000000000004,-0.0022189850212639985,2138.4670000000006,2672.28,533.8129999999996,0.08688767087790866,-2885.3100000000013
Retail (Distributors),144,7948.870586999999,7046.646999999998,63.348,-6983.298999999998,-0.030050544116187138,44111.570999999974,29684.52099999999,-14427.049999999985,-0.07834284480341111,-543.4249999999965
Retail (General),42,491.97666,28.296000000000003,2008.0270000000003,1979.7310000000002,0.05676169521479764,18159.797000000002,17374.89,-784.9070000000029,-0.01129365823651787,-3326.199999999997
Retail (Grocery and Food),57,616.710058,142.64700000000002,38.769999999999996,-103.87700000000002,-0.0022422221590011103,11049.287,8850.626999999997,-2198.6600000000035,-0.05363561272368104,-2273.290000000001
Retail (REITs),4,134.51,0,73.1,73.1,0.008653038033120657,226.17,281.67999999999995,55.50999999999996,0.00848984461030221,0
Retail (Special Lines),131,1419.2798800000003,700.647,56.961,-643.686,-0.011500530032848249,5660.515999999999,3606.3920000000003,-2054.1239999999984,-0.11950124564092567,4475.479999999989
Rubber& Tires,6,977.6854,169.45,7.5,-161.95,-0.0050261003420044815,1512.25,3150.3999999999996,1638.1499999999996,0.1381518909263349,-0.20000000000000284
Semiconductor,21,292.26698,494.287,51.428000000000004,-442.859,-0.01832236950981366,1036.517,2236.39,1199.8729999999998,0.13034787010763527,5.000000000000028
