Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Advertising,80,0.38730777580801745,0.8895816456787001,0.3445418885874532
Air Transport,6,0.08506380262520963,0.6020040259878874,0.05120875164621522
Apparel,60,0.04211364871983289,0.8725474144401548,0.03674615530313113
Auto & Truck,10,0.06844747634979617,0.8960882324137444,0.06133497809547042
Auto Parts,104,0.027464627313128615,0.42219061724352364,0.011595307957693108
Bank (Money Center),8,0.002374607950120356,6.967169370703016,0.01654429577750642
Banks (Regional),75,2.0873484770438674e-05,74.57785620353494,0.001556699745676452
Beverage (Alcoholic),6,0.052038658982420626,1.0041229086992929,0.05225320962223878
Beverage (Soft),7,0.08550836907475493,0.7532762546108034,0.06441142399450964
Broadcasting,11,0.025648006716826967,1.5288627124359067,0.03921228111766243
Brokerage & Investment Banking,37,0.002915027649085712,14.277135140664393,0.041618243684769934
Building Materials,61,0.07742350676715225,1.530292444190356,0.11848060740849399
Business & Consumer Services,218,0.21831136801849066,0.09395859124672086,0.020512228592161813
Cable TV,1,0.062027754618433045,0.613370853919817,0.038046016817037155
Chemical (Basic),69,0.03572724561057228,1.5760217796913907,0.05630691721064555
Chemical (Diversified),22,0.023436354752586097,0.9940687077478523,0.023297346883223498
Chemical (Specialty),73,0.1005310173808601,0.6904815956468141,0.06941481729313388
Coal & Related Energy,1,0.033002499498179426,1.1173349222562705,0.036874845211060915
Computer Services,244,0.12575816916422808,0.7416985600969994,0.09327465298954284
Computers/Peripherals,26,0.07550788233875509,0.9416634936048512,0.07110301627781616
Construction Supplies,51,0.06095352638536016,1.671149481542586,0.10186245401708698
Diversified,15,0.11407108628911775,0.3484664883765933,0.039749950864472215
Drugs (Pharmaceutical),41,0.0708561221185924,0.8346630902847723,0.05914098985309953
Education,36,0.11824430035670215,0.6575048919503159,0.07774620592977415
Electrical Equipment,53,0.06201759012719569,1.4488957999516823,0.08985702585841875
Electronics (Consumer & Office),10,0.05529819995595454,1.3781426146463642,0.07620880587253664
Electronics (General),137,0.07438408005819243,0.9529579456763637,0.07088490012328123
Engineering/Construction,157,0.06277239159982236,1.1070697353152554,0.0694934149535209
Entertainment,73,0.21002628888009253,0.10021495864912115,0.021047775855346847
Environmental & Waste Services,36,0.1259250975820918,0.29719404459180093,0.037424189066039074
Farming/Agriculture,11,0.060086182525511164,2.1362263569692335,0.12835768680066112
Financial Svcs. (Non-bank & Insurance),47,0.005833956204492597,2.0635203954646384,0.012038487614217944
Food Processing,121,0.06270156230309482,1.057070403212082,0.06627996574575991
Food Wholesalers,37,0.06688293802606254,-0.052027903181012886,-0.003479779024081667
Furn/Home Furnishings,20,0.06230092172778869,1.4880753010270737,0.09270846285434332
Green & Renewable Energy,9,0.019272600886297307,4.598254426196815,0.08862032232974125
Healthcare Products,40,0.09282620974215892,0.758486670322557,0.07040744274599342
Healthcare Support Services,47,0.07468558762408993,-0.18402493461657876,-0.013744010379323914
Heathcare Information and Technology,36,0.29215114177944007,0.6196422449001266,0.18102918934234744
Homebuilding,51,0.053291022521139084,0.9926150964303023,0.052897473458689885
Hospitals/Healthcare Facilities,9,0.13356176842740908,1.6628024348701929,0.22208683374666466
Hotel/Gaming,33,0.05029332000587101,1.0631450100828044,0.053469092204739437
Household Products,43,0.07383363855897379,0.35870632053854407,0.02648459281946226
Information Services,14,0.2088031786170987,-0.01430496828741708,-0.002986922848429481
Insurance (General),6,0.3749575532674069,-0.3467665649304658,-0.13002274274127085
Insurance (Life),5,0.11277514004909735,0.2609454378354658,0.029428158297067682
Insurance (Prop/Cas.),7,0.20749549143447887,-0.23853428351135844,-0.04949478838116063
Investments & Asset Management,14,0.046049106552934496,0.22165915682106002,0.01020720613088661
Machinery,229,0.0627036287035984,1.2375963374183978,0.07760178122641649
Metals & Mining,21,0.02717704794137164,1.6334720336171469,0.04439294776850303
Office Equipment & Services,26,0.09289548875110439,0.4221751758458058,0.03921816929877957
Oil/Gas (Production and Exploration),2,0.14524568243944755,0.05607436363341766,0.008144559213293488
Oil/Gas Distribution,3,0.05832928871069456,0.642300864185683,0.03746495254621532
Oilfield Svcs/Equip.,19,0.02572885837357703,-0.5341453700221556,-0.013742950576201939
Packaging & Container,30,0.03519034707132244,2.6713013152279173,0.09400402041495051
Paper/Forest Products,15,0.02089026608758122,4.224759040636573,0.08825634051481238
Power,25,0.04515210072497438,0.6073377894723939,0.027422577044340816
Precious Metals,2,0.0528108035926859,-1.4870824533114915,-0.07853401936796267
Publishing & Newspapers,53,0.0460245989365761,1.1577167627981564,0.053283449689936355
R.E.I.T.,54,0.03414967012400527,0.5148076232288126,0.017580510510587143
Real Estate (Development),15,0.04824832169940451,2.513786476096966,0.12128597858233883
Real Estate (General/Diversified),56,0.04607193686883856,1.4214589931180281,0.06548936899257661
Real Estate (Operations & Services),43,0.06613787222955417,0.5590787587422761,0.036976279511954396
Recreation,51,0.12351244790996294,0.6302712288545157,0.0778463423230417
Restaurant/Dining,107,0.07790615347122881,0.26121129813983907,0.020349967481301207
Retail (Automotive),29,0.12364011206685473,0.564586802065529,0.06980557547884914
Retail (Building Supply),19,0.04826255640961888,1.2921187921256723,0.06236095609289387
Retail (Distributors),144,0.0488905244516247,0.5048455156028093,0.02468216202487223
