Industry_Name,Number_of_Firms,ROE,Retention_Ratio,Fundamental_Growth_
Advertising,80,0.08231264840554198,0.6681046946331646,0.05499346682743166
Aerospace/Defense,6,-1.1858096241657885,1,-1.1858096241657885
Air Transport,6,0.14981131953657884,0.9450040401646232,0.14157230222446035
Apparel,60,0.046560118415059956,0.5609161812440187,0.02611632381964474
Auto & Truck,10,0.14902839341903726,0.8141366983367415,0.12132948417660397
Auto Parts,104,0.06365879832276922,0.6735626844885352,0.04287819108959869
Bank (Money Center),8,0.06449916433781856,0.6376243941912727,0.041126240586744904
Banks (Regional),75,0.04441745467828505,0.6999944435741574,0.0310919714725065
Beverage (Alcoholic),6,0.07107922879030647,0.5152095605738181,0.03662069823097967
Beverage (Soft),7,0.06269485832400311,0.6203568651693111,0.038893185772112655
Broadcasting,11,0.043952391164486376,0.745513667172269,0.03276710831802627
Brokerage & Investment Banking,37,0.05119231945611227,0.5529699264811282,0.028307813126044832
Building Materials,61,0.06299601725762677,0.5637006620952139,0.03551089663748573
Business & Consumer Services,218,0.13584748848633485,0.7434990521513121,0.10100247892672624
Cable TV,1,0.06472566987588446,0.6863799283154122,0.04442640064957661
Chemical (Basic),69,0.021661330828257185,0.13217159262060385,0.002863012593852536
Chemical (Diversified),22,0.0221541692125094,-0.32408779810493504,-0.007179895918926314
Chemical (Specialty),73,0.10004997897700478,0.6141121022326295,0.06144190291789879
Coal & Related Energy,1,0.05393505778756192,1,0.05393505778756192
Computer Services,244,0.11670221527279787,0.7627382870520822,0.0890132477723572
Computers/Peripherals,26,0.0666175871843656,0.5177498254259287,0.034491244135001875
Construction Supplies,51,0.07338890379712866,0.6216848866904697,0.04562477234145571
Diversified,15,0.12350342831046626,0.7713389881308094,0.095263009423681
Drugs (Biotechnology),30,-0.05918704848115588,0.9985749029117296,-0.05910270119070206
Drugs (Pharmaceutical),41,0.06424067864804525,0.45266642598361007,0.029079598406372257
Education,36,0.07524201964205428,0.507181387597579,0.038161351927701384
Electrical Equipment,53,0.07172725488842292,0.6438038591203723,0.04617828350127727
Electronics (Consumer & Office),10,0.08480444620131804,0.8175425636715793,0.06933124435817407
Electronics (General),137,0.0732206564217585,0.6923170249108436,0.0506919070159309
Engineering/Construction,157,0.06713065569528931,0.5997379279929806,0.04026080035150299
Entertainment,73,0.1367974907439788,0.6096812625305965,0.08340286686780658
Environmental & Waste Services,36,0.12144630109157502,0.7973602525628831,0.0968364533112062
Farming/Agriculture,11,0.09187608982462704,0.7288570889855057,0.0669645393769485
Financial Svcs. (Non-bank & Insurance),47,0.20994534869658418,0.9033147625534019,0.1896467328070461
Food Processing,121,0.08492164196597163,0.7140593146852563,0.060639089464168405
Food Wholesalers,37,0.08261674690109076,0.8451172258484492,0.06982083594967328
Furn/Home Furnishings,20,0.05451430050064395,0.6516814528176412,0.035525958549597114
Green & Renewable Energy,9,0.017344359125812163,-0.3253898197339151,-0.005643677889348306
Healthcare Products,40,0.1502973462292636,0.773965048973418,0.11632489293490676
Healthcare Support Services,47,0.06708630834636371,0.6791695548155445,0.04556297817381819
Heathcare Information and Technology,36,0.13629498359265013,0.7636619169723133,0.10408328844407319
Homebuilding,51,0.10993257655537889,0.769327652232423,0.08457417102521075
Hospitals/Healthcare Facilities,9,0.20888608705185835,0.9143290906705157,0.19099062602784783
Hotel/Gaming,33,0.12467459479110539,0.9172222594154709,0.11435431352600597
Household Products,43,0.06737004520782847,0.4938219320937369,0.033268805889772254
Information Services,14,0.11405926498226913,0.7600356191490982,0.08668910408048998
Insurance (General),6,0.22801437556154536,0.9718811569075577,0.22160287511230906
Insurance (Life),5,0.04141116619117619,0.4587553676940499,0.018997594772672443
Insurance (Prop/Cas.),7,0.11936446735170012,0.6382646896515858,0.07618612470965971
Investments & Asset Management,14,0.1940488572080871,0.7898885954821167,0.15327697927500572
Machinery,229,0.07034116229809599,0.5952982347686058,0.041873969747628546
Metals & Mining,21,0.02204931975982245,0.015866242038216516,0.00034983984408737303
Office Equipment & Services,26,0.08011048488101626,0.6705868207748216,0.0537210353670901
Oil/Gas (Production and Exploration),2,0.11478356981629567,0.7950895063518766,0.09126321186254469
Oil/Gas Distribution,3,0.10019322369012312,0.8214432434856707,0.08230304664330007
Oilfield Svcs/Equip.,19,0.04233191783808377,0.3402956689188812,0.014405368297329836
Packaging & Container,30,0.0497760524343319,0.7096869550776385,0.035325415087905876
Paper/Forest Products,15,0.008008490389998136,-0.3515966680258631,-0.0028157585370404896
Power,25,0.15148386247186707,0.9263408041094537,0.14032568297179523
Precious Metals,2,0.07906654925147817,0.23298011137629282,0.018420933450748526
Publishing & Newspapers,53,0.06262388759833461,0.7988936611883982,0.050029826841284264
R.E.I.T.,54,0.0549177260679796,0.32472397780509,0.01783310246080462
Real Estate (Development),15,0.07783759431515744,0.6092788459200102,0.04742479963352907
Real Estate (General/Diversified),56,0.10014149817281287,0.7486927456210725,0.07497521321761087
Real Estate (Operations & Services),43,0.11053068444474842,0.7320585315158343,0.0809149305420626
