Industry_Name,Number_of_Firms,CAGR_in_Net_Income_Last_5_years,CAGR_in_Revenues_Last_5_years,Expected_Growth_in_Revenues_Next_2_years,Expected_Growth_in_Revenues_Next_5_years,Expected_Growth_in_EPS_Next_5_years
Advertising,80,0.09813000000000001,0.03323020833333332,0.09015500000000001,0.09112065054168128,0.18430000000000002
Air Transport,6,-0.04773999999999999,-0.02136,0.23825000000000002,0.07952941216924143,0.32799999999999996
Apparel,60,0.058739374999999976,-0.014995892857142857,0.04347499999999999,0.050574213518544,0.1625
Auto & Truck,10,0.11384000000000002,0.03406,0.10235555555555557,0.0468210122428063,0.14972857142857143
Auto Parts,104,-0.008501411764705867,0.016500297029702956,0.07174189189189187,0.04274744383097932,0.21658181818181815
Bank (Money Center),8,-0.05644999999999999,-0.002591666666666667,0.21511249999999998,0.007115225662026728,0.1577
Banks (Regional),75,-0.009197647058823526,0.011292571428571431,0.13483333333333333,0.007472682421738278,0.14594285714285715
Beverage (Alcoholic),6,-0.05098333333333334,0.02095333333333333,0.044625,0.02302537736068751,0.1572
Beverage (Soft),7,-0.03111599999999999,0.025961666666666664,0.09137999999999999,0.033567616286474644,0.114
Broadcasting,11,-0.020401818181818184,-0.002378181818181818,0.03062,0.033320581156143225,0.014304999999999998
Brokerage & Investment Banking,37,0.015294090909090912,0.061196785714285724,0.25045454545454543,0.008779341929334028,0.07325000000000001
Building Materials,61,0.07629769230769232,0.017784333333333333,0.04752499999999999,0.033278191927176626,0.19614285714285715
Business & Consumer Services,218,0.09941181818181828,0.06839472727272733,0.1298784415584415,0.12122497791874931,0.19745
Chemical (Basic),69,0.016092181818181808,0.02637074626865672,0.043899459459459465,0.05544321652743186,0.11130666666666666
Chemical (Diversified),22,0.010378947368421059,0.0193165,0.028262941176470588,0.05752956523864724,0.11752777777777777
Chemical (Specialty),73,0.03753471428571431,0.03462657142857144,0.033688108108108114,0.054158116867924044,0.10284166666666666
Computer Services,244,0.16803701986754965,0.06826953757225442,0.16271972602739732,0.09207926258779453,0.12392
Computers/Peripherals,26,0.045808235294117663,0.009423200000000001,0.0362,0.02893510301881317,0.065
Construction Supplies,51,0.028341219512195114,0.007213958333333333,0.08832909090909091,0.03884700972091013,0.15666666666666668
Diversified,15,0.06161100000000002,-0.020824166666666664,0.024988571428571433,0.0087777629771717,0.0262
Drugs (Pharmaceutical),41,0.004600344827586209,0.036536666666666655,0.05811666666666669,0.03907622437775486,0.20388
Electrical Equipment,53,0.08056063829787234,0.017408200000000006,0.04293695652173913,0.046770960504205455,0.0746625
Electronics (Consumer & Office),10,0.0689,0.022123,0.04006777777777778,0.024787266807226465,0.07115999999999999
Electronics (General),137,0.06529383177570094,0.024127063492063488,0.057440138888888895,0.07769350437863405,0.0862235294117647
Engineering/Construction,157,0.027753768115942025,0.026131156462585046,0.05958714285714288,0.023996477928169002,0.1034272727272727
Entertainment,73,0.040465116279069804,0.02818333333333334,0.09071645161290323,0.040928721125024464,0.037975
Environmental & Waste Services,36,0.09546703703703702,0.050227,0.07126,0.04372547497429824,0.1005
Farming/Agriculture,11,0.0694511111111111,0.03175363636363636,0.058499999999999996,0.0373589515784889,0.105
Financial Svcs. (Non-bank & Insurance),47,0.08039470588235292,0.05501599999999998,0.09950799999999997,0.07799890309388074,0.08015
Food Processing,121,0.03502453608247423,0.018385555555555565,0.07,0.04053951469280733,0.11449999999999999
Furn/Home Furnishings,20,0.0515625,0.0138675,0.04303333333333333,0.05332971475448012,0.1385
Green & Renewable Energy,9,0.22400000000000003,0.17484285714285716,0.29256,0.21048395701175104,0.23149999999999998
Healthcare Products,40,0.07404029411764707,0.05353257142857143,0.06397090909090909,0.0596577875723844,0.13706666666666667
Healthcare Support Services,47,0.04500972222222222,0.04800174999999998,0.06222555555555556,0.030855254073844846,0.09765
Heathcare Information and Technology,36,0.25779125,0.13872499999999996,0.19513076923076922,0.20417852453012983,0.17175
Homebuilding,51,0.10756585365853662,0.06089108695652175,0.06352,0.04504169860029208,0.03752
Hospitals/Healthcare Facilities,9,0.20085000000000006,0.06400000000000002,0.37549999999999994,0.23441651992261625,0.231
Hotel/Gaming,33,0.11131052631578946,-0.028097241379310342,0.23108,0.08021487800390477,0.307
Household Products,43,-0.061063333333333344,0.02892558823529412,0.06818038461538461,0.051356781167842674,0.11461538461538463
Information Services,14,0.04923,0.037898181818181824,0.08375999999999999,0.06485780319372851,0.041999999999999996
Insurance (Life),5,-0.060200000000000004,0.023028000000000003,-0.0017399999999999998,0.026747128782748875,0.25276000000000004
Insurance (Prop/Cas.),7,0.20214000000000001,0.033159999999999995,0.05684,0.025000185688802606,-0.0017333333333333322
Investments & Asset Management,14,0.10275000000000001,0.042088888888888884,0.19966666666666666,0.20801612599500197,0.5660000000000001
Machinery,229,0.017812500000000012,0.022601843317972325,0.04782755813953488,0.03915854037241405,0.115984
Metals & Mining,21,-0.05040117647058824,0.02691952380952381,-0.0002459999999999962,0.02050207219388806,0.17426
Office Equipment & Services,26,0.11307000000000002,0.007250799999999995,0.045680000000000005,0.03461806982740878,0.1405
Oil/Gas (Integrated),0,0,0,0,0,0
Oil/Gas (Production and Exploration),2,0,0.09449999999999999,-0.011115000000000002,-0.002994290194986371,-0.0695
Oilfield Svcs/Equip.,19,0.03383176470588234,0.040401666666666676,0.004819999999999996,0.019618412524902106,0.14575000000000002
Packaging & Container,30,0.06655333333333335,0.013940357142857143,0.05045714285714286,0.03928492417015983,0.11199999999999999
Paper/Forest Products,15,0.022262499999999998,0.03336000000000001,0.02594,0.023408282120588098,0.096
Power,25,0.15817391304347825,0.07402083333333334,-0.054345625000000015,-0.010576675212197224,0.21340000000000003
Publishing & Newspapers,53,0.11026179487179487,0.029152222222222225,0.0867,0.07599908957259242,0.0006666666666666765
Real Estate (Development),15,0.07529833333333333,0.05230000000000001,0.085475,0.12856113669455183,0.135
Real Estate (General/Diversified),56,0.07493955555555556,0.058517200000000005,0.09333333333333331,0.045970434346492096,0.07255555555555555
Real Estate (Operations & Services),43,0.013729411764705877,0.03651264705882353,0.09411428571428568,0.06664433886063233,0.1046
Recreation,51,0.11636849999999993,0.04035000000000001,0.07359375000000001,0.03787918454552271,0.027381111111111113
Reinsurance,0,0,0,0,0,0
Restaurant/Dining,107,0.07463490909090913,-0.011122688172043012,0.11216744186046511,0.09613362918618762,0.20450000000000002
Retail (Automotive),29,0.1746552173913044,0.051922916666666666,0.05633142857142858,0.059880624028797236,0.08199999999999999
Retail (Building Supply),19,0.10560250000000002,0.03821066666666667,0.05080555555555555,0.0198256421446521,0.0187
Retail (Distributors),144,0.07490152,0.017798358208955214,0.0367175,0.03480754134372912,0.012787500000000004
Retail (General),42,0.16023214285714285,0.010441621621621622,0.08517222222222226,0.063396895995344,0.10384285714285714
Retail (Grocery and Food),57,0.04008,0.011842692307692304,0.08243083333333334,0.03781275158543727,0.11820000000000001
Retail (Special Lines),131,0.1158165517241379,0.008669035087719297,0.08188186046511627,0.04745864685164023,0.11173157894736842
Rubber& Tires,6,0.10538333333333334,0.04796666666666666,0.074675,0.050870321548985686,0.3866666666666667
Semiconductor,21,0.22531312499999995,0.1301473684210526,0.0698442857142857,0.10119831201556188,0.1095
Semiconductor Equip,36,0.1594940740740741,0.08568925925925926,0.06757586206896553,0.08575962988318225,0.08416444444444444
Software (Entertainment),73,0.09455794871794869,0.059662075471698134,0.16098227272727275,0.1221377025884618,0.314
Software (Internet),26,0.11412142857142857,0.11503217391304349,0.11764285714285715,0.08632788747485809,0.16699999999999998
Software (System & Application),176,0.15077714285714283,0.10250235294117646,0.22101568627450982,0.1607204728569973,0.24546
Steel,42,0.12837513513513515,0.04673380952380951,0.014117692307692305,0.02264871709523697,0.0026666666666666713
Telecom (Wireless),7,0.13495,0.06488285714285714,0.03385,0.03700743353970887,0.10289999999999999
Telecom. Services,20,0.18951538461538464,0.10868374999999998,0.16446666666666668,0.09420190304926275,0.0865
Tobacco,1,0.0421,0.0478,0.0394,0.022091648641080708,0.071
Transportation,33,0.0746151724137931,0.026346,0.03916933333333333,0.03581982762505409,-0.0109
Transportation (Railroads),20,0.013657368421052632,-0.0046370000000000005,0.05610588235294118,0.03885250591842432,0.11475
Utility (General),0,0,0,0,0,0
Utility (Water),0,0,0,0,0,0
Total Market,4020,0.07454906984667799,0.03621969538729343,0.09120782841823064,0.06011613412603011,0.11932270935960593
