Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Advertising,80,0.27084440000000004,0.2176981666666666,0.1104879220779221,0.4044691250000001
Aerospace/Defense,6,0.16137999999999997,0.2137666666666667,0.12596666666666667,0.2098583333333333
Air Transport,6,0.0001575,0.32531666666666664,0.18650000000000003,0.08224500000000001
Apparel,60,0.055983454545454545,0.2292745454545454,0.17488084745762714,0.14357583333333335
Auto & Truck,10,7.700000000000001e-05,0.22478,0.38319000000000003,0.00047500000000000005
Auto Parts,104,0.026297157894736828,0.2845236559139785,0.21099184466019427,0.08515621359223301
Bank (Money Center),8,4.3333333333333334e-05,0.25874428571428576,0.272225,0.0009666666666666668
Banks (Regional),75,0.0005550724637681159,0.05950428571428572,0.28072933333333333,0.007800277777777778
Beverage (Alcoholic),6,0.0025866666666666664,0.089775,0.4059833333333333,0.043441666666666656
Beverage (Soft),7,0.013865714285714285,0.38839999999999997,0.1673285714285714,0.05208428571428571
Broadcasting,11,0.0013211111111111112,0.4077090909090909,0.1625090909090909,0.014933999999999998
Brokerage & Investment Banking,37,0.11098032258064515,0.2156603703703704,0.18849742857142857,0.22660194444444443
Building Materials,61,0.03799596153846154,0.20496800000000012,0.2109034482758621,0.12075295081967212
Business & Consumer Services,218,0.19172036082474236,0.2110288607594938,0.1521055188679245,0.3273793953488373
Cable TV,1,0,0.5097,0.1655,0.0019
Chemical (Basic),69,0.020555538461538462,0.17720338983050848,0.2532970588235295,0.09016173913043479
Chemical (Diversified),22,0.007371904761904762,0.1305125,0.3668181818181818,0.047779999999999996
Chemical (Specialty),73,0.018952028985507244,0.2208764705882353,0.27430083333333327,0.059093698630136984
Coal & Related Energy,1,0.00035999999999999997,0.44670000000000004,0.1139,0.00234
Computer Services,244,0.14584932432432424,0.22907795918367352,0.14036444444444443,0.2721734583333332
Computers/Peripherals,26,0.06254884615384616,0.1607336842105263,0.2565538461538462,0.20043038461538462
Construction Supplies,51,0.026423829787234038,0.24632444444444446,0.22168823529411757,0.07621686274509804
Diversified,15,0.087605,0.19051333333333337,0.247612,0.18714999999999996
Drugs (Biotechnology),30,0.04442392857142858,0.13442583333333333,0.087866,0.12776600000000002
Drugs (Pharmaceutical),41,0.03740675000000001,0.17224575757575755,0.2800097560975609,0.09009975609756098
Education,36,0.18497433333333338,0.24358538461538462,0.1131645714285714,0.38217222222222214
Electrical Equipment,53,0.03350936170212766,0.20159399999999994,0.24310943396226417,0.09025358490566036
Electronics (Consumer & Office),10,0.000958888888888889,0.1257375,0.3676100000000001,0.040044
Electronics (General),137,0.048942538461538454,0.18140254716981133,0.2569731386861312,0.1245505839416059
Engineering/Construction,157,0.031383381294964034,0.27178776978417263,0.18797651612903235,0.10083707006369426
Entertainment,73,0.13146985294117647,0.22260333333333335,0.12644042253521132,0.274220985915493
Environmental & Waste Services,36,0.10446787878787883,0.22108999999999998,0.16453416666666662,0.2624122222222222
Farming/Agriculture,11,0.017355454545454542,0.1527125,0.26165454545454553,0.08964818181818181
Financial Svcs. (Non-bank & Insurance),47,0.06967340909090908,0.26852166666666666,0.2554862222222221,0.11432311111111108
Food Processing,121,0.034235673076923094,0.256210701754386,0.1775203389830509,0.10458408333333331
Food Wholesalers,37,0.08379363636363638,0.2592171428571429,0.12158918918918919,0.15229351351351356
Furn/Home Furnishings,20,0.10168999999999997,0.20550588235294118,0.17897894736842104,0.14000449999999998
Green & Renewable Energy,9,0.14416,0.18502857142857146,0.11792222222222222,0.24490666666666666
Healthcare Products,40,0.1000789473684211,0.19940777777777774,0.24140000000000003,0.21806099999999998
Healthcare Support Services,47,0.13025404761904766,0.2244247368421053,0.16217021739130438,0.2661621276595744
Heathcare Information and Technology,36,0.1593090625,0.208121875,0.15551485714285712,0.26092222222222217
Homebuilding,51,0.15465808510638296,0.24319767441860463,0.12295840000000004,0.28410921568627445
Hospitals/Healthcare Facilities,9,0.24194111111111105,0.12688571428571427,0.1366375,0.4343666666666666
Hotel/Gaming,33,0.14911423076923083,0.3945726923076924,0.1259453125,0.2558415151515152
Household Products,43,0.139193,0.1372036666666667,0.18725395348837207,0.2741227906976744
Information Services,14,0.06777769230769232,0.34083571428571424,0.18659285714285714,0.15790857142857145
Insurance (General),6,0.10475249999999998,0.3425,0.21982,0.27992
Insurance (Life),5,0.0003,0.23308666666666666,0.34992000000000006,0.000826
Insurance (Prop/Cas.),7,0.018524285714285712,0.115,0.35704142857142857,0.07964857142857143
Investments & Asset Management,14,0.2056172727272727,0.17908000000000002,0.19942142857142858,0.29817142857142864
Machinery,229,0.04563812807881771,0.18124491978609625,0.22751053333333338,0.12287541484716154
Metals & Mining,21,0.01861,0.22406111111111113,0.2421133333333333,0.11323190476190476
Office Equipment & Services,26,0.020204347826086953,0.21844166666666667,0.15822360000000002,0.16534115384615383
Oil/Gas (Integrated),0,0,0,0,0
Oil/Gas (Production and Exploration),2,8.5e-05,0.06815,0.3257,0.0009
Oil/Gas Distribution,3,0.0015533333333333332,0.3114,0.22336666666666669,0.03238666666666667
Oilfield Svcs/Equip.,19,0.007442941176470589,0.3298388888888889,0.21875263157894737,0.03512684210526316
Packaging & Container,30,0.0882008,0.19674230769230763,0.18223666666666666,0.15098733333333336
Paper/Forest Products,15,0.09323500000000001,0.27606666666666674,0.16078,0.13531733333333335
Power,25,0.03994380952380953,0.21666923076923073,0.269752,0.07246200000000001
Precious Metals,2,0.000605,0.20704999999999998,0.30415,0.021550000000000003
Publishing & Newspapers,53,0.09428775510204083,0.2297997499999999,0.15076039215686277,0.27553188679245283
R.E.I.T.,54,0.00012666666666666666,0.08709909090909093,0.5558444444444445,0.006788333333333332
Real Estate (Development),15,0.1268558333333333,0.28009,0.107378,0.305862
Real Estate (General/Diversified),56,0.11199044444444446,0.29413659090909094,0.16124519230769235,0.24770709090909102
Real Estate (Operations & Services),43,0.2306030769230769,0.2382451428571428,0.1294746511627907,0.34123558139534876
Recreation,51,0.054561627906976745,0.2513613333333334,0.18853098039215688,0.17939745098039214
Reinsurance,0,0,0,0,0
Restaurant/Dining,107,0.14333457831325294,0.2325739583333333,0.09825572815533981,0.22597102803738311
Retail (Automotive),29,0.19537923076923083,0.2550504761904762,0.1481,0.318391724137931
Retail (Building Supply),19,0.1575852941176471,0.30413187500000005,0.15936842105263155,0.2411378947368421
Retail (Distributors),144,0.05351461538461541,0.22958455999999994,0.18745088235294122,0.14102300699300696
Retail (General),42,0.15687846153846155,0.23382764705882353,0.20151625000000004,0.2352345238095238
Retail (Grocery and Food),57,0.07238901960784318,0.3229845283018868,0.13985178571428572,0.1624775
Retail (REITs),4,0,0.11019999999999998,0.49315,2e-05
Retail (Special Lines),131,0.13003803738317754,0.2601724770642202,0.142118671875,0.2743824427480915
Rubber& Tires,6,0.008206666666666668,0.1788333333333333,0.3668166666666666,0.02611
Semiconductor,21,0.07004800000000001,0.18102157894736842,0.24711904761904765,0.137536
Semiconductor Equip,36,0.03223968750000001,0.2175523809523809,0.28142999999999996,0.1132597222222222
Shipbuilding & Marine,29,0.021247500000000002,0.251768,0.252968275862069,0.056675862068965514
Shoe,3,0.000915,0.13330999999999998,0.22179666666666661,0.07565333333333334
Software (Entertainment),73,0.28246764705882355,0.22950113207547168,0.12976055555555555,0.40381750000000005
Software (Internet),26,0.21660119999999997,0.24863450000000004,0.09237307692307693,0.35246153846153844
Software (System & Application),176,0.20307170886075973,0.1823351449275363,0.12185867816091958,0.3468685632183906
Steel,42,0.0019511111111111116,0.2811170731707317,0.20506190476190483,0.04075523809523809
Telecom (Wireless),7,0.073455,0.34265,0.19151428571428572,0.13912142857142856
Telecom. Equipment,16,0.09833454545454545,0.22856666666666667,0.158074375,0.14364499999999997
Telecom. Services,20,0.2784188888888888,0.20972294117647056,0.1484736842105263,0.358077
Tobacco,1,0.0001,0,0.2091,0.00017999999999999998
Transportation,33,0.09699533333333336,0.18660312499999995,0.23651818181818185,0.12761181818181824
Transportation (Railroads),20,0.0003035,0.1612709090909091,0.3430500000000001,0.005417
Trucking,20,0.029610000000000004,0.306535,0.18130500000000002,0.10021100000000001
Utility (General),0,0,0,0,0
Utility (Water),0,0,0,0,0
Total Market,4020,0.09832616036137772,0.22348986119493117,0.19070440751078416,0.19295455580865575
Total Market (without financials),3821,0.1005521953861164,0.22631875449331773,0.18740048439983376,0.19756909500587871
