Industry_Name,Count_of_Market_Cap_in_US_,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Advertising,80,0.0025483269006913163,6593.872,6628.984897985038,0.005296874035074406,0.25846207299229795,0.25948127209352667,0.3172458865967795,0.31839735871601815,1688.8149999999987,1699.7364204029911,0.4145220583276316,0.4122934683154897,0.06601301798924751,0.06643991846178647,35.11289798503731,0
Aerospace/Defense,6,0.000950029394473839,441.97,445.3048991726657,0.007489024214334105,0.2551058063772127,0.2563385525457128,0.7197143461357018,0.7210190524220088,-94.79,-94.20397983453314,-0.23885599092856244,-0.2354011358981525,-0.22290417401528514,-0.2215261136614536,3.3348991726657005,0.457
Air Transport,6,0.0072164205131018495,18420.85,20536.073042577777,0.10300036614557473,0.4401242421527342,0.4670582827279471,0.564521146041501,0.5910315601676239,2515.54,2707.9963914844448,0.08593913204856883,0.08506388910159329,0.09857402044726932,0.10611562196002416,2115.223042577778,0
Apparel,60,0.034636194264357933,4084.168000000001,4202.502262536077,0.02815804850148137,0.224088427230606,0.2290937021038077,0.23117786389798986,0.23629326599127237,752.306,783.8291474927845,0.042885932799754146,0.0442924503868337,0.042027446390713014,0.043788481649397026,118.33426253607604,0
Auto & Truck,10,0.0011563003079348591,357519.79999999993,357674.838392434,0.0004334618368205317,0.4849476516133687,0.4850559430384022,0.46052288027905486,0.46063059540110235,49957.6,49976.77232151317,0.07937606260183261,0.07938104658964208,0.07914233218754146,0.07917270478826692,155.03839243407128,0
Auto Parts,104,0.00022183889471089654,37644.24999999999,37694.59343200481,0.0013355610824037642,0.24688361027434044,0.24713218396566491,0.2106801901660956,0.21090252040151497,11619.780999999999,11627.534313599037,0.0638851542679358,0.06390355296095646,0.047418542223702204,0.04745018230609873,50.34343200481817,0
Bank (Money Center),8,0.008026890300986538,1731505.8999999997,1735432.162167176,0.0022624117800566675,0.8655909113813893,0.8658542078665571,0.8221022005105895,0.8224332118483287,0,242.9475665648034,0,0.002374607950120356,0,0.0026539377595363386,3926.2621671762317,0
Banks (Regional),75,0,431159.69999999984,431389.5732628184,0.0005328669886012897,0.8363406521273591,0.8364135946393797,0.7142945657016105,0.7144033286035677,0,22.509347436261724,0,0.00033164432839512823,0,0.00048270070265464635,229.87326281855348,0
Beverage (Alcoholic),6,0.00012116306093405232,17138.199999999997,17148.493935588795,0.0006002821954780616,0.3209124307643911,0.32104330219709104,0.37201639301560285,0.3721566839450757,2986.9199999999996,2987.8212128822406,0.055883830762418915,0.05588504337778221,0.0779966314580042,0.07802016458545366,10.293935588797467,0
Beverage (Soft),7,0.0028281925782649895,2693.9700000000003,2713.672407795942,0.007260422348452949,0.13536741809652397,0.13622256858258672,0.1736211497921228,0.1746691400867977,1175.62,1179.4605184408115,0.08781698225735601,0.08792960342710879,0.05771358720465,0.05790212609982433,19.70240779594178,0
Broadcasting,11,0.0013504771617979167,2399.862,2889.748246633657,0.16952557967786228,0.17663887241391338,0.20529396224032712,0.09638750196702058,0.11382362286865093,825.06,824.8327506732686,0.026281228079673556,0.025668960489127618,0.060104902746412184,0.06008834783079105,489.8862466336568,0
Brokerage & Investment Banking,37,0.038785671429602,387708.03800000006,389365.77780762035,0.004257538546285285,0.9056679887250686,0.9057375580019361,0.8777559799686253,0.8778433576806789,1073.9199999999998,1211.7150384759193,0.0026084013042922483,0.0029275396722069844,0.03779099740123552,0.042639973061383965,1657.7398076202953,1340.8
Building Materials,61,0.0022931322150072145,22333.429999999997,22512.193311237068,0.007940732773818212,0.2184535880895445,0.21981778854151235,0.29346779005650453,0.2951235463239596,6246.273999999997,6276.977337752582,0.08552944360851786,0.08566429453166316,0.07041704996392492,0.07076318246925258,178.76331123707132,0
Business & Consumer Services,218,0.009860821955336845,9530.220000000005,11312.673037947623,0.15756249932871708,0.06462291197545444,0.07579336473441939,0.18164425578359217,0.20853294794209276,7470.134999999999,7539.621392410478,0.25881402984717333,0.2404710733984426,0.08882423452313246,0.08965046800025633,1782.4530379476182,0
Cable TV,1,0,473.8,493.4914061145482,0.039902227010570245,0.2504625469154729,0.2581843805177042,0.21207645136744105,0.21896055010934168,164.6,167.14171877709035,0.06272434380560228,0.06300818548983887,0.19884029958927277,0.2019107499119236,19.691406114548215,0
Chemical (Basic),69,0.002811572531151552,33680.40899999999,33855.074286583935,0.005159205533132107,0.3725784835950033,0.37378843547444407,0.3080759773822658,0.30917968027903003,4663.259999999999,4715.178942683211,0.04102932665198033,0.041401433084802826,0.044302467423398904,0.044795714050625414,174.66528658394236,0
Chemical (Diversified),22,0.00046144002164077107,40037.299999999996,40088.054045687735,0.0012660640905616412,0.5137584659092367,0.5140749370955479,0.4533403837574534,0.4536543607122782,2617.4310000000005,2622.7051908624544,0.029857955556817504,0.02989375540288979,0.03404039957394733,0.03410899185561099,50.75404568773956,0
Chemical (Specialty),73,0.0003479293566181486,26458.775999999994,26543.41158349996,0.0031885721710534867,0.132668505345339,0.13303642410388777,0.21945620516491424,0.22000375495928273,11817.204999999996,11826.396883300005,0.11294364276719009,0.1129057558249862,0.12397637597017148,0.12407280963446655,84.63558349996674,0
Coal & Related Energy,1,0.0011734401831711505,269.4,269.4,0,0.5272015655577299,0.5272015655577299,0.41910392034847543,0.41910392034847543,31.5,31.5,0.03341144885329451,0.03341144885329451,0.03005151688609044,0.03005151688609044,0,0
Computer Services,244,0.0019471270954829476,31171.922000000006,32040.32051775614,0.027103303079470866,0.148568022402248,0.15204130945281674,0.2691442198276358,0.2745274959125274,12083.093000000015,12161.125296448787,0.1426332965830898,0.14151984301706938,0.0685997631756604,0.06904277864003187,868.3985177561335,0
Computers/Peripherals,26,0.006167964291267897,16580.699,18045.319621051403,0.08116346242727661,0.19667489105300803,0.20230473872056992,0.2028636662619183,0.20862466123064546,6321.707,6580.55087578972,0.10460488452578873,0.10558352403665953,0.06691848533647679,0.06965847947199608,1464.6206210514028,839.5
Construction Supplies,51,0.0029856806282460404,35211.60199999999,35879.06475545566,0.018603125806231597,0.32590962512233745,0.32713370690083987,0.30668934798782943,0.3078742111493318,8240.915,8305.524448908865,0.06582139846693287,0.06583728340798821,0.08251501676651146,0.0831619412597249,667.4627554556719,468.3
Diversified,15,0.0002796316534656492,25670.78,25983.411803697476,0.012031976634145836,0.24033479951518819,0.242551789314648,0.33589646695282194,0.33860205932370824,7754.718,7728.666639260504,0.13817362356504867,0.13676868858853491,0.09331545815043601,0.09300197226186491,312.63180369747715,0
Drugs (Biotechnology),30,0.0014076390460908302,407.712,412.57445358651654,0.01178563903859573,0.06590124124090468,0.06663482070340437,0.17012867140804144,0.17180906091157036,-31.114999999999995,-30.249490717303303,-0.02979874941974583,-0.0288317543887359,-0.020777366659922285,-0.020199413784648124,4.862453586516551,0
Drugs (Pharmaceutical),41,0.001540470959584198,50851.947,50860.78845772558,0.0001738364267186188,0.1560337807657493,0.15605667616403113,0.2561295485789567,0.2561626734305392,14271.966000000004,14274.026708454887,0.10263040714621721,0.10263702248294035,0.1399470980666526,0.13996730482500824,8.841457725582586,0
Education,36,0.003738628933616952,1609.0479999999998,1993.6949203016866,0.19293168497589486,0.2451902095071839,0.2869825363225508,0.39232939666464123,0.44443440317579774,356.466,381.0856159396627,0.1324663939897053,0.11870747482091791,0.061496659196654535,0.06574397627877165,384.6469203016868,0
Electrical Equipment,53,0.0002474427677700579,14294.052,14409.051084197896,0.007981031056515106,0.15618476640912554,0.15724372673752207,0.1920442021966853,0.1932906019116054,5515.369999999999,5526.789183160421,0.07445004379789182,0.07444717747959304,0.06154956109123455,0.06167699510047498,114.99908419789608,0
