Industry_Name,Number_of_firms,Gross_Margin,Net_Margin,Pre_tax_Pre_stock_compensation_Operating_Margin,Pre_tax_Unadjusted_Operating_Margin,After_tax_Unadjusted_Operating_Margin,Pre_tax_Lease_adjusted_Margin,After_tax_Lease_Adjusted_Margin,Pre_tax_Lease_R_D_adj_Margin,After_tax_Lease_R_D_adj_Margin,EBITDA_Sales,EBITDASG_A_Sales,EBITDAR_D_Sales,COGS_Sales,R_D_Sales,SG_A_Sales,Stock_Based_Compensation_Sales,Lease_Expense_Sales
Advertising,80,0.5404835856226736,0.021747984799316427,0.06601301798924751,0.06601301798924751,0.047780591326873914,0.06643991846178647,0.04808958427458244,0.0670101395377641,0.048659805350560074,0.13049103586513885,0.5886023798560454,0.1338203873969728,0.4595164143773264,0.0033293515318339544,0.4581113439909065,0,0.0025483269006913163
Aerospace/Defense,6,0.21321575543797766,-0.2381657848324515,-0.21069958847736628,-0.22290417401528514,-0.22290417401528514,-0.2215261136614536,-0.2215261136614536,-0.07855609602476929,-0.07855609602476929,-0.1478189300411523,0.06605526161081712,0.05690770135214582,0.7867842445620223,0.2047266313932981,0.21387419165196941,0.012204585537918871,0.000950029394473839
Air Transport,6,0.34828149674951897,0.07274337462234466,0.09857402044726932,0.09857402044726932,0.0813310584987983,0.10611562196002416,0.08755345290886096,0.10611560628561305,0.08755343723444983,0.14760122730639164,0.2519422554693898,0.14760150160858646,0.6517185032504811,2.743021948094188e-07,0.1043410281629982,0,0.0072164205131018495
Apparel,60,0.4052596736935309,0.0342665366878301,0.042027446390713014,0.042027446390713014,0.032157601161717564,0.043788481649397026,0.03350506988380002,0.043165689357626186,0.03288227759202917,0.08520224464884758,0.4310452030267562,0.09290857441334939,0.5947403263064691,0.007706329764501805,0.3458429583779086,0,0.034636194264357933
Auto & Truck,10,0.19899312049634568,0.06832960150966971,0.07915392845861159,0.07914233218754146,0.060741044277780994,0.07917270478826692,0.060764354981856845,0.07852746418623668,0.06011911437982661,0.11254276124957108,0.21422463244414855,0.1490212715533015,0.8010068795036543,0.03647851030373041,0.10168187119457747,1.1596271070123537e-05,0.0011563003079348591
Auto Parts,104,0.139863258996634,0.03174880186347775,0.047418542223702204,0.047418542223702204,0.03461679775339716,0.04745018230609873,0.034639895855571076,0.03045151837523155,0.017641231924703897,0.09791492822607238,0.18450220610559923,0.11964636608783943,0.860136741003366,0.021731437861767046,0.08658727787952686,0,0.00022183889471089654
Bank (Money Center),8,1,0.24839008851645628,0.00010519726945903698,0,0,0.0026539377595363386,0.0020699153565536936,0.0026539377595363386,0.0020699153565536936,0,0.5150678975730345,0,0,0,0.5150678975730345,0.00010519726945903698,0.008026890300986538
Banks (Regional),75,1,0.1616701585388606,0,0,0,0.00048270070265464635,0.0003602717336153921,0.0001451563930481733,2.2727424008919e-05,0,0.4719088353301696,0.0007012336995331546,0,0.0007012336995331546,0.4719088353301696,0,0
Beverage (Alcoholic),6,0.38658850256557553,0.04552519225496469,0.0779966314580042,0.0779966314580042,0.053646179167011115,0.07802016458545366,0.0536623652810511,0.07722304743069656,0.05286524812629401,0.138258803253646,0.39996318105260414,0.15602381480852842,0.6134114974344245,0.017765011554882425,0.26170437779895817,0,0.00012116306093405232
Beverage (Soft),7,0.40549045405230266,0.035736552462211406,0.05771358720465,0.05771358720465,0.042859527861556876,0.05790212609982433,0.042999541477450436,0.05771318064599294,0.04281059602361905,0.10841486703420244,0.42602074629723274,0.11211979440252531,0.5945095459476973,0.0037049273683228685,0.31760587926303024,0,0.0028281925782649895
Broadcasting,11,0.3030960880017484,0.06867997377431341,0.060104902746412184,0.060104902746412184,0.039792155287277683,0.06008834783079105,0.0397811951868023,0.060105919040815074,0.03979876639682633,0.11247541341880965,0.35372987542798867,0.11311575726670066,0.6969039119982516,0.0006403438478910177,0.24125446200917905,0,0.0013504771617979167
Brokerage & Investment Banking,37,0.760541711313687,0.08322278467204017,0.048829887375142315,0.03779099740123552,0.02865350498558442,0.042639973061383965,0.0323300459029326,0.04250549887571923,0.03219557171726786,0.05073073316125536,0.47086878262751464,0.05110022574237218,0.23945828868631303,0.0003694925811168178,0.42013804946625927,0.01103888997390679,0.038785671429602
Building Materials,61,0.29059952200577194,0.035887660082972575,0.07041704996392492,0.07041704996392492,0.051706382367470376,0.07076318246925258,0.051960543251509846,0.07040011879681399,0.05159747957907125,0.13089583333333324,0.3264814889971139,0.1502335294913419,0.709400477994228,0.019337696158008656,0.19558565566378064,0,0.0022931322150072145
Business & Consumer Services,218,0.3741751356328683,0.06268013187603978,0.09462818098270645,0.08882423452313246,0.06356893762314682,0.08965046800025633,0.06416024904453334,0.0928069626526465,0.0673167436969235,0.12352458418940548,0.40057946361357794,0.13805857037897296,0.6258248643671317,0.014533986189567468,0.2770548794241725,0.005803946459573992,0.009860821955336845
Cable TV,1,0.4412901667069341,0.13481517274704036,0.19884029958927277,0.19884029958927277,0.13729736010404056,0.2019107499119236,0.1394174772256771,0.1998691939805392,0.1373759212942927,0.39586856728678427,0.6383184344044456,0.39586856728678427,0.5587098332930659,0,0.24244986711766128,0,0
Chemical (Basic),69,0.2312140650353982,0.014646626055960687,0.044302467423398904,0.044302467423398904,0.033279740662923794,0.044795714050625414,0.03365026449131648,0.04346243518579979,0.03231698562649086,0.12496180870913437,0.2845249269425306,0.15435412066927862,0.7687859349646018,0.029392311960144246,0.15956311823339625,0,0.002811572531151552
Chemical (Diversified),22,0.24909827953269462,0.012307577261063912,0.03404039957394733,0.03404039957394733,0.02418073471190023,0.03410899185561099,0.024229459514985747,0.03209752900971954,0.022217996669094298,0.1267247915580185,0.30994370018168366,0.1707811485995274,0.7509017204673054,0.044056357041508926,0.1832189086236652,0,0.00046144002164077107
Chemical (Specialty),73,0.3095206371920579,0.0903701811406426,0.12397637597017148,0.12397637597017148,0.09005033268185887,0.12407280963446655,0.0901203773454776,0.1224434565833179,0.08849102429432895,0.21656724528998678,0.3851645331112004,0.2425145355241708,0.6904793628079421,0.025947290234184038,0.16859728782121364,0,0.0003479293566181486
Coal & Related Energy,1,0.0694523945811868,0.01869872161801183,0.03005151688609044,0.03005151688609044,0.0205020453181063,0.03005151688609044,0.0205020453181063,0.029881511161991985,0.020332039594007846,0.035775615340583856,0.07355466514024041,0.03651688609044076,0.9305476054188132,0.0007412707498568975,0.03777904979965655,0,0.0011734401831711505
Computer Services,244,0.24073539878933115,0.04671571013323063,0.0685997631756604,0.0685997631756604,0.04891341548694552,0.06904277864003187,0.04922929703628055,0.06818645148611778,0.04837296988236646,0.1130229201382386,0.281034272990892,0.12470581328983438,0.7592646012106689,0.011682893151595795,0.16801135285265342,0,0.0019471270954829476
Computers/Peripherals,26,0.40358029431313625,0.04130841335184104,0.06694367884751753,0.06691848533647679,0.05181887284274603,0.06965847947199608,0.05394060956443702,0.06788002930269672,0.05216215939513767,0.13140713063163623,0.4240274325578707,0.18964848383227592,0.5964197056868638,0.05824135320063973,0.29262030192623445,2.519351104073864e-05,0.006167964291267897
