Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Advertising,80,0.28880882805506164,0.23032412014593415,0.7405187279064733,0.25948127209352667
Aerospace/Defense,6,0.6196670995669483,0.49565524706519226,0.7436614474542872,0.2563385525457128
Air Transport,6,0.15583370303453475,0.10081076788166014,0.532941717272053,0.4670582827279471
Apparel,60,0.17952137316169342,0.14731015226807695,0.7709062978961922,0.2290937021038077
Auto & Truck,10,0.21406224490512202,0.1358448408421405,0.5149440569615977,0.4850559430384022
Auto Parts,104,0.20237318834776644,0.16328456417317058,0.7528678160343351,0.24713218396566491
Bank (Money Center),8,0.15624539135737073,0.06709605992171606,0.1341457921334429,0.8658542078665571
Banks (Regional),75,0.16817272487177418,0.0739625291226403,0.1635864053606203,0.8364135946393797
Beverage (Alcoholic),6,0.12707328404651796,0.09548802739431146,0.6789566978029089,0.32104330219709104
Beverage (Soft),7,0.15936070714407516,0.14219288035854427,0.8637774314174133,0.13622256858258672
Broadcasting,11,0.11960713829091961,0.10032467694922702,0.7947060377596729,0.20529396224032712
Brokerage & Investment Banking,37,0.20316578395322846,0.08481871115848733,0.09426244199806388,0.9057375580019361
Building Materials,61,0.17017550903641812,0.14084679937753306,0.7801822114584877,0.21981778854151235
Business & Consumer Services,218,0.25997752543385966,0.2443092423340413,0.9242066352655807,0.07579336473441939
Cable TV,1,0.15782623356083741,0.12602066138945697,0.7418156194822958,0.2581843805177042
Chemical (Basic),69,0.18015244303339079,0.1284177397144047,0.6262115645255559,0.37378843547444407
Chemical (Diversified),22,0.1699549076681745,0.10453644560703526,0.48592506290445214,0.5140749370955479
Chemical (Specialty),73,0.1753730980821533,0.156916565536763,0.8669635758961123,0.13303642410388777
Coal & Related Energy,1,0.24507305033397694,0.1486106948900157,0.4727984344422701,0.5272015655577299
Computer Services,244,0.2540357812799971,0.22353741267951835,0.8479586905471832,0.15204130945281674
Computers/Peripherals,26,0.23643255759877177,0.19885891047888596,0.7976952612794301,0.20230473872056992
Construction Supplies,51,0.20235113082837003,0.15114404754990246,0.6728662930991601,0.32713370690083987
Diversified,15,0.17281596672783253,0.1400373512858385,0.757448210685352,0.242551789314648
Drugs (Biotechnology),30,0.3897523476191295,0.3690851506566655,0.9333651792965956,0.06663482070340437
Drugs (Pharmaceutical),41,0.20696313085062598,0.18146997973693366,0.8439433238359688,0.15605667616403113
Education,36,0.20118325639415782,0.1562794803807924,0.7130174636774492,0.2869825363225508
Electrical Equipment,53,0.19453237345964866,0.17039098090505067,0.8427562732624779,0.15724372673752207
Electronics (Consumer & Office),10,0.22737189301419405,0.18503887609750705,0.7620379415288733,0.23796205847112675
Electronics (General),137,0.21383062598333494,0.20012340156245206,0.9193496514744022,0.08065034852559788
Engineering/Construction,157,0.15071533908286974,0.12330098169253122,0.7676709600689238,0.2323290399310763
Entertainment,73,0.270158552306991,0.2642939453287027,0.972808290280915,0.027191709719085026
Environmental & Waste Services,36,0.2219287353216066,0.18511637946475787,0.788631825880122,0.21136817411987793
Farming/Agriculture,11,0.15059874863220654,0.10249772541830429,0.5811992815957155,0.41880071840428446
Financial Svcs. (Non-bank & Insurance),47,0.21040505912336824,0.08659193799429889,0.07025921849660977,0.9297407815033902
Food Processing,121,0.12153571326438545,0.10657555608076773,0.8440521529899585,0.1559478470100415
Food Wholesalers,37,0.18766414952780097,0.13735656553032352,0.6524470238831377,0.34755297611686237
Furn/Home Furnishings,20,0.23321107930007545,0.22232274841647595,0.9413685972434345,0.05863140275656553
Green & Renewable Energy,9,0.39956507741381997,0.2360862189250554,0.4489690547057251,0.5510309452942749
Healthcare Products,40,0.1967687888000725,0.18305816058478394,0.912280917234049,0.08771908276595093
Healthcare Support Services,47,0.21478365578769482,0.19137556225524185,0.8621691252368799,0.13783087476312006
Heathcare Information and Technology,36,0.3308138124410262,0.3238743840094415,0.9737260654914263,0.02627393450857377
Homebuilding,51,0.16781089392226775,0.10650896378841165,0.5150793538299426,0.48492064617005737
Hospitals/Healthcare Facilities,9,0.2425839684628581,0.21550433005851216,0.8587775334084274,0.1412224665915726
Hotel/Gaming,33,0.2882864267735125,0.1904929766294092,0.552968618505723,0.44703138149427696
Household Products,43,0.20681247690844434,0.19573012568511933,0.9326574696943858,0.06734253030561421
Information Services,14,0.22825311573750007,0.2076122093097707,0.8858884135468474,0.1141115864531526
Insurance (General),6,0.21666618341100968,0.2114004646902655,0.969549509049195,0.03045049095080503
Insurance (Life),5,0.21143627384461552,0.09885146768880504,0.2299404126867387,0.7700595873132613
Insurance (Prop/Cas.),7,0.19855989094769258,0.17592625605625492,0.8557510433797573,0.14424895662024267
Investments & Asset Management,14,0.21701859168065035,0.18382592097064204,0.8054580113627824,0.1945419886372176
Machinery,229,0.1876687400925546,0.16132352810523296,0.8217473699112265,0.1782526300887735
Metals & Mining,21,0.22768100143702258,0.15332607363904585,0.5710316922748675,0.4289683077251325
Office Equipment & Services,26,0.16574883988300604,0.15398713470766556,0.9106541270711889,0.08934587292881117
Oil/Gas (Production and Exploration),2,0.2591655194432855,0.1950662330344191,0.6806183047422938,0.3193816952577062
