Industry_Name,Number_of_firms,PBV,ROE,EV_Invested_Capital,ROIC
Advertising,80,1.3331168560279343,0.08231264840554198,2.5671214148432253,0.38730777580801745
Aerospace/Defense,6,7.497794544399304,-1.1858096241657885,2.554728472009186,-0.06021841651454727
Air Transport,6,1.6490336437233288,0.14981131953657884,1.3786757290331368,0.08506380262520963
Apparel,60,1.0411496759459338,0.046560118415059956,1.0272608045718197,0.04211364871983289
Auto & Truck,10,0.9066396189054491,0.14902839341903726,0.8488276212330984,0.06844747634979617
Auto Parts,104,0.8142176989114923,0.06365879832276922,0.7019221797395035,0.027464627313128615
Bank (Money Center),8,0.7175814166006783,0.06449916433781856,-1.7128584425848774,0.002374607950120356
Banks (Regional),75,0.4892338005432098,0.04441745467828505,-2.0680751993725273,2.0873484770438674e-05
Beverage (Alcoholic),6,1.253582761266773,0.07107922879030647,1.1898099450910626,0.052038658982420626
Beverage (Soft),7,1.3419640628899427,0.06269485832400311,1.532454032828586,0.08550836907475493
Broadcasting,11,0.49721311038216404,0.043952391164486376,0.5114533200666073,0.025648006716826967
Brokerage & Investment Banking,37,0.74788745781606,0.05119231945611227,0.9623205413607595,0.002915027649085712
Building Materials,61,1.4860179904992497,0.06299601725762677,1.370440822781107,0.07742350676715225
Business & Consumer Services,218,3.2127707498145113,0.13584748848633485,4.477149071129359,0.21831136801849066
Cable TV,1,0.8054877009600637,0.06472566987588446,0.8158184029620698,0.062027754618433045
Chemical (Basic),69,0.7497924504855601,0.021661330828257185,0.7625819903803853,0.03572724561057228
Chemical (Diversified),22,0.7848749660824916,0.0221541692125094,0.8531096160986147,0.023436354752586097
Chemical (Specialty),73,1.8380946460602037,0.10004997897700478,1.9423254848487448,0.1005310173808601
Coal & Related Energy,1,0.647027316550616,0.05393505778756192,0.7791303524529293,0.033002499498179426
Computer Services,244,2.110464182151445,0.11670221527279787,2.1785398784412133,0.12575816916422808
Computers/Peripherals,26,1.0394750951260794,0.0666175871843656,0.9834089660591595,0.07550788233875509
Construction Supplies,51,0.9149381966054622,0.07338890379712866,0.894927938658713,0.06095352638536016
Diversified,15,1.5987303438750515,0.12350342831046626,1.6900478389145428,0.11407108628911775
Drugs (Biotechnology),30,2.905801546676858,-0.05918704848115588,2.488837165548893,-0.03781838402042094
Drugs (Pharmaceutical),41,1.8623821840637012,0.06424067864804525,1.6874822577504152,0.0708561221185924
Education,36,1.9875452407893361,0.07524201964205428,2.0198890366858975,0.11824430035670215
Electrical Equipment,53,1.2841693134010674,0.07172725488842292,1.1538337756803276,0.06201759012719569
Electronics (Consumer & Office),10,1.7301991952213138,0.08480444620131804,1.2951064764553795,0.05529819995595454
Electronics (General),137,2.1613347092685196,0.0732206564217585,2.0340646718979216,0.07438408005819243
Engineering/Construction,157,0.946790966697506,0.06713065569528931,0.9165819989879521,0.06277239159982236
Entertainment,73,2.724855476535393,0.1367974907439788,3.387130706594341,0.21002628888009253
Environmental & Waste Services,36,1.8726242594243174,0.12144630109157502,1.8880159929631957,0.1259250975820918
Farming/Agriculture,11,1.050682869341266,0.09187608982462704,0.9944479690056207,0.060086182525511164
Financial Svcs. (Non-bank & Insurance),47,0.731021343605297,0.20994534869658418,0.9794454979442813,0.005833956204492597
Food Processing,121,1.5695522422068775,0.08492164196597163,1.487632254732214,0.06270156230309482
Food Wholesalers,37,0.9709149373493554,0.08261674690109076,0.9845249160950061,0.06688293802606254
Furn/Home Furnishings,20,1.0874581561378884,0.05451430050064395,0.9942571533446382,0.06230092172778869
Green & Renewable Energy,9,1.895258297332954,0.017344359125812163,1.3368679856344658,0.019272600886297307
Healthcare Products,40,3.4060384518793434,0.1502973462292636,3.240896697016922,0.09282620974215892
Healthcare Support Services,47,1.0935240837809164,0.06708630834636371,1.1271755037757667,0.07468558762408993
Heathcare Information and Technology,36,4.178288152325623,0.13629498359265013,8.185331680313327,0.29215114177944007
Homebuilding,51,1.0631941861490168,0.10993257655537889,1.0480592183887334,0.053291022521139084
Hospitals/Healthcare Facilities,9,7.080408498650077,0.20888608705185835,4.771261505422407,0.13356176842740908
Hotel/Gaming,33,1.9340099191770759,0.12467459479110539,1.4759529687176678,0.05029332000587101
Household Products,43,2.7712413287052784,0.06737004520782847,2.839525482788237,0.07383363855897379
Information Services,14,2.0592425601099538,0.11405926498226913,3.167275281540857,0.2088031786170987
Insurance (General),6,3.0372070548441656,0.22801437556154536,7.110429898947399,0.3749575532674069
Insurance (Life),5,0.45916192494197905,0.04141116619117619,-3.1394698620232817,0.11277514004909735
Insurance (Prop/Cas.),7,1.2491078180689594,0.11936446735170012,1.3462014683290655,0.20749549143447887
Investments & Asset Management,14,1.6826331281776827,0.1940488572080871,1.7243864260921589,0.046049106552934496
Machinery,229,1.4875516481119162,0.07034116229809599,1.3768144085891403,0.0627036287035984
Metals & Mining,21,0.6985971164299583,0.02204931975982245,0.7635396163277999,0.02717704794137164
Office Equipment & Services,26,1.0681405122962457,0.08011048488101626,1.0211565776958151,0.09289548875110439
Oil/Gas (Production and Exploration),2,0.5569125334973422,0.11478356981629567,0.6304488896261382,0.14524568243944755
Oil/Gas Distribution,3,1.0985480506978982,0.10019322369012312,1.1020318243972826,0.05832928871069456
Oilfield Svcs/Equip.,19,0.6152307250246831,0.04233191783808377,0.789477854629739,0.02572885837357703
Packaging & Container,30,0.694229171387567,0.0497760524343319,0.751344972619623,0.03519034707132244
Paper/Forest Products,15,0.5689257988572466,0.008008490389998136,0.7764572264915153,0.02089026608758122
Power,25,0.6013884482287613,0.15148386247186707,0.8402923051327446,0.04515210072497438
Precious Metals,2,1.3218078829360396,0.07906654925147817,1.1221132818096544,0.0528108035926859
Publishing & Newspapers,53,1.0100112422567586,0.06262388759833461,0.9679299470303399,0.0460245989365761
R.E.I.T.,54,1.4378126133573432,0.0549177260679796,1.2517457997169088,0.03414967012400527
Real Estate (Development),15,1.3139437559686,0.07783759431515744,1.1493843062895885,0.04824832169940451
Real Estate (General/Diversified),56,1.1250252138882337,0.10014149817281287,1.0533418078650532,0.04607193686883856
Real Estate (Operations & Services),43,1.4532215942929747,0.11053068444474842,1.1785947903419802,0.06613787222955417
Recreation,51,3.205180481498262,0.12049913892939662,3.179197879079494,0.12351244790996294
Restaurant/Dining,107,3.7227701574446117,0.055987542330684495,3.557401121968022,0.07790615347122881
Retail (Automotive),29,1.6802030373005883,0.12692679023869846,1.6514733878354604,0.12364011206685473
Retail (Building Supply),19,1.5389665210853951,0.0843443458260508,1.4055343723789557,0.04826255640961888
Retail (Distributors),144,1.1096295078983733,0.13232685605372915,1.076779271382446,0.0488905244516247
Retail (General),42,1.6040357582061975,-0.0039698732207234565,1.3821891552598926,0.03392920253803958
Retail (Grocery and Food),57,1.3968068376131622,0.070127803878552,1.5496081669861845,0.07808176368036208
Retail (REITs),4,1.2356156103212486,0.05229702056132294,1.1427172422798197,0.03307541411530992
Retail (Special Lines),131,2.592759340940522,0.10572111374577109,2.6666998398316353,0.12984200428400292
Rubber& Tires,6,1.0661299548857774,0.10899142816354145,1.0456381956850513,0.08841255237097664
Semiconductor,21,1.9458513860461966,0.14354313540528918,1.969285238618868,0.16050911598134815
Semiconductor Equip,36,6.055960929405065,0.20504105614843537,5.795514428474333,0.19824412734356672
Shipbuilding & Marine,29,0.8278230234913209,0.14148826123457264,0.867669193748245,0.042969352497664266
Shoe,3,3.6552795990125313,0.16982139376896732,3.0828097777452528,0.14320928254219356
Software (Entertainment),73,1.4134269578069327,0.08464985659490713,2.7456590431821852,0.10476179656644605
Software (Internet),26,2.4757506926590627,0.07942953076754349,2.3185158429081127,0.23598463973914674
Software (System & Application),176,4.210105992463802,0.0925478132310998,8.676071485230278,0.2812943866200559
Steel,42,0.6290178919682329,0.11223352548263561,0.7154838727673675,0.06535752470695748
Telecom (Wireless),7,1.3621406706898462,-0.04854058626470028,1.4524286127522412,0.05501818142716227
Telecom. Equipment,16,0.690957449443044,0.023787401221935074,0.46642077474846094,0.027006047367461553
Telecom. Services,20,1.572574249573734,0.13691932575398133,1.366741113388901,0.0816446474036632
Tobacco,1,1.7134176383642634,0.12293864522361334,4.215007121584876,0.3231512447607213
Transportation,33,1.2791975356032397,0.08503156913428535,1.210253992710175,0.07592062376565148
Transportation (Railroads),20,1.2593864295623662,0.08039215686274509,1.110650964028622,0.03591238704621941
Trucking,20,0.8020818985025284,0.06208849736735521,0.8280021165927586,0.04809144406994637
Total Market,4020,1.2653362203263026,0.0871489929430095,1.0969992436714464,0.05085683067743622
Total Market (without financials),3821,1.4066274392000395,0.08929585585196202,1.2797749283050157,0.06360399323384407
