Industry_Name,Number_of_firms,_of_Money_Losing_firms_Trailing_,Current_PE,Trailing_PE,Forward_PE,Aggregate_Mkt_Cap_Net_Income_all_firms_,Aggregate_Mkt_Cap_Trailing_Net_Income_only_money_making_firms_,Expected_growth_next_5_years,PEG_Ratio
Advertising,80,0.16249999999999998,37.58776701651951,41.74558455282678,19.115004843200182,15.32721910749586,30.630845601906266,0.18430000000000002,1.6620100706406002
Air Transport,6,0,39.88558187095805,22.70901713312425,17.150728335690058,24.661304224738448,12.623036479993106,0.32799999999999996,0.38484867317052157
Apparel,60,0.19999999999999996,29.14714390401075,25.828933094383512,25.47635801296713,20.42702893997501,16.976249696387452,0.1625,1.0446922890084587
Auto & Truck,10,0,11.030174608378726,9.72424972346228,6.942042480873793,11.500316496909235,8.80349251835056,0.14972857142857143,0.5879634350582379
Auto Parts,104,0.17307692307692313,16.74198319997578,13.600788808012263,10.36669741600686,17.173314226860047,14.153275321359146,0.21658181818181815,0.6534840015738357
Bank (Money Center),8,0,16.20012771565102,19.780180938413174,12.279226138867113,13.48245671218177,11.824528766569038,0.1577,0.7498115895097678
Banks (Regional),75,0.040000000000000036,9.846726007516938,14.732801860737677,10.828625381163825,9.99491792869463,11.098785598741921,0.14594285714285715,0.7604884415739375
Beverage (Alcoholic),6,0,29.69301776525878,44.54467657049747,22.46499212501839,16.560453711060575,20.801991499417802,0.1572,1.323281901998588
Beverage (Soft),7,0,28.62419692233667,73.97962895287392,33.28659187360066,23.735051105562988,23.637887217528675,0.114,2.0734988787305855
Broadcasting,11,0,12.397509763358691,21.319564340114457,11.842344561756326,10.146578622741456,11.865460292542192,0.014304999999999998,8.294624461756165
Brokerage & Investment Banking,37,0.2432432432432432,39.78158811524626,432.7560559314719,20.03887051666952,22.967372538884185,16.781369023983395,0.07325000000000001,2.290971880407289
Building Materials,61,0.1311475409836066,13.924122642249671,18.642815226630024,13.91653187752174,22.278744807137397,20.072014595352734,0.19614285714285715,1.023336505225558
