Industry_Name,Number_of_firms,Price_Sales,Net_Margin,EV_Sales,Pre_tax_Operating_Margin
Advertising,80,0.739476825680743,0.021747984799316427,0.742300721570642,0.06643991846178647
Aerospace/Defense,6,3.037907113462669,-0.2381657848324515,3.6918280991714654,-0.2215261136614536
Air Transport,6,0.9182422715356613,0.07274337462234466,1.3320887736959002,0.10611562196002416
Apparel,60,0.7900141617342672,0.0342665366878301,0.8310056653940324,0.043788481649397026
Auto & Truck,10,0.6015391356722525,0.06832960150966971,0.9804793701900966,0.07917270478826692
Auto Parts,104,0.4686177601702853,0.03174880186347775,0.4862727810479158,0.04745018230609873
Bank (Money Center),8,2.937095746993467,0.24839008851645628,-2.254321093448866,0.0026539377595363386
Banks (Regional),75,1.8093008893015767,0.1616701585388606,-3.4293443086882514,0.00048270070265464635
Beverage (Alcoholic),6,0.9470146622971366,0.04552519225496469,1.3317027832405584,0.07802016458545366
Beverage (Soft),7,0.84473659664505,0.035736552462211406,0.8517554041893157,0.05790212609982433
Broadcasting,11,0.8149195017119547,0.06867997377431341,0.8404639212234035,0.06008834783079105
Brokerage & Investment Banking,37,1.4259704018847645,0.08322278467204017,12.123302060453229,0.042639973061383965
Building Materials,61,0.9007573502886006,0.035887660082972575,1.0161117121126113,0.07076318246925258
Business & Consumer Services,218,1.6402352955445174,0.06268013187603978,1.5132230859163065,0.08965046800025633
Cable TV,1,1.7128533462188937,0.13481517274704036,1.8412556246853689,0.2019107499119236
Chemical (Basic),69,0.5388368376851136,0.014646626055960687,0.7343899681034693,0.044795714050625414
Chemical (Diversified),22,0.4928074348533461,0.012307577261063912,0.8873904019238403,0.03410899185561099
Chemical (Specialty),73,1.814726568483249,0.0903701811406426,1.8098452507863132,0.12407280963446655
Coal & Related Energy,1,0.23049036443426826,0.01869872161801183,0.45220377790497995,0.03005151688609044
Computer Services,244,1.0145055901592261,0.04671571013323063,1.0524112265986998,0.06904277864003187
Computers/Peripherals,26,0.7531947330318791,0.04130841335184104,0.8196109107914857,0.06965847947199608
Construction Supplies,51,0.7389280446813261,0.05038565479510211,0.9747318284905101,0.0831619412597249
Diversified,15,0.9764100051286261,0.06544292821199159,1.1663115432555138,0.09300197226186491
Drugs (Biotechnology),30,3.8589876885004313,-0.07265233786275253,3.3894482185730337,-0.020199413784648124
Drugs (Pharmaceutical),41,2.697081764620227,0.09033697894169658,2.924073600442099,0.13996730482500824
Education,36,0.8545486853296207,0.031469970723763084,0.8749169621551052,0.06574397627877165
Electrical Equipment,53,0.8618156069841513,0.04405535852585577,0.8910266546313403,0.06167699510047498
Electronics (Consumer & Office),10,0.9134816142357342,0.04310642552576382,1.0979949969151872,0.05425746767841317
Electronics (General),137,2.2794677641884378,0.07426376006398655,2.2066928344090164,0.10313996332147726
Engineering/Construction,157,0.488171987895283,0.03329206544201378,0.4754439847536766,0.04480079805611178
Entertainment,73,3.5846013463079274,0.16597051498903187,3.0492211888243848,0.2178312924380286
Environmental & Waste Services,36,0.8843058972811538,0.052544604862046033,0.9019077990061432,0.08075139595755694
Farming/Agriculture,11,0.7962902371381383,0.0597030320027422,1.2924095488949048,0.08365424989195479
Financial Svcs. (Non-bank & Insurance),47,0.8940209265819439,0.23496191102421193,12.343105282357309,0.09584845946012045
Food Processing,121,0.8041701605521733,0.03980233266908142,0.844520497838809,0.04796536136899877
Food Wholesalers,37,0.15319220509931547,0.012055769733292159,0.18735809405958057,0.01662367774317829
Furn/Home Furnishings,20,0.8752156846054918,0.041463795008035945,0.7436022629193708,0.06113969197813638
Green & Renewable Energy,9,0.9723742974126203,0.007307240548665164,1.8552582556872068,0.030465473081998175
Healthcare Products,40,3.491065281972946,0.14293223605765557,3.468436070321354,0.1444310252647336
Healthcare Support Services,47,0.23814102529121509,0.013991456452244862,0.18536765311988276,0.018096869933951598
Heathcare Information and Technology,36,4.665995232377258,0.13273743962540252,4.28229228611073,0.19389992547613782
Homebuilding,51,0.5640969640449297,0.05382492381089359,0.9147779240856805,0.05935846253305638
Hospitals/Healthcare Facilities,9,3.260784949724295,0.08239809709157749,3.5368498949181557,0.11369067622233724
Hotel/Gaming,33,0.9857048172967772,0.05720754026471141,1.4668920346854755,0.056945359748330975
Household Products,43,2.007663115407395,0.046347540807795705,1.928377686451576,0.06929238438211581
Information Services,14,1.0269575575199048,0.05491400748124466,0.9780708934993143,0.07863433236527416
Insurance (General),6,1.2363418208282932,0.08735628792572704,0.9879478993602758,0.07410250994000042
Insurance (Life),5,0.3809300057372347,0.02865574297188755,-0.9953482240631922,0.049918755541267255
Insurance (Prop/Cas.),7,0.727978763099463,0.05791305453626687,0.5645188092875293,0.11045979875349847
Investments & Asset Management,14,4.291271411997543,0.5220500921313042,4.087800734506344,0.1475959303525358
Machinery,229,1.1131547539958846,0.04996712875041777,1.1404882490678907,0.06778165573108606
Metals & Mining,21,0.44406249034075596,0.012963919688078168,0.6897527742542761,0.029140875688693543
Office Equipment & Services,26,0.7817335370099029,0.055832839729401104,0.6179427923945849,0.07323288159756555
Oil/Gas (Production and Exploration),2,1.0948079314633137,0.1985053659435309,1.4677621275293447,0.47944628482529955
Oil/Gas Distribution,3,0.4369237150240884,0.035569345627412825,0.6173546644758435,0.0445013416158864
Oilfield Svcs/Equip.,19,0.14328864266050637,0.008988636385936088,0.3088689478058108,0.014917642118151848
Packaging & Container,30,0.42568988356043835,0.02900502996674479,0.612195347173598,0.03705645176432073
Paper/Forest Products,15,0.29420755020726846,0.004030298761755277,0.7740885697342512,0.023774369604483942
Power,25,0.30027564186962336,0.06428327398700238,1.0914625423193283,0.07900106600283234
Precious Metals,2,0.41347360649686227,0.02320044296788483,0.9193798449612405,0.04169435215946844
Publishing & Newspapers,53,0.8027069001696071,0.04661487117732049,0.7365592408818178,0.046635089737212976
R.E.I.T.,54,10.97437566184257,0.4290041475467703,17.055459348665202,0.47309615974101565
Real Estate (Development),15,0.8749957030540237,0.050483222267510675,1.6953844610947493,0.08804444862462658
Real Estate (General/Diversified),56,0.9855320676180604,0.08008071389305815,2.3313272349347565,0.13576406896653928
Real Estate (Operations & Services),43,1.4032208206680588,0.09901360539481548,2.9790274203369385,0.2306148253018293
Recreation,51,3.086514214049073,0.10717156167495134,2.9886732197356225,0.14736806914250328
Restaurant/Dining,107,1.2904012971318182,0.01852508709963765,1.4191987426925428,0.0380654430479354
Retail (Automotive),29,0.6206253813300794,0.04355509456985967,0.6631907617248348,0.06445129243843754
Retail (Building Supply),19,0.9319087255778429,0.05143516790639945,1.2320875435836696,0.06694234650793696
Retail (Distributors),144,0.47101988362252506,0.04862033044372622,0.6855523146375659,0.041560271192922375
Retail (General),42,0.5491077187197305,-0.0010824563748840002,0.7815034537864869,0.023932749444964003
Retail (Grocery and Food),57,0.4169452908333149,0.019934907176888107,0.5872617241610919,0.03861297551265747
Retail (REITs),4,8.62205623901582,0.3882249560632689,13.842442882249559,0.42873462214411245
Retail (Special Lines),131,1.0210348528332356,0.039794840679353086,1.0302173411621005,0.06036016200707568
Rubber& Tires,6,0.7982130424692504,0.07409228042785712,0.9212761498162193,0.10194638188510735
Semiconductor,21,2.326641088845809,0.14634254877248398,2.384319911952418,0.18927851610369828
Semiconductor Equip,36,5.508823319120537,0.16426989857353785,5.343461048585767,0.21855020372647688
Shipbuilding & Marine,29,1.0087247447316963,0.1592718878991961,1.370070925412653,0.08751714231264635
Shoe,3,1.4598916616743103,0.06141328151351459,1.5395040190026876,0.08932201974190421
Software (Entertainment),73,2.1974274374233738,0.11151949675368604,2.2969003242751156,0.1000050607253823
Software (Internet),26,1.3603932530332001,0.02582670642355348,1.4637667213467054,0.08877786278375731
Software (System & Application),176,3.33201700412523,0.06998551435859612,2.839074027993178,0.1235294569414705
Steel,42,0.3627431693035117,0.05468342081038417,0.5860180536935468,0.06659804408492764
Telecom (Wireless),7,1.5779851473813744,-0.05122691464719975,2.6870972078739004,0.12787313915467957
Telecom. Equipment,16,0.6569331035327135,0.022495973780126004,0.44681922742773433,0.0337672821385596
Telecom. Services,20,1.183838235231406,0.0879251581016712,1.854846180462313,0.1327827521719797
Tobacco,1,2.443247501144311,0.17136987322099573,2.4948958410951323,0.24538283852974677
Transportation,33,0.4991956108910072,0.03131203587684655,0.6513747172246829,0.05242661805299043
Transportation (Railroads),20,1.2984907230615526,0.07661292594703661,2.606229525771639,0.1143481830053037
Trucking,20,0.5663924631075784,0.04260247894839229,0.646540365658439,0.057442058875093155
Total Market,4020,0.9238212106931577,0.05668340728462451,1.215995638998927,0.07101203320565108
Total Market (without financials),3821,0.9035346608167973,0.0507473932634115,1.1554983611891319,0.07216351299433202
