Industry_Name,Number_of_firms,ROE_unadjusted_,ROE_adjusted_for_R_D_
Advertising,80,0.08231264840554198,0.08168920656850086
Aerospace/Defense,6,-1.1858096241657885,-0.1686946810461221
Air Transport,6,0.14981131953657884,0.14981102127598445
Apparel,60,0.046560118415059956,0.04424998760822121
Auto & Truck,10,0.14902839341903726,0.11846423849484267
Auto Parts,104,0.06365879832276922,0.02462484211638407
Bank (Money Center),8,0.06449916433781856,0.06449916433781856
Banks (Regional),75,0.04441745467828505,0.04429431424064504
Beverage (Alcoholic),6,0.07107922879030647,0.06425140061034337
Beverage (Soft),7,0.06269485832400311,0.06111563318594484
Broadcasting,11,0.043952391164486376,0.043908807026130266
Brokerage & Investment Banking,37,0.05119231945611227,0.05106971336409893
Building Materials,61,0.06299601725762677,0.05642828418129038
Business & Consumer Services,218,0.13584748848633485,0.1309030059448731
Cable TV,1,0.06472566987588446,0.06368249487515543
Chemical (Basic),69,0.021661330828257185,0.01733662665143139
Chemical (Diversified),22,0.0221541692125094,0.014856507254018646
Chemical (Specialty),73,0.10004997897700478,0.09006521522309872
Coal & Related Energy,1,0.05393505778756192,0.053069290265392914
Computer Services,244,0.11670221527279787,0.1049203302909046
Computers/Peripherals,26,0.0666175871843656,0.04941126993860169
Construction Supplies,51,0.07338890379712866,0.06653228255475083
Diversified,15,0.12350342831046626,0.1019556255060955
Drugs (Biotechnology),30,-0.05918704848115588,-0.05455368841317385
Drugs (Pharmaceutical),41,0.06424067864804525,0.04811554972269786
Education,36,0.07524201964205428,0.07570452732880913
Electrical Equipment,53,0.07172725488842292,0.05976572052938512
Electronics (Consumer & Office),10,0.08480444620131804,0.06347901018828955
Electronics (General),137,0.0732206564217585,0.06214080729847709
Engineering/Construction,157,0.06713065569528931,0.0644239187425109
Entertainment,73,0.1367974907439788,0.12287482074460318
Environmental & Waste Services,36,0.12144630109157502,0.1194628309058218
Farming/Agriculture,11,0.09187608982462704,0.08771908278512595
Financial Svcs. (Non-bank & Insurance),47,0.20994534869658418,0.20993377439759606
Food Processing,121,0.08492164196597163,0.07889629119566986
Food Wholesalers,37,0.08261674690109076,0.08252241517613416
Furn/Home Furnishings,20,0.05451430050064395,0.04759192269838571
Green & Renewable Energy,9,0.017344359125812163,0.016722321370385533
Healthcare Products,40,0.1502973462292636,0.12338058232631091
Healthcare Support Services,47,0.06708630834636371,0.06566238713447176
Heathcare Information and Technology,36,0.13629498359265013,0.12897641367629056
Homebuilding,51,0.10993257655537889,0.10617930342687613
Hospitals/Healthcare Facilities,9,0.20888608705185835,0.20865026997884506
Hotel/Gaming,33,0.12467459479110539,0.1239916622138028
Household Products,43,0.06737004520782847,0.05809311305661652
Information Services,14,0.11405926498226913,0.11343511050348054
Insurance (General),6,0.22801437556154536,0.22776512176767666
Insurance (Life),5,0.04141116619117619,0.04141116619117619
Insurance (Prop/Cas.),7,0.11936446735170012,0.11936446735170016
Investments & Asset Management,14,0.1940488572080871,0.19374757214593397
Machinery,229,0.07034116229809599,0.06253854315837676
Metals & Mining,21,0.02204931975982245,0.01969956229231339
Office Equipment & Services,26,0.08011048488101626,0.07455829025116525
Oil/Gas (Production and Exploration),2,0.11478356981629567,0.11473339825933775
Oil/Gas Distribution,3,0.10019322369012312,0.0980778556628312
Oilfield Svcs/Equip.,19,0.04233191783808377,0.040681422727445495
Packaging & Container,30,0.0497760524343319,0.04683368716787375
Paper/Forest Products,15,0.008008490389998136,0.006888155668137806
Power,25,0.15148386247186707,0.14807510691618359
Precious Metals,2,0.07906654925147817,0.07822159590280872
Publishing & Newspapers,53,0.06262388759833461,0.05752833470589995
R.E.I.T.,54,0.0549177260679796,0.05491772606797961
Real Estate (Development),15,0.07783759431515744,0.07783759431515742
Real Estate (General/Diversified),56,0.10014149817281287,0.09971325661982718
Real Estate (Operations & Services),43,0.11053068444474842,0.11055326023650061
Recreation,51,0.12049913892939662,0.10653262419368258
Restaurant/Dining,107,0.055987542330684495,0.05579342192596076
Retail (Automotive),29,0.12692679023869846,0.12692679023869846
Retail (Building Supply),19,0.0843443458260508,0.08433759906305897
Retail (Distributors),144,0.13232685605372915,0.13216909849967096
Retail (General),42,-0.0039698732207234565,-0.003974154968741885
Retail (Grocery and Food),57,0.070127803878552,0.07012531343769723
Retail (REITs),4,0.05229702056132294,0.052297020561322946
Retail (Special Lines),131,0.10572111374577109,0.10539624382400037
Rubber& Tires,6,0.10899142816354145,0.097049326914579
Semiconductor,21,0.14354313540528918,0.11403311702517513
Semiconductor Equip,36,0.20504105614843537,0.154762238512794
Shipbuilding & Marine,29,0.14148826123457264,0.14134533230813817
Shoe,3,0.16982139376896732,0.155763475434435
Software (Entertainment),73,0.08464985659490713,0.08233698455750876
Software (Internet),26,0.07942953076754349,0.07679827350644773
Software (System & Application),176,0.0925478132310998,0.08800187979559232
Steel,42,0.11223352548263561,0.10626545253640725
Telecom (Wireless),7,-0.04854058626470028,-0.050866045675138964
Telecom. Equipment,16,0.023787401221935074,0.014429903938178367
Telecom. Services,20,0.13691932575398133,0.12391546431074854
Tobacco,1,0.12293864522361334,0.11547801659078875
Transportation,33,0.08503156913428535,0.08451242998581956
Transportation (Railroads),20,0.08039215686274509,0.07903172997907355
Trucking,20,0.06208849736735521,0.06208849736735521
Total Market,4020,0.0871489929430095,0.07864021560506897
Total Market (without financials),3821,0.08929585585196202,0.07866229624925732
