Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Advertising,80,1230.7609999999997,563.211,698.8889999999999,1.2409008346782997,0.2761944116135301,0.45761199778023526,0.4783413170478461,0.5678511100042982,0.5880622081835247
Air Transport,6,2491.5,655.654,78.67,0.11998706634901946,0.1749239999569143,0.2631563315271925,0.2591828215934176,0.0315753562111178,0.0315753562111178
Apparel,60,1013.8439999999998,283.033,209.70399999999992,0.7409171368709653,0.23484284858136018,0.2791681955014776,0.31361371675297633,0.2068405001163887,0.23384316191852544
Auto & Truck,10,60115.4,15119.699999999997,13424.810000000001,0.887901876359981,0.2325087901902541,0.2515112600099142,0.2515112600099142,0.22331731968846585,0.22331731968846585
Auto Parts,104,12513.658000000005,3602.6420000000003,3418.4520000000007,0.9488736321843804,0.2699733874127004,0.28789679244869876,0.29526140289960834,0.2731776751450295,0.2764886252268415
Bank (Money Center),8,28657.16,5689.5,6548.7,1.151015027682573,0.22005881670890348,0.19853677056623895,0.19809360034281137,0.2285188064693082,0.2285188064693082
Banks (Regional),75,10243.159999999998,2672.2910000000006,1995.328,0.7466731729441141,0.25363329360398207,0.2608854103616463,0.2610251186777677,0.1947961371295577,0.19501035388512095
Beverage (Alcoholic),6,2754.62,798.87,940.9999999999999,1.1779138032470864,0.31219876853405043,0.29001096339967036,0.29001096339967036,0.3416079168814573,0.3416079168814573
Beverage (Soft),7,1208.0200000000002,335.34,338.291,1.0088000238563846,0.25737543033707544,0.27759474180891036,0.27759474180891036,0.28003758215923574,0.28003758215923574
Broadcasting,11,1377.1100000000001,416.87,370.526,0.8888286516180104,0.3379549176684596,0.30271365395647404,0.30271365395647404,0.26906056887249385,0.26906056887249385
Brokerage & Investment Banking,37,3890.904,1267.7700000000002,866.605,0.6835664197764578,0.24179018930451315,0.32582916463629025,0.32765437631462924,0.22272587552918294,0.22371412875905206
Building Materials,61,5090.891000000001,1473.8929999999998,1998.564,1.3559763157841176,0.265712176327184,0.28951572524338065,0.33107158218629235,0.39257646647708616,0.39926873331480717
Business & Consumer Services,218,7662.117999999998,2179.396,2273.5660000000007,1.0432092194351097,0.2843289000527037,0.2844378016626735,0.28521568944245357,0.2967281370503562,0.2981566363399835
Cable TV,1,165.1,51.1,52.6,1.0293542074363993,0.30950938824954577,0.30950938824954577,0.30950938824954577,0.31859479103573596,0.31859479103573596
Chemical (Basic),69,3976.199999999999,1121.698,1631.208,1.4542309962217994,0.24880615914980206,0.28210301292691525,0.4242448263386742,0.4102429455258791,0.5172180577720099
Chemical (Diversified),22,3247.36,910.0290000000001,1317.29,1.4475252986443288,0.2896459790558144,0.2802365613914072,0.521332350040511,0.40564951221915646,0.772841170634746
Chemical (Specialty),73,12579.913999999999,3422.3779999999992,3229.1559999999995,0.9435415959312502,0.273649257956009,0.2720509854041927,0.27189889152016017,0.25669142094294123,0.2568384200897276
Coal & Related Energy,1,28.7,9.12,2.95,0.3234649122807018,0.31777003484320554,0.31777003484320554,0.31777003484320554,0.10278745644599303,0.10278745644599303
Computer Services,244,12598.260999999999,3911.6089999999995,3990.0780000000004,1.020060542861007,0.28697398908367827,0.31048801100405843,0.31316871677706465,0.31671656905663415,0.3190615647240916
Computers/Peripherals,26,6627.45,1868.6970000000001,1434.6200000000001,0.7677114053268133,0.22564187485427253,0.2819631985152661,0.3141396228765818,0.21646636338259817,0.24284903687814186
Construction Supplies,51,8440.725000000004,2317.9720000000007,2371.676000000001,1.0231685283515073,0.2982515441516434,0.27461764244185183,0.3122316148367059,0.2809801290765899,0.30342208874261567
Diversified,15,7063.168,1144.351,1793.8870000000002,1.5676020731401468,0.19015110357961254,0.16201667580326565,0.16348350648839016,0.25397767687247425,0.2579262686990352
Drugs (Pharmaceutical),41,12894.199999999997,2731.729999999999,5305.758,1.9422702829342584,0.2045175926477505,0.21185726915977723,0.2351475642645455,0.4114840781126399,0.44218924496034623
Education,36,321.34099999999995,94.059,118.357,1.2583272201490554,0.25929686370586935,0.2927077465994069,0.34407423955518673,0.36832212509452583,0.41969674404090695
Electrical Equipment,53,6003.1849999999995,1795.036,1032.864,0.5754001591054442,0.2639522540482194,0.2990139401001302,0.3019513347666023,0.17205266870836067,0.17307543429556732
Electronics (Consumer & Office),10,9878.39,1365.48,3621.2299999999996,2.6519831854000055,0.20862976355494153,0.13822900290431944,0.10993463431619267,0.3665809914368637,0.44087199697094764
Electronics (General),137,13338.143000000005,3611.346999999997,3312.89,0.9173557678063068,0.23320337285268603,0.27075335749511725,0.28774635686746663,0.24837715415106876,0.259565945572236
Engineering/Construction,157,9155.603000000001,3007.9369999999994,2969.9999999999995,0.987387701271669,0.314830273295751,0.32853510577075035,0.342282052924374,0.3243915228740258,0.3285496722302183
Entertainment,73,8485.659999999998,2428.8599999999997,2551.276,1.0504005994581822,0.24011974951891582,0.28623112403749384,0.29029654436997865,0.30065734427257285,0.30407522801089215
Environmental & Waste Services,36,1025.8709999999996,327.246,237.202,0.7248430844074488,0.3112373685394321,0.3189933237219885,0.32074303647798996,0.23122010467203,0.23198080795534903
Farming/Agriculture,11,2292.527,608.744,703.7909999999999,1.1561362411785576,0.26435789831837414,0.265534059140852,0.2666558462240582,0.3069935490399895,0.3070697630584853
Financial Svcs. (Non-bank & Insurance),47,26605.19,4159.045000000001,2678.0780000000004,0.643916572193857,0.23906785858073765,0.15632457426539714,0.15527665886495023,0.10065998401063855,0.10082650857269553
Food Processing,121,8876.983000000002,2522.164,1887.5170000000003,0.7483720329050768,0.2861801787682512,0.2841240092495389,0.2866023607005054,0.2126304623992183,0.21348925505532348
Food Wholesalers,37,826.443,244.77100000000002,186.32699999999997,0.7612298842591645,0.26750489794778987,0.2961740858111207,0.29449532049486205,0.22545656506256326,0.22597334555813875
Furn/Home Furnishings,20,700.983,210.48699999999997,202.263,0.9609287034353667,0.302999070512233,0.30027404373572536,0.30743068391866907,0.2885419475222652,0.29323040121778843
Green & Renewable Energy,9,125.254,40,67.097,1.677425,0.20162319218437663,0.319351078608268,0.6478140773597978,0.5356874830344739,0.6036997381751436
Healthcare Products,40,4892.219999999999,1394.9879999999996,2011.0169999999996,1.441601648186221,0.2941511514217935,0.2851441676784772,0.29081114863746216,0.41106430209598094,0.4161735124664745
Healthcare Support Services,47,2057.3660000000004,686.8570000000001,663.506,0.9660031127294326,0.3250145643014635,0.3338526057104083,0.33693865147551955,0.32250265630908637,0.32494682625076454
Heathcare Information and Technology,36,858.64,261.96399999999994,256.656,0.9797376738788538,0.19962211052561807,0.30509177303642965,0.32539068505651353,0.2989099040342868,0.31822171965898444
Homebuilding,51,6410.435,1893.7570000000003,1079.983,0.5702859448176296,0.2934287475028588,0.29541786165837425,0.29614177968135863,0.16847265435184974,0.1687692837568884
Hospitals/Healthcare Facilities,9,111.059,34.717000000000006,29.416,0.8473082351585677,0.32831458129030605,0.3125996092167227,0.3125996092167227,0.26486822319667924,0.26486822319667924
Hotel/Gaming,33,670.653,117.18999999999997,82.98100000000001,0.7080894274255485,0.1373062234380412,0.17474014132494742,0.15846389711775313,0.12373164661904146,0.128635362361976
Household Products,43,3082.094999999999,900.9979999999999,652.5319999999998,0.7242324622252212,0.2937851986432524,0.2923329748109647,0.31789192858117316,0.21171703013696855,0.21980506520563817
Information Services,14,381.707,105.62,121.372,1.149138420753645,0.22785692208251823,0.27670438320491897,0.27648017959787313,0.317971637931712,0.32283994456724413
Insurance (General),6,116.40899999999999,15.838000000000001,9.274999999999999,0.5856168708170222,0.23170817918403896,0.13605477239732325,0.12491987890621152,0.07967597007104261,0.09146131014012562
Insurance (Life),5,8045.63,2115.17,1652.6399999999999,0.7813272692029481,0.30685353065716103,0.26289675264708917,0.26289675264708917,0.2054084018280731,0.2054084018280731
Insurance (Prop/Cas.),7,9427.15,2656.986,1657.72,0.6239099490926938,0.33655973080241824,0.28184403557809096,0.28184403557809096,0.1758452978896061,0.1758452978896061
Investments & Asset Management,14,566.38,176.45100000000002,170.025,0.9635819575972933,0.18954701038341143,0.3115417211059713,0.3143259729604395,0.30019598149652177,0.303258659437092
Machinery,229,15060.374000000007,4023.323999999999,4746.318000000003,1.1797006654199373,0.2659503635126498,0.26714635373596946,0.27339976424314494,0.31515273126683313,0.3376718580177144
Metals & Mining,21,1333.59,377.01300000000003,661.5309999999998,1.7546636322885412,0.18186525478280233,0.2827053292241244,0.3402011188590789,0.49605275984373,0.6515492652562737
Office Equipment & Services,26,820.2099999999999,244.481,96.07499999999999,0.39297532323575246,0.24463141326413748,0.2980712256617208,0.3062670051800637,0.11713463625169164,0.12141366834196254
Oil/Gas (Production and Exploration),2,9387.599999999999,5894,82,0.013912453342382083,0.34616836542091356,0.6278495036004944,0.6278495036004944,0.00873492692487963,0.00873492692487963
Oil/Gas Distribution,3,335.88000000000005,105.19,110.27000000000001,1.0482935640269988,0.3095648215239084,0.313177325235203,0.313177325235203,0.32830177444325354,0.32830177444325354
Oilfield Svcs/Equip.,19,3233.71,966.9,1940.377,2.0068021512048815,0.28966839244391746,0.2990064044085586,0.30491635895670804,0.6000466955911321,0.6054998662854215
Packaging & Container,30,907.3069999999999,262.748,225.92200000000003,0.8598428912874695,0.26759047896555727,0.28959106454595857,0.28966383949455365,0.2490028182302132,0.25103643840761286
Paper/Forest Products,15,763.54,226.75799999999998,310.53,1.3694334929748895,0.11004276522321173,0.2969824763601121,0.6098146623343969,0.40669774995416086,0.7655347871747716
Power,25,20212.519999999997,4791.666000000001,2094.114,0.43703254776105005,0.2711725763623152,0.23706425522398997,0.2343622473899202,0.10360479544361616,0.10436900558797321
Precious Metals,2,90.69,27.841,20.62,0.7406343162961101,0.20535755974786452,0.306990847943544,0.306990847943544,0.22736795677582977,0.22736795677582977
Publishing & Newspapers,53,2080.716,553.8949999999999,584.0129999999999,1.0543749266557743,0.28567977728691024,0.2662040374563371,0.2672811348685558,0.2806788624684964,0.2815156775194008
Real Estate (Development),15,297.2199999999999,90.686,103.47699999999999,1.1410471296561762,0.2639983241911217,0.3051140569275285,0.30436992730908063,0.3481495188749075,0.35066845146313785
Real Estate (General/Diversified),56,12353.4,3794.5750000000003,3181.4589999999994,0.8384230117997402,0.29008460073701825,0.30716847183771273,0.30731499148128405,0.2575371152880988,0.2578681811771228
Real Estate (Operations & Services),43,1931.318,623.6970000000001,247.031,0.3960753378643796,0.3079667932051972,0.3229385321319431,0.2528419004405168,0.12790798822358618,0.12866077297192005
Recreation,51,5373.750999999998,1361.1459999999995,962.8360000000001,0.7073715824753557,0.25367356906378713,0.25329532388084225,0.2538698116138492,0.17917391408719913,0.1793369400540078
Restaurant/Dining,107,1482.1109999999999,461.5640000000001,292.0030000000001,0.632638160688442,0.19405028519198306,0.311423368425172,0.3911389176358969,0.19701830699589984,0.237199097352983
Retail (Automotive),29,1075.1380000000001,333.39799999999997,254.704,0.7639637910245414,0.30577694512920417,0.3100978665064391,0.310988556228085,0.23690354168488137,0.23739814968431294
Retail (Building Supply),19,1760.5750000000003,565.849,417.34299999999996,0.7375518910522064,0.37367434325858007,0.32140011075926894,0.32140011075926894,0.23704925947488742,0.23704925947488742
Retail (Distributors),144,41639.45599999998,9161.184000000001,10297.112000000003,1.1239935798691525,0.29655806955318476,0.22001209621950887,0.22009469412313282,0.2472921836442822,0.24742469781992565
Retail (General),42,3710.7290000000007,1258.342,1385.8789999999997,1.1013532092229295,0.26618554318266063,0.3391091076712958,0.8442900852189766,0.3734789040105056,0.7665056458678086
Retail (Grocery and Food),57,4514.048999999999,1128.7079999999999,1206.5589999999997,1.0689735520612949,0.29273941574281737,0.2500433646156699,0.2496361721453528,0.26728974364257013,0.2689415055752759
Retail (REITs),4,441.8,0.022,0.023,1.0454545454545454,0.00010426719578762072,4.9796287913082836e-05,4.9796287913082836e-05,5.20597555454957e-05,5.20597555454957e-05
Retail (Special Lines),131,9122.736000000004,2898.5929999999994,2741.6529999999993,0.945856489683098,0.2500359742652095,0.3177328599665712,0.32206470895573863,0.30052968758495235,0.3047110940990705
Rubber& Tires,6,4613.8,1202.83,782.89,0.6508733569997422,0.2728507599696756,0.2607026745849408,0.2607026745849408,0.16968442498591182,0.16968442498591182
Semiconductor,21,4989.7789999999995,1276.719,1421.324,1.113262981125839,0.20749421597816994,0.2558668430004616,0.25628772256198373,0.2848470844099509,0.2860377189898429
Semiconductor Equip,36,7877.860000000001,1972.0929999999998,2252.2049999999995,1.1420379262032772,0.23440372545393334,0.2503335931331605,0.25038596662307677,0.28589045756080955,0.28596955615647707
Shipbuilding & Marine,29,8656.029999999997,1191.1870000000001,1039.0389999999998,0.8722719438677552,0.2514386103679652,0.13761354801219502,0.1376445975310926,0.12003643702713601,0.12009790096629527
Shoe,3,338.26000000000005,88.21600000000001,0.696,0.007889725219914753,0.23499592535384636,0.26079347247679296,0.26388672926260387,0.0020575888369892977,0.002081215238323066
Software (Entertainment),73,2357.8220000000006,379.8550000000002,704.0840000000001,1.8535599110186773,0.25658273170800433,0.16110418852653002,0.16642204594718218,0.29861626534997127,0.3087544690604854
Software (Internet),26,313.818,117.809,31.211999999999996,0.2649373137875714,0.19159767207954143,0.3754054898061934,0.4220459652635338,0.09945892205036039,0.10924975673272802
Software (System & Application),176,2237.945,764.4829999999997,459.03999999999985,0.6004580873610008,0.21462551091186982,0.34160044147644364,0.39960248953057204,0.20511674773061886,0.24466774723280368
