Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Advertising,80,1.3842207456439675,1.2791060620585621,0.19320832165052398,7.164395062381173,6.620346634821529
Aerospace/Defense,6,0.6743189005498432,0.7551477935328271,0.07497218613183806,8.994254207341083,10.07237260235289
Air Transport,6,0.6737735768844091,0.8376526584488906,0.165402432611738,4.073540916208954,5.064330948597218
Apparel,60,0.7611949095903406,0.7445237967010849,0.17250379738232954,4.412626974832693,4.315984969600155
Auto & Truck,10,1.0437527256666363,1.4485868571394955,0.28344428494142915,3.6823911474606628,5.110658193157188
Auto Parts,104,1.244695755412516,1.1938522802251452,0.2190651862396585,5.6818510361149395,5.449758132353647
Bank (Money Center),8,-1.8843116968988958,1.0628308416655978,0.31454328442708085,-5.990627650280441,3.3789652943996935
Banks (Regional),75,-0.4937522095563943,0.6961745755310824,0.21597058863112623,-2.2862011567682208,3.2234693619330534
Beverage (Alcoholic),6,0.41828767050908805,0.5303786962375058,0.17111260668400638,2.4445169681830623,3.0995886657080507
Beverage (Soft),7,0.2673259625390606,0.2583039643063298,0.12146573607369666,2.200834335510604,2.1265582596034287
Broadcasting,11,0.5774446496193516,0.5581086228993901,0.17333872693491947,3.3313077800332227,3.2197572508360097
Brokerage & Investment Banking,37,0.16659073715267164,1.0235219962053272,0.2154561334872669,0.7732002540671087,4.750489018990104
Building Materials,61,0.8017233982213925,0.8435218884838109,0.21901689884644016,3.6605549728996336,3.851400932652377
Business & Consumer Services,218,1.4969876335034424,1.349016134267867,0.2309576961991253,6.481652952637618,5.840966360803941
Cable TV,1,0.38493075194517556,0.3810743433246519,0.07071067811865475,5.443742899753409,5.389205046021439
Chemical (Basic),69,0.8798247487277039,1.0618831942541682,0.2486577609193119,3.5382959513304804,4.270460693960578
Chemical (Diversified),22,0.7535604759216292,1.143331105510917,0.27764172375491003,2.71414708758558,4.118008957905044
Chemical (Specialty),73,1.144682394883599,1.0950993127945332,0.27340633589407964,4.186744214029701,4.005391130433735
Coal & Related Energy,1,0.6861357326642812,1.1288369751651408,0.1341640786499874,5.114153800096519,8.413854039948323
Computer Services,244,1.251855247877856,1.2381713919919006,0.2276535767909914,5.49894829470298,5.438840054459873
Computers/Peripherals,26,1.2338256049659895,1.2594537067862235,0.2516251051629377,4.903428074742528,5.005278411987846
