Industry_Name,Number_of_firms,EV_EBITDAR_D,EV_EBITDA,EV_EBIT,EV_EBIT_1_t_,EV_EBITDAR_D,EV_EBITDA,EV_EBIT,EV_EBIT_1_t_
Advertising,80,6.990486341647888,7.220972415332656,10.974606307551017,19.976983409074364,5.546992771502272,5.688518882920067,11.172511025846354,20.33722770059335
Air Transport,6,6.348480370503168,6.348488783271334,12.38372146581585,16.728722420843408,9.024899876888572,9.024916648767027,12.553182548350176,16.957641281678395
Apparel,60,9.226133317683491,10.103827993786906,18.69174763388029,26.22961628832205,8.94433770662432,9.753330664220622,18.9777227730269,26.630917349878157
Auto & Truck,10,6.064028532000745,7.830724485390651,12.384058026212587,16.482127882564665,6.579459160227348,8.712060725219086,12.384058026212587,16.482127882564665
Auto Parts,104,4.095982840441721,5.039685150164622,10.017909239431004,14.028162277096314,4.064250314889751,4.966278277048597,10.248069815854334,14.350458061445014
Beverage (Alcoholic),6,9.373501829842741,10.71310235687822,17.068699999754237,23.852536081091394,8.53525331933985,9.631956532977151,17.068699999754237,23.852536081091394
Beverage (Soft),7,7.851644940738064,8.129282136605225,14.710261290248198,20.332408440882006,7.596833447012915,7.856444669351539,14.710261290248198,20.332408440882006
Broadcasting,11,8.133674729548627,8.184393353362319,13.987136467625174,19.986016439557158,7.430122394369733,7.472423489513041,13.987136467625174,19.986016439557158
Building Materials,61,7.2830059878195295,8.458821398009423,14.317881055065918,19.53474928347962,6.763548161006034,7.762750625721053,14.35932750133339,19.591297171635166
Business & Consumer Services,218,11.318921718164631,12.720185550325795,16.657536451308566,23.319164696631045,10.960732693106161,12.250379921101514,16.879143184305292,23.629395679450063
Cable TV,1,4.9425754138223885,4.9425754138223885,9.119155990894745,13.20677766751511,4.6511791459095155,4.6511791459095155,9.119155990894745,13.20677766751511
Chemical (Basic),69,5.541479920281633,7.122999737149215,16.376132321850616,21.39198936395712,4.757825478964595,5.8769153206869955,16.39420162548377,21.41559312725957
Chemical (Diversified),22,5.050494375573368,7.325003678617253,21.00843596056975,32.78133285693276,5.1960676526700444,7.002500386970974,26.016318678673088,40.59557807722161
Chemical (Specialty),73,8.665963333322107,9.89538256815726,14.586961124829328,19.969599075301918,7.4628320602495615,8.356966670388697,14.586961124829328,19.969599075301918
Coal & Related Energy,1,7.351458659677093,7.441130298273155,15.047619047619047,22.05652025876745,12.383415628184027,12.64,15.047619047619047,22.05652025876745
Computer Services,244,8.891327483804561,9.875062291205797,15.102907252817229,21.91893281477253,8.43915130205473,9.31148500951394,15.242886328281385,22.122085221074997
Computers/Peripherals,26,4.548928710596552,6.722283666843719,11.763939177506124,15.972836934787878,4.32173721734757,6.23718748633999,11.766132666174313,15.975815209011046
Construction Supplies,51,6.297224632814709,7.3517150858241,11.702130955526146,16.070456696962253,6.4281085740308965,7.528659320285134,11.720888350192592,16.09621609923527
Diversified,15,6.887928536899473,8.26709417349279,12.540718383600938,14.847339744905131,6.391599424885987,7.562276174214779,12.540718383600938,14.847339744905131
Drugs (Pharmaceutical),41,7.165663128864269,12.458556901973141,20.554550261127172,26.20692669265952,7.0235207666708375,11.89830309581815,20.891118851633763,26.636049600551072
Education,36,6.887446149732069,7.085167023134795,13.002655343166333,18.364782184817408,7.657699911368005,7.897104017486471,13.307941071973323,18.795963798549877
Electrical Equipment,53,6.409460195216312,8.419329478470619,14.446409739577067,20.043891047812608,6.235821444371534,8.122198822436538,14.446661241842477,20.044239998458274
Electronics (Consumer & Office),10,7.348799867798175,12.607024468196256,20.236753462639662,23.707636511909303,6.642156888303378,10.661239688330982,20.236753462639662,23.707636511909303
Electronics (General),137,10.382521387475128,13.260589298705197,21.292761016492932,29.470425266099895,9.173549830654485,11.337253170123326,21.395129136617676,29.612108725160496
Engineering/Construction,157,7.32347921404921,7.974884849462862,10.511310488741278,15.689599797428118,6.993296732045286,7.5788087287872425,10.612399898729393,15.840489868477821
Entertainment,73,10.378614279212862,12.34946692825318,13.926825721354852,19.568121424658333,10.313700433060704,12.245917398834763,13.998086109193268,19.668247034749957
Environmental & Waste Services,36,8.037153114000898,8.227309424081724,11.168943747798332,16.35641303559778,7.2213100422586205,7.374452798782055,11.168943747798332,16.35641303559778
Farming/Agriculture,11,8.873323969710981,11.020602446095369,15.449418894606557,21.06351001255738,9.831544560750688,12.538364282749662,15.449418894606557,21.06351001255738
Financial Svcs. (Non-bank & Insurance),47,64.61572745424552,64.62108974689971,128.1415182960785,177.031152110347,64.76545943633059,64.77082001176761,128.77729440704147,177.90949489030336
Food Processing,121,9.41208574633195,10.412684582905209,17.50395996309425,24.44533984065899,9.286587278876858,10.253023847522018,17.606882836593076,24.589077864818133
Food Wholesalers,37,7.1853289508226785,7.195106909261674,11.259353663270284,15.998741765615712,8.071056719540433,8.083383679495515,11.27055618823368,16.014659757835542
Furn/Home Furnishings,20,6.249649335529202,8.013563786844113,12.021994411470953,17.3112649327173,5.605897736618325,6.965269837525141,12.162348858173571,17.513370584092055
Green & Renewable Energy,9,16.385746012013865,16.443101322404164,54.180283905239826,105.89448039397392,12.466837112489259,12.496342935490995,60.89707685463336,119.02234256121422
Healthcare Products,40,12.847196456408152,15.990568225698361,23.913404664177946,33.20871119974545,11.305087816412891,13.6576533192656,24.01448071121779,33.349076208513374
Healthcare Support Services,47,6.012189331616631,6.291792849921518,9.845398923791766,14.718654850979656,5.5993497436955755,5.831325877703076,10.243078156411674,15.313176557173819
Heathcare Information and Technology,36,16.12218581466583,16.92882351507941,21.063173209556997,31.175677255794145,16.2051921676381,16.98084322512021,22.08506411539455,32.68818160421624
Homebuilding,51,8.037713573839568,8.388495351078829,15.384001451779703,20.8511224139516,8.216169392035326,8.582382567021721,15.411078472193347,20.887821985842542
Hospitals/Healthcare Facilities,9,22.604966159293234,22.633274761366355,31.10941030908617,45.18475674439091,24.09250738565748,24.12466697500536,31.10941030908617,45.18475674439091
Hotel/Gaming,33,9.21791361156873,9.287074676323625,25.206088155087226,31.513539302547795,12.805087981210724,12.936036180023537,25.75964119233559,32.20561080876643
Household Products,43,13.02709594611073,15.88563813941549,27.79686313856707,39.8721744612694,11.511482718194111,13.684967257611495,27.829576130869665,39.91909839400733
Information Services,14,8.423901211003917,8.512234256765955,12.061511781123503,16.709916605593733,7.632224811389833,7.702449529269127,12.438217049468356,17.23180090444105
Insurance (General),6,0.7009190527130662,0.7029756913087565,0.6295803965426516,0.77654965659672,11.18648921024215,11.211209077918046,13.332178628769807,16.4444426680238
Insurance (Life),5,-17.478452355830502,-17.478452355830502,-19.939363737550497,-27.03838970163169,-12.547948839818487,-12.547948839818487,-19.939363737550497,-27.03838970163169
Insurance (Prop/Cas.),7,4.183666013344023,4.183666013344023,5.09957630835877,7.093603059670092,4.879070526359939,4.879070526359939,5.1106268131748696,7.108974512127014
Investments & Asset Management,14,14.88912575705373,14.88912575705373,16.461646455012875,23.27877814355628,40.61468955975147,40.61468955975147,27.69589056244675,39.16537107350407
Machinery,229,8.131462378662638,9.775211617366736,16.192912282309,22.70065137081995,7.428774835020608,8.71762502947632,16.825913099447042,23.588047696865257
Metals & Mining,21,9.071461544430566,10.050265244102263,23.587612527368396,31.828567916004534,6.39362797395348,6.863090614748999,23.669596673167078,31.939195388350928
Office Equipment & Services,26,5.135488097774482,5.841767861403085,8.289326850070234,11.921685597619048,5.178916621662728,5.883629288399344,8.4380510354672,12.135580285466908
Oil/Gas (Production and Exploration),2,2.324210616391351,2.327340310561218,3.0613692794890826,5.911890270737123,2.0680584596303024,2.070535950800143,3.0613692794890826,5.911890270737123
Oil/Gas Distribution,3,6.931666576631332,7.107345178573502,13.872720283458957,20.203294042399918,6.360863658338712,6.508492179167965,13.872720283458957,20.203294042399918
Oilfield Svcs/Equip.,19,8.527334021732532,9.028079446240413,20.64372634037277,28.223729747752223,5.774643347225283,5.9993154961882995,20.704944210317112,28.30742571371081
Packaging & Container,30,6.338492554641409,6.924789816291054,16.5206143067114,23.064115547184855,6.389682302570722,6.985933100085772,16.5206143067114,23.064115547184855
Paper/Forest Products,15,9.381530207024738,9.980275329280632,32.559793702721564,49.68384168954724,9.799964941150337,10.455176701361376,32.559793702721564,49.68384168954724
Power,25,7.498732263256105,7.646138940454155,13.685346757336333,18.366824392758666,14.642208707278465,15.209340536262042,13.81579512205819,18.54189647895805
Precious Metals,2,17.833309465845627,18.18752738425588,22.05046480743692,31.820332129538205,12.768378960319904,12.948944577311014,22.05046480743692,31.820332129538205
Publishing & Newspapers,53,6.869689010779952,7.913768549367741,15.738979790599798,21.944160477535096,6.580539662186667,7.528686495950056,15.794099358064972,22.021011242324217
R.E.I.T.,54,26.41559826703395,26.41559826703395,36.05072456728834,36.072088795838326,26.237120067750293,26.237120067750293,36.05072456728834,36.072088795838326
Real Estate (Development),15,14.66118894727405,14.66118894727405,18.819429081599548,27.26033657310295,13.32204849249776,13.32204849249776,19.25600634201189,27.89272786443282
Real Estate (General/Diversified),56,10.350691886980856,10.389362188649198,17.136204974592538,24.754674162678743,13.442874647960224,13.508037480633979,17.171901613447815,24.806240928183442
Real Estate (Operations & Services),43,8.375331374868718,8.377521842926178,12.832358488355421,16.05959851738132,14.007432400830572,14.013519975966535,12.91776197145166,16.166480323384178
Recreation,51,13.000485572701637,15.051437829040857,20.276459368742284,27.060034221697656,12.69015630438258,14.636602072877412,20.280330991143057,27.06520111167352
Restaurant/Dining,107,14.568499397662368,14.57876203291849,36.64844398769724,54.15457964099562,18.708395816329972,18.725034762637346,37.283126874560764,55.09243623744392
Retail (Automotive),29,7.585816708911644,7.585816708911644,10.24231375454283,14.847955217618168,7.151483158129197,7.151483158129197,10.289797715977535,14.916791200369127
Retail (Building Supply),19,10.351575618323848,10.352281466162442,18.405203998004286,27.124546943811662,10.865567639083151,10.86634532544152,18.405203998004286,27.124546943811662
Retail (Distributors),144,12.239141054108536,12.265371515967693,16.488774469522866,21.43633516564888,10.221291486198332,10.23957198392683,16.49537635246023,21.444917985168388
Retail (General),42,9.363072693704442,9.474759846919206,32.580381457081856,70.50619021326663,12.433844129059802,12.631123591513582,32.654144296443675,70.66581807979625
Retail (Grocery and Food),57,6.76490352141177,6.765713554315693,15.17431898108672,19.57566921078294,7.316906689049505,7.317852162585919,15.208921777307356,19.620308637002168
Retail (REITs),4,22.642949547218624,22.642949547218624,32.28673908587825,32.288303716578035,22.633189655172412,22.633189655172412,32.28673908587825,32.288303716578035
Retail (Special Lines),131,11.954678370353326,11.983665381908079,16.960290233657968,25.051243351299764,12.899072990698054,12.932613952211694,17.067835918686466,25.210094001254124
Rubber& Tires,6,4.792035606482392,5.473107113823527,9.0368695070953,12.243454837057905,4.876900078304905,5.584088008329793,9.0368695070953,12.243454837057905
Semiconductor,21,6.243189744597441,9.163281342847068,12.5682466661337,16.816749868797217,5.461118528153164,7.565132056332148,12.59688611805337,16.85507044859697
Semiconductor Equip,36,17.172221954496223,20.91767239092384,23.784902192483745,31.74105976623984,13.88465365129565,16.16075038254632,24.4495816406252,32.62807750203344
Shipbuilding & Marine,29,8.970893087861077,9.0034546112592,15.654886450910496,18.57871206646342,7.9300070890745555,7.955440091929615,15.654886450910496,18.57871206646342
Shoe,3,11.624989189546847,12.619155190024255,17.208270554063223,23.353383553077183,14.492217714325376,16.06780474057571,17.235436720431103,23.390250819945322
Software (Entertainment),73,11.67171877732604,12.73365741153465,22.660217236581865,28.004367717109414,11.727113487210541,12.78395988048946,22.96784090339679,28.38454087229273
