Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Local_Currency_
Advertising,80,1.2791060620585621,0.11081367129389705,0.7405187279064733,0.28880882805506164,0.058554999999999996,0.2761944116135301,0.040625458999999996,0.25948127209352667,0.09260114468190614,0.06608169942263653
Aerospace/Defense,6,0.7551477935328271,0.08131482077589816,0.7436614474542872,0.6196670995669483,0.061224,0,0.0424772112,0.2563385525457128,0.07135924415287691,0.04535537900353526
Air Transport,6,0.8376526584488906,0.08595984467067255,0.532941717272053,0.15583370303453475,0.052743,0.1749239999569143,0.0365930934,0.467058282727947,0.06290269459833453,0.03710408550614197
Apparel,60,0.7445237967010849,0.08071668975427108,0.7709062978961922,0.17952137316169342,0.052743,0.23484284858136018,0.0365930934,0.22909370210380775,0.07060825171533705,0.04462261453778016
Auto & Truck,10,1.4485868571394955,0.1203554400569536,0.5149440569615977,0.21406224490512202,0.052743,0.2325087901902541,0.0365930934,0.48505594303840227,0.0797260160081554,0.05351907387203503
Auto Parts,104,1.1938522802251452,0.10601388337667568,0.7528678160343351,0.20237318834776644,0.052743,0.2699733874127004,0.0365930934,0.24713218396566494,0.08885777193711808,0.06242918523961527
Bank (Money Center),8,1.0628308416655978,0.09863737638577316,0.1341457921334429,0.15624539135737073,0.052743,0.22005881670890348,0.0365930934,0.8658542078665571,0.044916072888478036,0.01955403228438879
Banks (Regional),75,0.6961745755310824,0.07799462860239995,0.1635864053606203,0.16817272487177418,0.052743,0.25363329360398207,0.0365930934,0.8364135946393797,0.04336582172017179,0.01804140857162384
Beverage (Alcoholic),6,0.5303786962375058,0.06866032059817158,0.6789566978029089,0.12707328404651796,0.052743,0.31219876853405043,0.0365930934,0.3210433021970911,0.0583653520861662,0.03267687266659891
Beverage (Soft),7,0.2583039643063298,0.05334251319044637,0.8637774314174133,0.15936070714407516,0.052743,0.25737543033707544,0.0365930934,0.13622256858258674,0.05106086420432375,0.02554967817994691
Broadcasting,11,0.5581086228993901,0.07022151546923566,0.7947060377596729,0.11960713829091961,0.052743,0.3379549176684596,0.0365930934,0.20529396224032714,0.06331780345875221,0.03750911890878239
Brokerage & Investment Banking,37,1.0235219962053272,0.09642428838635993,0.09426244199806388,0.20316578395322846,0.052743,0.24179018930451315,0.0365930934,0.9057375580019361,0.0422329279470766,0.016936012220205576
Building Materials,61,0.8435218884838109,0.08629028232163856,0.7801822114584877,0.17017550903641812,0.052743,0.265712176327184,0.0365930934,0.21981778854151235,0.07536595615615423,0.04926484071547077
Business & Consumer Services,218,1.349016134267867,0.11474960835928091,0.9242066352655807,0.25997752543385966,0.058554999999999996,0.2843289000527037,0.040625458999999996,0.07579336473441933,0.10913148967126436,0.08221082244623346
Cable TV,1,0.3810743433246519,0.060254485529177906,0.7418156194822958,0.15782623356083741,0.052743,0.30950938824954577,0.0365930934,0.2581843805177042,0.05414548366011962,0.028559428231475836
Chemical (Basic),69,1.0618831942541682,0.09858402383650967,0.6262115645255559,0.18015244303339079,0.052743,0.24880615914980206,0.0365930934,0.37378843547444407,0.07541253093504163,0.04931028503856005
Chemical (Diversified),22,1.143331105510917,0.10316954124026463,0.48592506290445214,0.1699549076681745,0.052743,0.2896459790558144,0.0365930934,0.5140749370955479,0.06894425800473557,0.04299900902403797
