Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Advertising,80,0.53864694059272,0.020584167804789572,0.4588397165937146,0.04294830250955105
Aerospace/Defense,6,0.25450205761316874,0.8614062316284539,0.180870076425632,0.6818553791887124
Air Transport,6,0.1088783783254243,0.02719028343253929,0.10300909507705931,-0.15759393870521526
Apparel,60,0.15782953964587276,0.24372350261307726,0.10465421067185832,0.26327731022019113
Auto & Truck,10,0.26544482313627166,0.13547153574867393,0.1214440082289167,0.20474640761146282
Auto Parts,104,0.18766604964268102,0.1452997626579696,0.1521094385081732,0.15852188476342502
Beverage (Alcoholic),6,0.18589390398349676,0.13237064407045213,0.17952866524787509,0.04445639827133731
Beverage (Soft),7,0.19437994295504643,0.08516340286402978,0.20792787397090803,0.0651387586586091
Broadcasting,11,0.19015808261091283,0.07557630946310193,0.0658315728127049,0.15818430829751587
Brokerage & Investment Banking,37,3.1015191775447053,0.03621878887369865,1.1076573642510654,-4.679239689837374
Building Materials,61,0.20283955627705622,0.20658610660173157,0.12624314574314574,0.20596153499278488
Business & Consumer Services,218,0.1414970168319477,0.018492835747457876,0.06418282764878412,0.034038531898679524
Cable TV,1,0.8212128533462189,0.030804542159942015,0.0010594346460497705,0.8242606909881616
Chemical (Basic),69,0.23179035451398258,0.24161843670316058,0.11862537953782838,0.3213508126574679
Chemical (Diversified),22,0.21322401969518248,0.24317359825937457,0.1392820310071672,0.25016654550089157
Chemical (Specialty),73,0.24083113193492972,0.20827281673384526,0.13212984508729714,0.2692141584713101
Coal & Related Energy,1,0.11438656744896013,0.25825224193856133,0.14128983018507918,0.17757107422247662
Computer Services,244,0.21483926982890034,0.08044729335622966,0.12788382061234713,0.15260923206156674
Computers/Peripherals,26,0.19704790270901165,0.21423894901987178,0.10206968927403204,0.24391605818515466
Construction Supplies,51,0.2974486265879123,0.26636455572499523,0.16227860344822412,0.34336232386151433
Diversified,15,0.280689953019283,0.18324095709643237,0.15401025580797043,0.1457604722282857
Drugs (Biotechnology),30,0.15138797350059396,0.1409174895144914,0.05673559957877672,0.21171345330317726
Drugs (Pharmaceutical),41,0.2584739434689647,0.22909675954821065,0.12580519046902294,0.18137517570649095
Education,36,0.05914662443435791,0.0365204234962072,0.016850139135445294,-0.08098355734743834
Electrical Equipment,53,0.24620449376510747,0.2466410590054973,0.14356508192294049,0.2741193702390174
Electronics (Consumer & Office),10,0.17132076286511666,0.16991544713691661,0.16531023409333148,0.06602800674887435
Electronics (General),137,0.23607347004020773,0.240391794684158,0.10939028269934208,0.31327434577231117
Engineering/Construction,157,0.36591535867783265,0.07527306091171505,0.19761937916484065,0.19513489947429835
Entertainment,73,0.12181855430542347,0.11290756744664882,0.08171915624065548,0.0825105800902561
Environmental & Waste Services,36,0.14333163115299505,0.051688949754731275,0.05158573572876529,0.11571143400956314
Farming/Agriculture,11,0.44924460908042757,0.23990491882459258,0.11597768844847464,0.45974069832663367
Food Processing,121,0.14700059498085008,0.14195084227183405,0.09564351580074554,0.17159454867823584
Food Wholesalers,37,0.15429493292428398,0.058583375471294726,0.18308675555796888,0.027104982064499863
Furn/Home Furnishings,20,0.23645266897429593,0.2065427052771458,0.12645564317646393,0.2706388100713659
Green & Renewable Energy,9,0.11358059100289992,0.1787886630434061,0.052169311115977515,0.2594526620347328
Healthcare Products,40,0.22318679379490491,0.25081153077564833,0.09819183466960607,0.29888194114145994
Healthcare Support Services,47,0.22840577922765357,0.0580578381157046,0.27945101048079823,0.009770149315632075
Heathcare Information and Technology,36,0.19915089074865253,0.04219315714857029,0.08837259635732536,0.08454876625216493
Homebuilding,51,0.07110268761198914,0.5282846730732574,0.08987238738155752,0.4745785173651358
Hospitals/Healthcare Facilities,9,0.16848307925181102,0.002135365985511947,0.025117309979457242,0.11934695642772192
Hotel/Gaming,33,0.15078774042067433,0.08193691906205218,0.049386840176304056,0.006794493849252103
Household Products,43,0.15747239060439655,0.16286971972594125,0.14234634161798004,0.12233498343801873
Information Services,14,0.1538879485089754,0.010250976950243455,0.03725471757256599,0.11556349654149164
Insurance (General),6,0.03080577110317765,0.00012195241888688914,0.20886810452502483,-0.14189163937489552
Insurance (Prop/Cas.),7,0.0005821239912388583,1.5142920726391684e-06,0.5682897200483905,-0.4444123208157434
Investments & Asset Management,14,1.1171282331263221,0.5515348392820582,0.014670033440251144,1.5327864601105574
Machinery,229,0.2483645872702798,0.29130260678499864,0.1530885362006881,0.2974461845560242
Metals & Mining,21,0.1648796513399303,0.2765895251846847,0.09860288695483224,0.29450984028578114
Office Equipment & Services,26,0.20962475709490688,0.1537801747877502,0.1351002275773919,0.19117384210909136
Oil/Gas (Production and Exploration),2,0.09580972778775736,0.036168301782506566,0.015188153470590942,0.08258486481507071
Oil/Gas Distribution,3,0.17136043135628373,0.08060172925374087,0.10445075455444598,0.12138595539673931
Oilfield Svcs/Equip.,19,0.11421026130239045,0.15147854185025153,0.12234531460931794,0.13705963976519722
Packaging & Container,30,0.2891962242827898,0.14426092836697454,0.15463604531601713,0.23430043630098296
Paper/Forest Products,15,0.2114551052440938,0.19144363504648448,0.14206067801612535,0.21603137870433717
Power,25,0.08847879640475961,0.04997885376841088,0.048241941677042224,0.07456449981647867
Precious Metals,2,0.580516795865633,0.10162421557770396,0.06875230712440014,0.6468327796234773
Publishing & Newspapers,53,0.21827999636460357,0.0978283518154929,0.1337446321099066,0.12173769946230877
R.E.I.T.,54,0.021374757324391105,8.824567596187787e-07,0.05425410342393224,0.1359245940698905
Real Estate (Development),15,0.021225439884498088,1.0248461693340472,0.05101236047202566,0.9666210781160225
Real Estate (General/Diversified),56,0.11908659041915755,0.6299401326277276,0.0451821979040403,0.6480566072621685
Real Estate (Operations & Services),43,0.07885357387028995,0.29984028873346324,0.022931307446276725,0.2775239462467852
Recreation,51,0.1159822536325689,0.17465523227179877,0.07645045738476569,0.16391617707612854
Restaurant/Dining,107,0.04865960374522016,0.030643010501346865,0.047460174113094125,-0.00489760799994723
Retail (Automotive),29,0.06220555216595485,0.1553636363636364,0.06901122635753507,0.11624575960951808
Retail (Building Supply),19,0.0376528690338764,0.22558608837544375,0.09904698254537249,0.14039626604636635
Retail (Distributors),144,0.2178297407259107,0.10633364784212324,0.17294236899826124,0.15159347176199908
Retail (General),42,0.34591916268546685,0.06995066204792763,0.1312863125685521,-0.30293112465670213
