Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_
Advertising,57,22.458333333333332,77002.77500000001,11509.723999999998,95535.72123777104,11458.37198839469,25999.683237770998,42281.556000000004,11886.503999999999,7099.245,4212.3003524458,374.5379999999997
Aerospace/Defense,70,53.82539682539682,788306.4130000002,145775.301,960283.3679021292,164231.158307403,200683.66790212897,387474.417,66936.16500000001,48918.45400000002,33151.49021957421,19229.92500000001
Air Transport,25,37.285714285714285,88624.38,29166.652,207454.69230980042,138577.61810525495,143705.2763098004,229031.32,59082.3,31534.786000000004,15323.56493803992,6398.1
Apparel,38,53.44444444444444,61452.685000000005,24506.865999999995,86029.44670941676,39652.06570941677,29965.85470941677,71608.83400000002,37186.926,10679.594000000001,6876.512858116647,2255.6539999999995
Auto & Truck,34,27.612903225806452,937020.1220000002,175725.584,1162735.4756753761,426800.93367537623,290658.1626753761,466503.36799999996,58094.939,42866.394,22799.058264924763,16467.083000000006
Auto Parts,39,46.05263157894737,60935.66000000002,27180.346000000005,78524.834526427,38998.524163581606,23423.352526427,96159.63000000002,14434.319000000001,9316.315,5172.379094714601,1555.6979999999996
Bank (Money Center),15,126.33333333333333,1229927.1600000001,964162.6,2444930.1250680974,2188186.0010680966,2658637.0450680964,464296.60000000003,464296.60000000003,6378.161999999999,377.01298638055187,143409.88
Banks (Regional),625,82.79647435897436,543210.1779999996,469738.44999999984,859975.1649037935,724647.3594063099,553781.4219037938,192226.63700000013,190999.49700000012,2682.0009999999984,-339.48918075874394,57038.42399999996
Beverage (Alcoholic),19,51,92924.624,28920.289999999997,114000.75236950426,35430.12936950426,22733.856369504265,29293.539999999997,13255.43,7593.683000000001,6078.715126099146,2515.801999999999
Beverage (Soft),29,38.13636363636363,627695.0429999998,76558.174,709344.2366012657,107192.43409318893,107446.76460126587,170326.05099999998,92856.95599999998,39176.76,33030.895479746825,23394.151999999995
Broadcasting,22,50.73684210526316,36252.770999999986,47695.01,91570.62800173332,64747.30300173334,63950.57700173333,73063.50000000001,28180.170000000002,12513.536000000002,8571.213599653334,-1028.55
Brokerage & Investment Banking,27,52.30769230769231,520027.38700000005,272407.91399999993,1279558.5079704334,1028314.9849704336,1175572.134970433,228095.31600000002,141545.70600000003,4252.349,1510.7934059132804,28366.138
Building Materials,44,55.04651162790697,241657.916,48590.01999999999,273913.6073893718,50861.790104169086,43858.5333893718,129759.28199999999,40143.880999999994,22537.011000000002,17775.86632212564,10376.228999999998
Business & Consumer Services,162,38.861111111111114,587438.6640000003,97425.43199999997,671394.0725967736,94980.73937810691,105382.26559677397,250333.47400000002,83856.79399999995,40493.68900000001,28214.89668064521,13637.17100000001
Cable TV,10,23.88888888888889,284186.32000000007,121752.6,564400.2278802685,301645.70788026846,289070.50788026844,221630.19999999998,130870.59999999999,72350.64,42280.31842394631,23701.300000000003
Chemical (Basic),32,42.44827586206897,109276.376,51211.74500000002,148607.02657864027,79702.63176108604,49913.41357864023,129223.66200000003,17763.206,17806.306999999997,10365.69308427195,4555.082000000002
Chemical (Diversified),4,36,9759.91,5585.68,15150.514334856472,9592.321334856473,6785.917334856474,13064.009999999998,2374.6200000000003,981.42,205.6645330287052,-131.85
Chemical (Specialty),68,64.01538461538462,480676.34500000003,160635.70800000004,588248.872985551,191621.3448447383,128923.33398555113,219566.17299999998,72742.11100000002,43910.24700000001,29103.66500288978,24004.232999999993
Coal & Related Energy,18,53.0625,12890.308000000003,5650.719999999999,13816.534683112173,8043.652532823288,2906.0216831121743,10394.125,3596.033,3016.3169999999996,2144.101863377565,1642.62
Computer Services,72,31.62295081967213,328595.43200000003,68954.557,404460.76722757576,64583.55837987288,95760.25622757588,294320.10199999996,75117.57699999996,31813.946999999993,21385.66635448482,12944.542999999998
Computers/Peripherals,36,42.47222222222222,3173159.8369999994,84323.97,3314657.9422003394,187281.31534380926,193293.13420033955,601382.4330000001,225741.22,149389.81399999998,126596.01855993213,105048.41600000001
Construction Supplies,45,60.36363636363637,369334.9799999999,77508.63399999998,442440.8451186069,136683.26011860682,91231.18611860684,206703.245,51557.274999999994,38805.229,31447.548776278643,21014.309999999994
Diversified,23,43.1,1126322.7170000002,527487.484,1283598.7538386756,621130.7418386753,215723.25983867538,528548.95,149164.861,143351.943,121951.60703226493,83700.18899999998
Drugs (Biotechnology),572,13.234939759036145,1218078.9190000002,193793.14100000015,1302240.6787933803,216313.90795418137,199648.11479338043,189058.04099999988,106577.251,24890.75500000001,1742.3636413239124,-22460.703000000012
Drugs (Pharmaceutical),245,17.482758620689655,1651920.1909999996,321589.95500000013,1861455.3784955007,364724.08973632817,265101.6424955001,366483.0660000003,239163.46800000002,104289.74600000003,66532.18770090002,55701.979000000014
Education,31,34.58620689655172,40723.70199999999,15229.701999999997,45367.68749572558,11529.020693181561,7979.020495725578,19691.933,8709.254999999997,2495.0689999999995,998.5669008548842,255.05
Electrical Equipment,103,33.70652173913044,246278.649,60196.40200000002,279033.6848598391,69924.60789274507,52674.297859839106,93770.20499999997,30496.940000000006,13645.999000000002,8644.80842803217,14268.495
Electronics (Consumer & Office),13,35.61538461538461,5288.128000000001,2969.9099999999994,5468.249666410444,2031.1476664104437,969.0476664104436,6463.090999999999,2091.185,195.22899999999998,-2.7183332820887505,-196.81
Electronics (General),129,39.15573770491803,269499.1279999999,72980.08699999998,297860.8621360993,66341.67523831947,46346.716136099414,136820.96000000014,37440.255,20098.71,13116.491372780118,6420.539999999999
Engineering/Construction,43,51,127016.23300000002,35451.971,152363.52266879528,43736.94966879535,33284.218668795336,136486.43000000002,18906.498000000007,10766.930999999999,6472.216866240931,2272.9679999999994
Entertainment,98,24.7875,602730.4270000001,197999.35199999996,733366.8515377477,206365.66807106923,173257.64453774755,239082.06799999997,91057.54399999998,40101.652,16091.141292450495,-540.0540000000011
Environmental & Waste Services,57,36.204081632653065,203179.78899999996,27942.295000000006,245587.91613806767,33584.18642975343,44591.084138067694,72586.38100000002,25147.858,16003.036,10021.184772386463,5871.133
Farming/Agriculture,42,50.026315789473685,205847.19300000003,67383.326,287798.78998544876,148323.48498544877,93255.12198544874,260325.02500000002,42917.819,31313.178999999996,26986.544402910255,18538.566000000006
Financial Svcs. (Non-bank & Insurance),172,35.19496855345912,2290934.7339999997,363673.4759999999,10106418.461733887,8198831.402435508,8111276.291733881,526801.4700000001,347657.83,103085.63199999998,80206.32685322383,81321.53299999997
Food Processing,82,53.753246753246756,406262.08499999985,170785.63100000002,529627.0599474707,169565.71891098007,136926.2549474707,287380.166,70486.57199999999,41671.73999999998,31373.112410505837,17252.246999999996
Food Wholesalers,14,45.27272727272727,64098.604,13084.639999999998,91250.66446207123,29240.799462071223,28610.25046207122,227848.40000000002,33847.7,8105.781999999999,5054.507907585756,2762.7400000000002
Furn/Home Furnishings,31,65.63333333333334,45303.683,20731.89,63343.804086783086,28253.278086783073,21541.603086783074,60445.679999999986,15742.579,6219.741999999999,3689.6153826433842,-1353.0209999999997
Green & Renewable Energy,17,21.166666666666668,23311.798,10401.4,54354.15621494128,57751.56921494128,32964.35321494128,7274.4130000000005,4485.785,4204.428,1583.1013570117445,1110.36
Healthcare Products,230,25.382075471698112,1050360.2549999994,218029.299,1141634.0060547118,175743.51313973693,133007.31705471186,221201.21699999992,123074.651,47150.65200000003,29635.99458905761,18109.07299999999
Healthcare Support Services,119,28.918367346938776,1172283.0459999999,321931.98400000005,1359335.1278580544,189878.44922340882,314918.3168580551,2230352.5379999997,320459.4619999998,114747.873,86204.72922838898,50286.77400000001
Heathcare Information and Technology,128,22.776785714285715,738408.3160000001,171575.33200000005,821060.925284837,123028.59595086362,118661.63228483697,155242.41099999996,74003.267,34169.073000000004,21790.95854303259,8883.584000000004
Homebuilding,32,31.65625,215644.84100000001,91679.47,226159.2308383326,110531.16383833265,35408.74183833264,170976.39999999997,42850.372,28970.337,27875.561632333476,20979.152999999995
Hospitals/Healthcare Facilities,32,25.233333333333334,122470.973,11469.825000000003,216360.12943388568,87395.24268778635,97662.13543388566,138712.903,49920.916000000005,24233.965,16018.714313222865,7107.354999999999
Hotel/Gaming,68,33.220338983050844,586730.3379999999,54485.20200000001,819021.9244678594,222148.01450515277,285558.88546785933,193838.55200000003,115370.498,52363.35400000001,25946.399506428123,19543.351
Household Products,93,42.353658536585364,650300.6159999999,88515.31300000002,735763.2897524642,99815.21822251934,107660.48975246462,215472.30899999995,104939.353,45619.29299999999,36587.74384950707,23883.999000000007
Information Services,18,22.875,65010.937000000005,14870.949999999999,83851.15135303125,14349.278353031254,23187.118353031256,35942.373,11760.109,6897.5,4398.624329393749,1253.4599999999998
Insurance (General),21,48.666666666666664,231312.81299999997,69638.75,281630.0232731427,91322.27327314275,59985.37227314275,106019.7,35972.11999999999,24000.224000000002,16187.539545371446,9418.429999999998
Insurance (Life),23,81.54545454545455,210042.35000000003,117535.5,338562.5707689792,251137.41049188672,193756.1907689791,216287.8,44322.7,6366.105000000001,277.9930462041739,1556.1849999999995
Insurance (Prop/Cas.),50,63.46938775510204,379832.74700000003,154134.4,433163.87152041605,195642.71212929557,73619.93352041615,319027.6999999999,74763.91999999998,29490.48599999999,23900.68769591677,15963.519999999997
Investments & Asset Management,334,10.310344827586206,588140.1799999997,196474.44499999998,740089.0503890666,372380.89056558814,237233.6923890666,136662.40300000005,91408.51700000002,19843.272999999994,20092.553722186676,27081.320000000003
Machinery,103,68.2,505755.6640000001,96084.68400000004,574179.7115230256,97347.07202182511,85294.34152302578,187034.12600000002,66472.23200000002,36071.301000000014,27953.442495394855,18277.859000000004
Metals & Mining,68,36.233333333333334,145572.12500000006,32171.738,159039.40924593274,57931.05324593273,23029.952245932745,54133.436,16852.902000000006,15022.284999999998,10583.191150813449,3913.9799999999987
Office Equipment & Services,17,69.11764705882354,15265.460999999998,5611.72,21716.803586834594,9183.129586834586,8025.239586834586,18543.899999999998,6550.66,2318.6000000000004,1390.1670826330826,149.485
Oil/Gas (Integrated),4,112,733143.9,364041.3,785247.8799401321,450885.6799401322,91662.57994013223,582752,217563.8,125878.8,91961.88401197355,72268.8
Oil/Gas (Production and Exploration),166,34.138888888888886,581376.8179999997,236892.34000000003,690765.9542172947,402562.49951785407,135348.10121729408,260665.97399999993,153151.65199999997,146802.59900000002,98229.22075654114,73661.199
Oil/Gas Distribution,24,26.458333333333332,221897.53999999995,57495.83000000001,369749.86366920755,216137.09766920755,155813.88266920758,103363.17000000001,54686.075,50074.534,39497.29786615849,24381.729999999996
Oilfield Svcs/Equip.,100,35.77894736842105,385868.69500000007,157516.11599999998,471858.9548792854,239454.04932286072,124018.24587928543,751082.756,105856.54499999997,86342.137,66323.39182414292,46698.66699999998
Packaging & Container,22,80.19047619047619,132627.167,49084.58099999999,205727.34417167757,86259.32917167754,81247.63917167754,146995.2,31917.629999999997,23820.873999999996,14660.644165664493,4193.327999999999
Paper/Forest Products,7,78.16666666666667,7835.423,2510.5099999999998,10246.547797679239,5389.3267976792395,2928.06479767924,9852.650000000001,1990.45,1444.153,992.7560404641521,380.73
Power,50,73.84,752584.3899999999,381419.98000000004,1432886.9501907039,1048963.0801907033,699330.9741907031,385663.07000000007,144286.34999999998,119290.67399999997,62815.75416185935,32814.94700000001
Precious Metals,61,30.574074074074073,73376.948,36643.35099999999,79433.79170497728,40077.05070497728,11157.721704977273,20080.325,6519.500999999999,5640.025000000001,1919.5428590045462,-855.3280000000002
Publishing & Newspapers,21,74.23809523809524,30883.835,14307.164000000002,38422.14062540785,12870.183539892943,10029.706625407847,26649.639,12255.456999999997,3600.666,2021.8480749184312,485.9839999999999
