Industry_Name,Number_of_firms,Number_of_Employees,Market_Capitalization_millions_,Revenues_millions_,Mkt_Cap_per_Employee_,Revenues_per_Employee_,Stock_based_Compensation_millions_,Stock_based_Compensation_as_of_Revenue
Advertising,57,216830,12896.491999999998,9743.832,59477.43393441866,44937.65622838168,1117.6710000000003,0.026434008247000186
Aerospace/Defense,70,947644,103280.13999999998,27906.524,108986.22267433761,29448.32025528574,4531.924,0.011696059923357469
Air Transport,25,506289,51013.799999999996,161374.69999999998,100760.23772983413,318740.28469905525,739.4839999999999,0.003228746181963235
Apparel,38,252386,1.29,0.004,5.111218530346374,0.015848739628981007,594.6640000000001,0.008304338540130397
Auto & Truck,34,531029,621.06,80.61999999999999,1169.540646556026,151.81845059309376,4505.008999999999,0.00965696993638854
Auto Parts,39,436524,6642.5,17785.6,15216.803657989023,40743.6933593571,821.342,0.008541443015119752
Bank (Money Center),15,1190406,1072415.76,408389.2,900882.3544236168,343067.1552394729,9390.64,0.02022551963550885
Banks (Regional),625,518969,179024.88999999998,62156.5,344962.58928760677,119769.19623330103,2915.0779999999995,0.015164797374049662
Beverage (Alcoholic),19,37957,2.01,10.8,52.954659219643275,284.5324972995758,168.00600000000003,0.005735257671145244
Beverage (Soft),29,458401,86.58999999999999,14.542000000000002,188.89574848222404,31.723316484911685,902.0470000000001,0.005296001373272021
Broadcasting,22,102849,0,0,0,0,562.86,0.0077037097866923965
Brokerage & Investment Banking,27,150489,478017.9,211359.40000000002,3176430.8354763472,1404484.0486680092,7742.186,0.03394276627758546
Building Materials,44,324173,16742.9,8388.1,51648.03978122793,25875.381355017227,825.523,0.006361957212432788
Business & Consumer Services,162,1679696,97524.04000000001,73664.898,58060.5300006668,43856.08943523114,3459.5010000000007,0.013819570130680968
Cable TV,10,323413,0,0,0,0,2524.6000000000004,0.011391046888014362
Chemical (Basic),32,113604,4643.8,3990.2,40877.08179289462,35123.763247772964,546.917,0.004232328596290669
Chemical (Diversified),4,14200,0,0,0,0,46.226,0.003538423500900566
Chemical (Specialty),68,410450,81232.5,24472,197910.82957729322,59622.36569618711,1710.8020000000004,0.007791737573346513
Coal & Related Energy,18,10823,1276.6,59,117952.5085466137,5451.3535988173335,122.315,0.011767705314300145
Computer Services,72,1100730,88669.51599999999,67591.77999999998,80555.19155469551,61406.32125952775,2418.9010000000003,0.008218606148757045
Computers/Peripherals,36,544723,3060863.4,479743.5,5619119.075199689,880710.9301424761,13937.414999999997,0.023175627080546924
