Industry_Name,Number_of_firms,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Quarter_12,Quarter_23,Quarter_34,Quarter_45,12_31_18,12_31_19,12_31_20,12_31_21,12_31_22,12_31_23,2019,2020_0,2021_0,2022_0,2023_0
Advertising,57,74079.56999999999,83565.66299999999,74254.96899999998,74556.49100000002,0.20033865690722585,0.1280527546258705,-0.1114177003537925,0.0064379558358671485,35332.10800000001,49030.42500000002,80326.09900000002,99486.94999999998,61715.55799999999,77002.77500000001,0.38770166218217184,0.6382908979475497,0.23853829874148325,-0.3796617747352793,0.24770442811195226
Aerospace/Defense,70,734802.7159999999,742607.5579999998,667030.5539999998,691161.2420000001,-0.004215747092648048,0.010621683657467518,-0.10177246809007034,-0.0593920967488637,543530.4020000001,711893.834,603965.5590000001,665657.6800000003,737913.5730000002,788306.4130000002,0.30975899670097906,-0.15160726198957342,0.10214509764786128,0.10854812491609778,0.06829097856965416
Air Transport,25,85726.08,109394.84999999999,81331.04700000002,75296.627,0.06654258558515425,0.2760976589621267,-0.2565367839528092,-0.12166021122160264,119514.03000000001,125113.55999999998,97458,107154.66,80377.54999999999,88624.38,0.04685249087492038,-0.22104366625008498,0.09949578279874416,-0.24989216521241364,0.10260116164277244
Apparel,38,61813.383,56645.378999999986,50235.075000000004,47855.054,0.034144474138710246,-0.0836065549106092,-0.11316552405801683,-0.22581402800749484,80241.71,105003.889,94626.77500000001,107049.77,59772.483,61452.685000000005,0.30859485671479314,-0.09882599681617499,0.13128414235822783,-0.4416383799797048,0.02810995822274953
Auto & Truck,34,803525.675,993068.4379999997,940989.7529999999,930304.297,0.5166388825162314,0.235888869388025,-0.0524421913004145,0.15777793534724327,146157.71,176571.53,785170.0480000001,1426646.912,529806.8539999999,937020.1220000002,0.2080890566772018,3.446753380910275,0.8169910016740729,-0.6286349134157732,0.7686070214561631
Auto Parts,39,61518.240000000005,65982.387,61646.82000000002,58858.932,0.14930423442920038,0.07256623401449702,-0.06570794415182313,-0.04322795970755999,41744.38999999999,48207.962999999996,104836.10200000001,83930.28900000002,53526.50600000001,60935.66000000002,0.1548369253928492,1.1746635924027742,-0.1994142533075104,-0.36225042666063023,0.13842028097257097
Bank (Money Center),15,1000856.2999999998,1055404.0999999999,1021332.53,1020413.63,-0.09558900338574816,0.054501130681797294,-0.03228296156893817,0.01954059738645819,1085616.3,1384177.7,1091633,1423843.9000000001,1106638.8,1229927.1600000001,0.27501558331428866,-0.21134909195546203,0.3043247135255165,-0.22278081185725496,0.11140794991102787
Banks (Regional),625,471990.824,436694.7820000002,432047.1199999999,423073.0170000001,-0.20279288969721532,-0.07478120379730058,-0.010642815512277637,-0.10364143646995971,411065.59499999974,541588.8400000003,491083.1640000005,667421.5610000002,592055.4619999998,543210.1779999996,0.31752412896535565,-0.09325464682765583,0.35908051818286224,-0.1129212830449755,-0.08250119648419063
Beverage (Alcoholic),19,92152.25399999999,99460.591,96020.68299999999,88827.20100000002,-0.0211831809755213,0.07930719741266468,-0.03458563804431858,-0.0360821668019099,69504.07,84652.64300000001,102334.641,102651.15199999999,94146.57800000002,92924.624,0.21795231559820882,0.20887709318183956,0.0030929018454266544,-0.08284927966517086,-0.012979271535498937
Beverage (Soft),29,646533.346,645499.9850000001,602446.8419999998,564500.6440000001,-0.0070580509564366345,-0.0015983104450731922,-0.06669735708824265,-0.1268808523296182,426449.2700000001,509674.842,543104.9860000001,617423.323,651129.0480000001,627695.0429999998,0.19515937264941252,0.06559112054426297,0.13683972512820897,0.05459094877761861,-0.03598980121065065
Broadcasting,22,47271.79000000001,40644.92999999999,34592.085999999996,33276.03,0.0750060661520997,-0.1401863563871817,-0.14892002520363545,-0.29607002400374527,31811.832,70029.97,57505.463,62960.62000000001,43973.50999999999,36252.770999999986,1.2013812345041934,-0.17884495738039008,0.09486328281540835,-0.3015712043496398,-0.17557704627172144
Brokerage & Investment Banking,27,448777.92499999993,454460.256,447560.581,426106.9690000001,-0.12572937247802762,0.01266178812159735,-0.015182130689993634,-0.05051709261323367,226890.80299999999,275516.466,374944.4510000001,570210.5869999999,513316.94200000004,520027.38700000005,0.214313063187493,0.36087855816211034,0.5207868405018741,-0.09977654974687433,0.013072712881547544
Building Materials,44,172241.67700000003,204448.607,204521.637,196788.175,0.10050586293837704,0.18698685800649728,0.00035720468371791547,0.14251195429315255,73118.33399999997,102400.68699999999,164199.37199999994,233576.34300000005,156511.367,241657.916,0.40047894143758844,0.6034987343395455,0.4225166646800582,-0.32993485132182254,0.5440278915971644
Business & Consumer Services,162,532490.421,553682.7989999999,545502.7310000004,561566.0020000001,0.015475143178515838,0.039798608884271225,-0.014773924735919985,0.05460301228592446,283505.742,401523.5720000003,553348.9960000002,622305.4469999999,524375.6330000001,587438.6640000003,0.41628021064913834,0.37812331476270034,0.12461656476918903,-0.15736615270217902,0.12026308438325195
Cable TV,10,262383.1,277750.19999999995,296463.17000000004,296979.47000000003,-0.010152251709144244,0.058567415355638364,0.06737338082924915,0.1318544144039766,300062.19,423224.75,495633.89999999997,457473.1,265074.2,284186.32000000007,0.4104567789763849,0.17108911990614906,-0.07699392636379387,-0.4205687722403787,0.07210101926177681
Chemical (Basic),32,107570.58200000001,104361.95,102738.293,99209.171,0.10586553788188358,-0.029828155061948136,-0.015557940417939564,-0.07772953203878741,54155.967,95122.43200000002,99294.39000000001,111996.46000000002,97272.75000000001,109276.376,0.7564533932151931,0.043858823962785065,0.1279233398785169,-0.13146585168852665,0.12340173378464159
Chemical (Diversified),4,10275.64,11153.539999999999,9261.43,8584.859999999999,-0.061710493395401134,0.08543506779139798,-0.16964210465914853,-0.1645425491745527,9473,8457,9862.099999999999,14002.699999999999,10951.46,9759.91,-0.10725219043597589,0.16614638760789857,0.41984972774561213,-0.21790369000264231,-0.10880284455223321
Chemical (Specialty),68,469449.9289999999,480963.70900000003,445259.8029999999,434929.87800000014,-0.0036705423715109875,0.024526108725857698,-0.0742340956955655,-0.0735329773582728,389795.085,404176.4150000001,464434.984,592734.315,471179.41300000006,480676.34500000003,0.03689459039741383,0.14908977061415096,0.2762482057122553,-0.20507485212830967,0.02015565989934287
Coal & Related Energy,18,11855.738,10629.746999999998,13575.306,13220.919999999998,-0.15211516041011197,-0.10340908343284927,0.2771052782347505,0.11514947445700963,6446.081,3611,4523.19,10614.369999999999,13982.722000000002,12890.308000000003,-0.43981467189133994,0.25261423428413177,1.3466557893875781,0.3173388528947081,-0.0781259900611625
Computer Services,72,277521.1780000001,279277.148,284970.24600000004,281444.09200000006,-0.013940593740260243,0.00632733693570553,0.02038511937253107,0.014135548242736329,212182.50400000002,243210.90900000004,248274.34100000004,333682.94899999996,281444.684,328595.43200000003,0.14623451234226192,0.020819099031450072,0.34400900091403286,-0.1565505973755943,0.16753113730867275
Computers/Peripherals,36,2736157.531,3205133.230000001,2840829.856,2958966.551000001,0.25219953667513595,0.1713993780279901,-0.1136624744925192,0.08143135673864865,860733.5680000002,1431399.2740000007,2423194.462,3094632.7210000004,2185081.0919999997,3173159.8369999994,0.662999245313505,0.6928850712830519,0.2770880626913552,-0.2939126258272381,0.452193169680313
Construction Supplies,45,291080.54999999993,329794.68999999994,331810.49,328990.81,-0.005749583401391645,0.13300146643257338,0.0061122876174872776,0.13023975665842347,172513.014,221760.76699999996,256765.155,295263.22999999986,292763.81999999995,369334.9799999999,0.28547268323768304,0.1578475240392727,0.14993496683769214,-0.008465022888220486,0.26154584265227854
