Industry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Advertising,57,2335.5096000000003,0.20382560475130843,811.7620000000001,0.0191989623087665,778.0440000000001,764.6280000000002,747.932,716.8139999999997,675.9919999999998,0.03728341055611528
Aerospace/Defense,70,47767.107,0.2908528898675302,16266.278999999999,0.04198026575777775,16065.339,15762.340999999999,15478.914999999999,14997.931,14874.551999999998,0.018049428758053265
Air Transport,25,2148.2456,0.015502110870229608,748.409,0.0032677146514284595,716.4069999999999,700.425,691.4580000000001,649.364,616.6479999999999,0.039490045738877155
Apparel,38,275.23800000000006,0.0069413281521581655,91.72899999999998,0.00128097323858115,91.68199999999999,92.66799999999999,91.643,89.527,88.38799999999999,0.00744807275043069
Auto & Truck,34,74058.788,0.17352067944708138,25016.079999999998,0.05362465035836569,24662.130999999998,24601.281000000003,24853.720000000005,23053.733,22994.186999999998,0.016998329663653555
Auto Parts,39,11656.8156,0.2989040188060656,4034.037,0.04195146133569772,3964.168,3852.188,3754.5859999999993,3191.485,3133.082,0.051849544320472285
Beverage (Soft),29,2508.3102,0.023400067562785006,837.641,0.0049178677899366086,837.241,837.141,836.941,819.077,819.277,0.004443315125991942
Broadcasting,22,8.7,0.0001343685311458779,3,4.106017368453468e-05,2.9,2.9,2.8,2.6,2.6,0.029033661071187877
Brokerage & Investment Banking,27,2680.2128000000007,0.0026064122755899183,871.733,0.0038217926404065213,851.3110000000001,888.878,956.648,1057.225,1551.5070000000003,-0.10890101397531715
Building Materials,44,4239.41,0.08335156885586101,1449.979,0.011174375949460018,1427.702,1398.234,1374.536,1292.573,1275.7719999999997,0.02592999928116857
Business & Consumer Services,162,5672.857400000001,0.059726397553266426,1932.3350000000003,0.007719043598619976,1887.895,1848.8130000000003,1804.395,1995.8029999999999,1668.7320000000004,0.02976746222482607
Cable TV,10,1038.8,0.0034437751735301616,355,0.0016017672681791562,353,343,330,318,311,0.026818282793063863
Chemical (Basic),32,3635.0542,0.04560770604032647,1213.103,0.009387622833347656,1205.2649999999999,1216.047,1209.19,1222.1749999999997,1240.3600000000001,-0.004434163990116535
Chemical (Diversified),4,705.1483999999999,0.07351175751771777,227.631,0.017424282437015895,235.812,235.993,244.09,248.18,246.15,-0.015521324993161723
Chemical (Specialty),68,18032.34400000001,0.0941040467835708,5864.9169999999995,0.02671138691295585,5930.967999999999,6005.435,6100.132999999999,6896.691999999999,6671.667,-0.025446912336894556
Coal & Related Energy,18,123.031,0.015295414551779083,35.900000000000006,0.0034538741837336,39.58,46.870000000000005,46.014,44.697,41.386,-0.02804043266520606
Computer Services,72,21428.7446,0.33179876020393073,7203.6050000000005,0.02447540943024001,7132.586,7116.614,7083.256999999999,7078.9980000000005,7057.460999999999,0.004107661422768194
Computers/Peripherals,36,122443.77900000001,0.6537960221777538,41798.191,0.06950351175289483,41168.42500000001,40524.833999999995,39549.156,37881.42599999999,36868.738000000005,0.025415417200676194
Construction Supplies,45,14334.12,0.10487107190420814,4937.63,0.023887530164318417,4840.629999999999,4684.730000000001,4575.49,4414.760000000001,4207.910000000001,0.032500855396727646
Diversified,23,18602.8564,0.02994998499821745,6190.259999999999,0.011711800770770615,6199.0199999999995,6197.475,6169.325000000001,6335.826999999999,6169.887,0.0006595305387777639
Drugs (Biotechnology),572,241410.6226000001,1.1160198846351321,82918.74300000005,0.43858881939858935,81677.60699999997,78620.93899999998,77016.31700000004,75853.519,73929.706,0.023214641897086885
Drugs (Pharmaceutical),245,222560.23440000007,0.6102153399324313,80161.95299999994,0.21873303417517215,78026.38800000002,67352.95599999999,66067.85299999996,65691.281,65527.5,0.04113953474516685
Education,31,2795.3056,0.24245819956357495,921.7439999999999,0.04680820313577138,940.657,949.495,928.683,899.329,799.919,0.02875713752278397
Electrical Equipment,103,10746.459399999996,0.15368637342212368,3706.5379999999996,0.03952788628328157,3593.8789999999985,3568.9539999999993,3484.4939999999992,3148.241,3085.2399999999993,0.03737529410037199
Electronics (Consumer & Office),13,1794.459,0.8834704781318372,612.687,0.09479782970717882,610.432,589.004,573.692,552.7359999999999,540.672,0.025323608450602775
