Industry_Name,Number_of_firms,Lease_Debt_My_Estimate_,Conventional_Debt,Total_Debt_with_leases,Interest_expense,Book_interest_rate,Short_term_Debt_as_of_Total_Debt,Lease_Debt_Accounting_
Advertising,57,5116.888237770996,20882.795000000002,25999.683237770998,1384.8230000000003,0.06631406380228318,0.004972612922788005,4781.696999999999
Aerospace/Defense,70,10934.248902128951,189749.41900000002,200683.66790212897,8845.998,0.04661936804138514,0.020000175221754072,7703.314000000001
Air Transport,25,30471.555309800387,113233.721,143705.2763098004,5990.793000000001,0.05290643941657627,0.011439604516298175,30335.74
Apparel,38,9833.53070941677,20132.324,29965.85470941677,981.013,0.048728254125057796,0.06829259862129103,9964.228
Auto & Truck,34,6098.838675376086,284559.324,290658.1626753761,2763.1549999999997,0.0097102950666273,0.017269825600618627,4900.1050000000005
Auto Parts,39,2585.2245264269986,20838.128,23423.352526427,1140.537,0.05473317948714011,0.0330520828888269,2664.8210000000004
Bank (Money Center),15,30005.745068096556,2628631.3,2658637.0450680964,0,0,0.5019830052999974,27080.9
Banks (Regional),625,15107.48590379383,538673.936,553781.4219037938,0.001,1.8564105912115265e-09,0.534602301266554,8511.887000000006
Beverage (Alcoholic),19,818.4543695042703,21915.401999999995,22733.856369504265,832.8739999999999,0.038004048476956986,0.05262584204916906,334.664
Beverage (Soft),29,4953.437601265861,102493.327,107446.76460126587,2614.923,0.025513104867793,0.14468628619448268,1327.124
Broadcasting,22,5186.147001733327,58764.43,63950.57700173333,3729.108,0.06345859221301049,0.00015468459937874435,4550.69
Brokerage & Investment Banking,27,12034.12297043344,1163538.0119999996,1175572.134970433,169.693,0.0001458422485985787,0.524382845669418,6813.93
Building Materials,44,3693.473389371815,40165.05999999998,43858.5333893718,1952.5110000000004,0.04861217685221935,0.0022820346186379495,3461.0029999999997
Business & Consumer Services,162,11028.786596773964,94353.479,105382.26559677397,5340.683000000003,0.05660292610938069,0.033828818708288494,11741.300000000001
Cable TV,10,12759.60788026842,276310.9,289070.50788026844,12087.5,0.043746012191339535,8.118321679920875e-05,4299.6
