Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Advertising,57,1059.36,374.5379999999997,2.828444643801165,3012.198,8.042436281498812,2785.504,804.6939999999997,730.3099999999986,3.4615692424698095,3.814139201161158,7.437173264128077,0.07249086213810325
Aerospace/Defense,70,10325.45,19229.92500000001,0.5369469719720693,25778.398999999998,1.34053559751273,23948.220999999998,19490.316000000006,28192.202000000005,1.228724100727766,0.8494625925282457,1.2453621633989724,0.029026290105775922
Apparel,38,1691.3570000000004,2255.6539999999995,0.7498299827899141,3578.1360000000004,1.5862964798679235,3439.8320000000003,2681.1269999999995,1768.2030000000032,1.2829798812215911,1.945382967905831,1.524982111618183,0.05894967275926508
Auto & Truck,34,5839.1,16467.083000000006,0.35459224927693617,8873.277,0.5388493517643651,3033.745999999999,2699.4410000000057,22530.553,1.1238423066108845,0.13465031240023267,0.18423092906011332,0.05289888223214134
Bank (Money Center),15,34903.054000000004,143409.88,0.2433797029883855,36941,0.2575903417533018,35908.59,123256.77,445807.27,0.29133158365256523,0.08054734055817438,0.2503913258974904,0.3712511878082051
Banks (Regional),625,18260.633480000015,57038.42399999996,0.32014617865318346,23938.595000000023,0.4196924339985277,22740.299000000025,48787.643999999964,140757.35400000005,0.4661077505607781,0.16155673827173547,0.3986838591473011,0.2160603919125604
Beverage (Soft),29,15531.3,23394.151999999995,0.6638966866591276,19583.238999999998,0.8370997589483048,18775.898999999998,17197.520999999993,24321.503999999994,1.0917793907621922,0.7719875793865381,0.8025894249126877,0.035091965568080405
Building Materials,44,3011.12,10376.228999999998,0.2901940579761685,9197.962,0.8864455477996873,9031.814,12760.338999999998,10175.594000000005,0.7078036092928254,0.8875957511669585,0.8704331795298661,0.04063808591349033
Business & Consumer Services,162,8152.710999999998,13637.17100000001,0.5978300778071928,20753.97,1.5218676952866534,18450.384000000002,15055.727000000006,18512.43100000001,1.225472805132558,0.996648360228864,1.3529480564554033,0.030926977065301082
Cable TV,10,5197,23701.300000000003,0.21927067291667543,20472.1,0.8637543088353802,20434.1,18803.000000000007,23671.500000000007,1.0867467957240862,0.8632363813024098,0.8621510212519987,0.015449619732832572
Chemical (Basic),32,5979.299999999999,4555.082000000002,1.3126657214952435,8011.659999999999,1.7588399067239613,7745.276999999999,3190.9010000000035,4629.704000000003,2.4273009410194772,1.6729529576836863,1.70035951054229,0.06647890563843029
Chemical (Specialty),68,7981.390000000002,24004.232999999993,0.33249927210754887,17831.83,0.7428618944000421,17047.938000000002,13183.49299999999,13467.152999999991,1.293127549732079,1.2658902739131288,0.7102054875071412,0.03502430650149023
Coal & Related Energy,18,248.95,1642.62,0.15155665948302102,855.038,0.520533050857776,553.654,1405.7020000000002,920.8330000000001,0.3938629951440632,0.6012534303179837,0.33705543582812825,0.12533259559127807
Computer Services,72,7387.793000000001,12944.542999999998,0.5707264443402909,13418.510000000002,1.0366151976164786,13033.390000000001,16459.252999999997,19467.324000000008,0.7918579293969176,0.6695008517863059,1.0068636644800828,0.04688265422597712
Computers/Peripherals,36,18324.54,105048.41600000001,0.17443899392066986,105752.01499999998,1.0066978544445637,105313.56899999999,98759.80500000001,86819.06700000001,1.0663606413560656,1.2130235055393992,1.00252410279085,0.015385638665711706
Construction Supplies,45,4982.768,21014.309999999994,0.23711309103177794,9545.697,0.45424746280034906,9325.355,10955.014999999992,13521.469999999983,0.851240733125423,0.6896702059761262,0.443762131614124,0.03935443446215347
Diversified,23,6830.388,83700.18899999998,0.08160540712757532,21665.28,0.2588438599583091,20581.024999999998,78445.68099999998,76936.92499999999,0.2623602056561916,0.267505167382242,0.2458898270827083,0.043550835074725465
Drugs (Pharmaceutical),245,38968.192,55701.979000000014,0.6995836180254923,56847.96799999999,1.0205735778256635,51325.513,69639.76300000002,96340.09999999999,0.7370144697362049,0.5327533706109917,0.9214306909993267,0.02898582271161723
Electrical Equipment,103,2451.0229999999992,14268.495,0.17177866341194353,8318.198999999997,0.5829766208699654,5202.490999999996,9138.634000000007,11073.829000000009,0.5692854096137335,0.4698005540811577,0.36461385731291185,0.06663009081940552
Electronics (General),129,1831.58,6420.539999999999,0.2852688403156121,5595.9,0.8715622050481736,4492.323,2958.3119999999963,3889.121999999992,1.5185426689274173,1.1550995314623735,0.6996799334635406,0.05694227843710425
Environmental & Waste Services,57,2133.7000000000003,5871.133,0.3634221878468773,4356.0830000000005,0.7419492966689736,3706.577,4496.790999999999,8844.003999999979,0.824271574996481,0.4191062102640398,0.6313222677803416,0.008810385871238266
Farming/Agriculture,42,3212.82,18538.566000000006,0.17330466660689933,12637.257999999998,0.6816739762935274,12457.039999999997,8941.988000000005,20725.71700000002,1.3930951372334643,0.6010426563288491,0.6719527281667845,0.03779149954272308
Food Processing,82,11853.449999999999,17252.246999999996,0.6870670237911619,17314.972999999998,1.0036358162504861,16749.005999999998,10113.832999999995,13466.973999999987,1.6560492940708045,1.243709685635393,0.9708304083520252,0.024966073464153245
Food Wholesalers,14,1054.3,2762.7400000000002,0.3816139050363045,1803.12,0.6526564207996408,1649.465,1784.0010000000002,360.6209999999992,0.9245874862177766,4.573957146145132,0.5970395332170236,0.015728702597620492
Healthcare Products,230,7563.3409999999985,18109.07299999999,0.4176547855320923,13703.672000000002,0.7567296238741767,10629.824000000004,12881.508999999991,22628.003000000008,0.8252002152853374,0.4697641236833847,0.586988853598415,0.035266781839844455
Healthcare Support Services,119,14897.92,50286.77400000001,0.2962592112192362,47704.352999999996,0.9486461191565,44222.397999999994,55261.42600000001,77496.7189999999,0.8002398997087043,0.5706357452371635,0.8794041550567547,0.0859777553957259
Heathcare Information and Technology,128,1752.4940000000001,8883.584000000004,0.19727330771004128,10749.899,1.2100858167154152,9579.387999999999,11068.558000000003,19351.327,0.8654594392512553,0.4950248631527956,1.0783246941774844,0.04201410056677524
Homebuilding,32,1349.61,20979.152999999995,0.06433100516498451,5424.752000000001,0.25857821810060694,4958.993000000001,22595.230999999992,18874.83799999999,0.21947078124583028,0.262730360917535,0.2363771788117472,0.09915951693878375
Hospitals/Healthcare Facilities,32,908.4,7107.354999999999,0.12781126030710444,6255.101999999999,0.8800885842904991,5013.152999999998,3324.264999999997,4181.081999999993,1.5080485460695832,1.1990085341545578,0.7053472072240657,0.01713953447004165
Hotel/Gaming,68,1647.7530000000002,19543.351,0.08431271586945352,30155.805000000004,1.5430212045007023,29677.189000000002,19073.597,19906.90499999999,1.5559303785227296,1.4907987454604328,1.5185312385782768,0.06106609776540784
Household Products,93,29193.220000000005,23883.999000000007,1.2222919620788795,36757.33500000001,1.5389941609024518,30361.209000000006,25445.499000000007,34418.28899999999,1.1931858361276388,0.8821242973466814,1.27119453488505,0.029286220403041876
Information Services,18,760.9000000000001,1253.4599999999998,0.6070397140714504,1942.674,1.5498492173663303,1439.952,2150.151,2566.953999999999,0.669698081669613,0.5609574616452031,1.148781772054952,0.04928571250919992
Insurance (General),21,3084.8239999999996,9418.429999999998,0.32753059692538994,7394.354,0.7850941186588425,7004.428,7719.9609999999975,7571.395999999997,0.9073139100055042,0.9251171118245569,0.743693800346767,0.03318991496955059
Insurance (Prop/Cas.),50,5608.5325,15963.519999999997,0.3513343235075974,12104.445,0.7582566376338052,11645.277,11557.770999999995,12007.922999999995,1.007571183059433,0.9697994399197933,0.7294930566692059,0.044742946445294036
Investments & Asset Management,334,11402.766000000001,27081.320000000003,0.4210565068467859,55546.65000000001,2.051105706811928,51287.82400000001,19543.908000000003,37576.971000000005,2.6242358488384205,1.3648738212561093,1.893845056297108,0.10332871545005516
Machinery,103,6629.376000000002,18277.859000000004,0.3626998107382271,11683.973000000004,0.6392418827609953,10070.192000000005,17312.165000000005,19508.328999999994,0.5816829957431668,0.5161996191472887,0.5509503055035058,0.028542921651902062
Office Equipment & Services,17,336.594,149.485,2.251690805097501,361.44,2.4179014616851187,347.768,374.90800000000013,426.6960000000008,0.9276089067184479,0.8150252170163285,2.326440780011372,0.06757619823981031
Oil/Gas (Integrated),4,26842.291999999998,72268.8,0.37142296537371583,60963.56,0.8435667950761601,60869.367999999995,74033.97,63725.97,0.8221816012298138,0.955173659969397,0.8422634387176762,0.047961068398579165
Oil/Gas (Production and Exploration),166,23035.563000000006,73661.199,0.3127231610769736,38213.292,0.5187709746619792,36719.136,44527.45700000003,55804.75899999999,0.8246403112578374,0.6579929141885552,0.49848680850280486,0.03621886766313179
Oil/Gas Distribution,24,9714.68,24381.729999999996,0.39844096378722926,12877.452000000001,0.5281598967751674,12296.887,17573.96,25157.227999999974,0.6997220319154022,0.4888013496558529,0.5043484199029357,0.021078417337070002
Oilfield Svcs/Equip.,100,8783.423999999999,46698.66699999998,0.1880872531115289,34042.70999999999,0.7289867610139709,31695.14899999999,43466.34899999997,43076.58199999999,0.7291882048800559,0.735786070491851,0.6787163539378973,0.0745812119338099
