Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Advertising,57,1059.36,1952.838,226.69399999999993,-1726.144,-0.14997266659044128,4819.999000000001,4745.615,-74.38400000000092,-0.0035619753007200866,-121.79999999999745
Aerospace/Defense,70,10325.45,15452.948999999999,1830.1779999999999,-13622.770999999999,-0.09345047416503018,35097.149000000005,43799.035,8701.885999999999,0.04585988218493569,196.36799999999494
Air Transport,25,503.1,483.24199999999996,493.8160000000001,10.574000000000126,0.0003625373251616307,18227.483,8391.1,-9836.383,-0.08686796577143305,6091.558999999994
Apparel,38,1691.3570000000004,1886.779,138.30400000000003,-1748.475,-0.07134633208505732,11930.467999999999,11017.544000000002,-912.9239999999972,-0.04534618059991471,1648.296000000002
Auto & Truck,34,5839.1,3034.177,5839.531000000001,2805.3540000000007,0.015964402770173754,90281.217,110112.329,19831.111999999994,0.06969060694001365,2690.5999999999985
Auto Parts,39,705.751,531.984,386.24700000000007,-145.73699999999997,-0.005361852273698059,6014.958,6159.996000000001,145.03800000000138,0.006960222146634351,393.39800000000014
Bank (Money Center),15,34903.054000000004,25724,1032.4099999999999,-24691.59,-0.025609362985040077,234071.5,556622,322550.5,0.12270663443747323,0
Banks (Regional),625,18260.633480000015,6382.249999999998,1198.296,-5183.953999999998,-0.01103583068407536,554628.3320000002,646598.0420000002,91969.71000000008,0.1707335437146528,0
Beverage (Alcoholic),19,1374.5,534.822,124.58799999999998,-410.23400000000004,-0.014184989154673072,3704.538,4698.195000000001,993.6570000000006,0.04534057828371119,-76.52299999999968
Beverage (Soft),29,15531.3,4051.939,807.34,-3244.5989999999997,-0.042380830556381865,9740.571000000004,16864.554,7123.9829999999965,0.0695067982328254,1188.3939999999984
Broadcasting,22,1166.889,3367.4970000000003,6.963,-3360.534,-0.07045881738991144,2469.8970000000004,1009.652,-1460.2450000000003,-0.024849130673095958,249.49999999999818
Brokerage & Investment Banking,27,12346.393000000002,23703.199999999997,325.216,-23377.983999999997,-0.0858197680703212,142223.066,203738.886,61515.82000000001,0.05286962640288887,274.20000000000005
Building Materials,44,3011.12,6186.841999999999,166.14800000000005,-6020.693999999999,-0.12390803708251201,18252.037999999997,15667.293000000003,-2584.7449999999935,-0.064353072048193,322.02700000000186
Business & Consumer Services,162,8152.710999999998,12601.259000000002,2303.5860000000007,-10297.673,-0.10569799680231343,39545.50299999999,43002.206999999995,3456.704000000005,0.036635681446361985,-1345.7039999999834
Cable TV,10,5197,15275.1,38,-15237.1,-0.12514804611975433,36775.3,41643.8,4868.5,0.017619645117148832,215.70000000000437
Chemical (Basic),32,5979.299999999999,2032.36,266.38300000000004,-1765.9769999999999,-0.034483827879717814,5002.751,6441.554,1438.8029999999999,0.031778275035626254,2202.156999999994
Chemical (Diversified),4,317,885.4,22,-863.4,-0.15457383881640194,571.5999999999999,893.89,322.2900000000001,0.052316492949310046,-351.2810000000002
Chemical (Specialty),68,7981.390000000002,9850.44,783.892,-9066.548,-0.05644167235842729,33835.894,34119.554000000004,283.6600000000035,0.002362571050996999,1300.642000000007
Coal & Related Energy,18,248.95,606.088,301.38400000000007,-304.7039999999999,-0.05392303989580088,1810.4270000000001,1325.558,-484.86900000000014,-0.17715371158744847,193.98799999999983
Computer Services,72,7387.793000000001,6030.7170000000015,385.12000000000006,-5645.597000000002,-0.08187416822937463,19586.917,22594.98800000001,3008.071000000007,0.03432034004447491,1946.8580000000002
Computers/Peripherals,36,18324.54,87427.47499999999,438.4460000000001,-86989.029,-1.031604999147929,39588.794,27648.056000000004,-11940.737999999998,-0.06721506907888851,-7513.739999999962
Construction Supplies,45,4982.768,4563.489000000001,220.34199999999998,-4343.147000000002,-0.056034363861966696,23146.132,25712.586999999992,2566.454999999991,0.029213402954993396,1153.6900000000023
Diversified,23,6830.388,15183.18,1084.2549999999999,-14098.925000000001,-0.026728454091623527,43736.066,42227.31,-1508.7560000000012,-0.007322307652175396,-250.96000000000276
Drugs (Biotechnology),572,18656.011,9460.016999999998,28941.024000000012,19481.007000000012,0.1005247497381757,16369.053000000002,33021.901000000005,16652.848000000005,0.08918710765856733,-970.3209999999926
Drugs (Pharmaceutical),245,38968.192,17879.775999999994,5522.454999999995,-12357.321,-0.03842570580290667,41752.270000000004,68452.60699999999,26700.336999999985,0.1047575795821124,3634.053
Education,31,97.12,966.0150000000001,94.24500000000002,-871.7700000000001,-0.05724143519026178,2259.685,1537.4769999999999,-722.2080000000001,-0.14716653557266346,173.7609999999995
Electrical Equipment,103,2451.0229999999992,5870.989999999999,3115.708,-2755.281999999999,-0.0457715396345449,16256.412999999997,18191.608,1935.1950000000033,0.03905753078952147,973.7260000000006
Electronics (Consumer & Office),13,0,193.63,36.461000000000006,-157.16899999999998,-0.052920458869123985,397.182,379.29699999999997,-17.885000000000048,-0.023463092038029033,74.40999999999997
Electronics (General),129,1831.58,3764.3199999999993,1103.5769999999995,-2660.7429999999995,-0.036458479420557556,18464.185999999998,19394.995999999992,930.809999999994,0.021908232699648835,643.6689999999999
Engineering/Construction,43,492.601,1980.478,999.825,-980.653,-0.02766145216580483,36877.77099999999,37854.43800000001,976.6670000000158,0.03281048444451038,2554.8159999999916
Entertainment,98,1492.3143599999999,5833.545,511.09999999999997,-5322.445,-0.026881123328120794,27061.969999999998,18662.649,-8399.320999999996,-0.055798129855547995,21600.87100000003
Environmental & Waste Services,57,2133.7000000000003,2222.3830000000007,649.5060000000001,-1572.8770000000006,-0.056290186614950576,61460.123000000014,65807.336,4347.212999999982,0.10376430183090934,2131.026
Farming/Agriculture,42,3212.82,9424.437999999998,180.218,-9244.219999999998,-0.13718853830397149,48098.44099999999,59882.170000000006,11783.729000000014,0.1306507311093232,1617.8690000000024
