Industry_Name,Number_of_Firms,ROE,Retention_Ratio,Fundamental_Growth_
Advertising,57,0.032541006196152036,-1.828444643801165,-0.059499428483254714
Aerospace/Defense,70,0.13191483651952815,0.4630530280279307,0.061083564492176966
Air Transport,25,0.219363538879951,0.9213672809115206,0.2021143873489491
Apparel,38,0.09204171598277805,0.2501700172100859,0.023026077671457423
Auto & Truck,34,0.09370908108633746,0.6454077507230638,0.06048056724625826
Auto Parts,39,0.05723613672909091,0.546344470456348,0.03127064681222231
Bank (Money Center),15,0.148740347323159,0.7566202970116145,0.11253996576925926
Banks (Regional),625,0.1214259211695359,0.6798538213468166,0.0825518765176663
Beverage (Alcoholic),19,0.0869908980857384,0.45365334791847667,0.03946371215503023
Beverage (Soft),29,0.30557353679830446,0.3361033133408724,0.10270427818719913
Broadcasting,22,-0.021565149058570276,0.9978041240260871,-0.02151779466587871
Brokerage & Investment Banking,27,0.10413110832014963,0.5647488917948575,0.058807928025174774
Building Materials,44,0.21354650605206582,0.7098059420238315,0.1515765788941844
Business & Consumer Services,162,0.1399754737551486,0.4021699221928072,0.056293925389009444
Cable TV,10,0.19466771140821634,0.7807293270833245,0.15198279133258757
Chemical (Basic),32,0.08894604157698592,-0.3126657214952435,-0.02781037826381423
Chemical (Diversified),4,-0.02360500422508987,0.9896296296296296,-0.02336021158868153
Chemical (Specialty),68,0.1494327338476946,0.6675007278924512,0.09974645861429507
Coal & Related Energy,18,0.29069215958320355,0.848443340516979,0.24663582693886796
Computer Services,72,0.18772570752648005,0.42927355565970915,0.08058568195862671
Computers/Peripherals,36,-1.234289008499134e-05,0.8255610060793301,-1.0189808756492039e-05
Construction Supplies,45,0.27112218233648655,0.7628869089682221,0.20683556363540093
Diversified,23,0.15867710900985088,0.9183945928724246,0.14572819892727534
Drugs (Biotechnology),572,-0.11590040227481527,0.9991150332632024,-0.1157978342740206
Drugs (Pharmaceutical),245,0.17320808107952249,0.3004163819745077,0.052034545046657325
Education,31,0.016746880536467494,0.6192119192315233,0.010369868038127079
Electrical Equipment,103,0.23703235618633814,0.8282213365880564,0.19631525485526524
Electronics (Consumer & Office),13,-0.06626800138724744,1,-0.06626800138724744
Electronics (General),129,0.08797660106927524,0.7147311596843879,0.06287961810733386
Engineering/Construction,43,0.06411400934520678,0.7832785151396764,0.0502191260395649
Entertainment,98,-0.0027275543810870717,0.996565347744386,-0.002718186180279761
Environmental & Waste Services,57,0.2101163487107984,0.6365778121531227,0.13375540555992266
Farming/Agriculture,42,0.2751209698375531,0.8266953333931006,0.22744122188328914
Financial Svcs. (Non-bank & Insurance),172,0.22361139419471984,0.7219049965523889,0.16142618275521411
Food Processing,82,0.10101697021572027,0.3129329762088381,0.0316115411372049
Food Wholesalers,14,0.21114375328629606,0.6183860949636955,0.13056836107069056
Furn/Home Furnishings,31,-0.06526279080199633,0.9914382892213974,-0.0647040296625452
Green & Renewable Energy,17,0.10675101428653834,0.7440469757556107,0.07942776933874285
