Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Advertising,57,0.3151511149045307,-0.00993406001897932,-0.0031307300905098557
Aerospace/Defense,70,0.16167717664340658,0.3924774302821871,0.06345464282428347
Air Transport,25,0.1092325173386668,1.1858967293486484,0.1295384850504445
Apparel,38,0.15293487788906657,-0.07285876271141715,-0.011142645978419059
Auto & Truck,34,0.05186632508660861,0.8147103151259559,0.04225603005573617
Auto Parts,39,0.10156047044070848,0.9518332479515937,0.09666863244307139
Bank (Money Center),15,0.00017809965864835952,55.728776313853096,0.00992527603838802
Beverage (Alcoholic),19,0.16670846804136458,0.9081296859580446,0.15139290872895111
Beverage (Soft),29,0.3065163030779624,0.25676455571759477,0.07870252238001264
Broadcasting,22,0.12063888924002568,2.1143668601085928,0.25507486944942137
Brokerage & Investment Banking,27,0.001307446941021954,56.43365588996486,0.07378401076402014
Building Materials,44,0.252670574449478,-0.00761665449252251,-0.00192450446600886
Business & Consumer Services,162,0.27452359974428153,0.2544682103316714,0.0698575291207354
Cable TV,10,0.11311872163563386,0.15767366778442643,0.017835843735375945
Chemical (Basic),32,0.11808931523559212,0.173667004732125,0.02050821766783298
Chemical (Diversified),4,0.015720852535763625,-5.556514170837235,-0.08735313989261306
Chemical (Specialty),68,0.13505275648152232,1.0348496791866486,0.13975930171817594
Coal & Related Energy,18,0.29497550992564786,0.13283664539899678,0.03918355721338154
Computer Services,72,0.24167411086330845,0.23795588571918946,0.05750777710587615
Computers/Peripherals,36,0.37798197124632166,0.092441186690531,0.034941101969636144
Construction Supplies,45,0.20159249439191199,0.5198317789035468,0.1047941849733509
Diversified,23,0.20395197737613438,0.25080420620828026,0.051152013790430516
Drugs (Pharmaceutical),245,0.1337527062215693,0.8539263175436763,0.11421495588528582
Education,31,0.05928030828162614,0.9750398020735855,0.05780066005377789
Electrical Equipment,103,0.13265964322266596,2.1463997544763114,0.2847406256420453
Electronics (General),129,0.15114383953059968,0.7043164107310471,0.10645308656230132
Engineering/Construction,43,0.12584190576281387,1.2619175754407028,0.1588021126090475
Entertainment,98,0.07557891173918209,-0.20650613209517016,-0.015607508731220743
Environmental & Waste Services,57,0.2994248396119106,0.7009982439901342,0.2098962867749769
Farming/Agriculture,42,0.17930588293067248,0.5301203584239703,0.09505369892673456
Financial Svcs. (Non-bank & Insurance),172,0.008800023323033083,0.21675896399206002,0.0019074839386066164
Food Processing,82,0.17232732992047894,0.41192631497381554,0.07098616198341984
Food Wholesalers,14,0.14961754390226162,0.47194525861898456,0.07061129045089014
Furn/Home Furnishings,31,0.1031461588962982,0.9731455119346809,0.10037622160323406
Green & Renewable Energy,17,0.041502730750869,1.159019820796266,0.048102487557427874
Healthcare Products,230,0.13081181602888342,0.49512455251752285,0.06476814187530543
Healthcare Support Services,119,0.45741028306204884,0.6275372045055494,0.2870419703448502
Heathcare Information and Technology,128,0.14281217248637942,0.31339455513224623,0.044756557263838495
Homebuilding,32,0.20906182388989658,-0.04996220070411062,-0.010445188804754441
Hospitals/Healthcare Facilities,32,0.20156640226109454,0.3491979818825059,0.07038658088489158
Hotel/Gaming,68,0.09988621756233888,0.2181007264159746,0.02178525660929019
Household Products,93,0.3117119490495866,-0.0009751404704261414,-0.0003039629366336633
Information Services,18,0.22740740434639165,-0.2631403524056768,-0.05984006451936973
Insurance (General),21,0.15653546538570912,0.3789687523388437,0.05932205001400244
Insurance (Prop/Cas.),50,0.11118635097908262,0.2866229380931067,0.03186855859347603
Investments & Asset Management,334,0.061639717527291187,0.5466968323096587,0.03369823831663224
Machinery,103,0.24909385325604075,0.6676806488145169,0.16631514555770135
Metals & Mining,68,0.2402669710602103,0.631496293074419,0.1517277015727415
Office Equipment & Services,17,0.12926389341779917,0.1658016014045215,0.02143216053245449
Oil/Gas (Integrated),4,0.17039770081786265,-0.01671215236463339,-0.002847712338651336
Oil/Gas (Production and Exploration),166,0.28405709355869363,0.5039504893607293,0.1431507113052901
Oil/Gas Distribution,24,0.20602082553480802,0.4028456796383902,0.08299459948223195
Oilfield Svcs/Equip.,100,0.2802140695692729,0.15485672710250106,0.04339303370157015
Packaging & Container,22,0.14213647578465585,0.6796320359442392,0.0966005024194647
Paper/Forest Products,7,0.18901373691463047,0.9970294005799266,0.18845225281736597
Power,50,0.05783880879545163,1.7342755771524554,0.10030843350554239
Precious Metals,61,0.04692969329686256,1.462623173547346,0.06864045694346073
Publishing & Newspapers,21,0.13864542842203184,-0.13309544549517302,-0.01845307506169945
R.E.I.T.,193,0.02981217511772447,-0.6651383148057987,-0.019829219918498616
Real Estate (Development),17,0.029287042485061747,-0.9727120811775142,-0.02848786004717869
Real Estate (General/Diversified),11,0.05312220372276945,-0.5941237825780336,-0.03156116461465268
Recreation,55,0.09536754171130633,0.5615834278229958,0.05355683097728794
Reinsurance,1,0.30116910073399067,0.7560799531674074,0.22770791957842587
Restaurant/Dining,64,0.19557552942837814,0.3451108324184372,0.06749523376170415
Retail (Automotive),30,0.13195481158300898,0.7134611678555867,0.09414463397617748
Retail (Building Supply),16,0.39426101011063314,0.023337337560001278,0.009201002279698922
Retail (Distributors),62,0.186085879254954,1.0375036244575058,0.19306477418737658
Retail (General),26,0.0989299380525086,0.794478336472149,0.0785976926112498
Retail (Grocery and Food),14,0.10989245466725754,1.1428223096616057,0.12558754885721857
Retail (REITs),28,0.04458562834006221,-0.8180364327949872,-0.036472668361227575
Retail (Special Lines),105,0.13499345989584943,0.5523015624992001,0.07455709882765076
Rubber& Tires,3,0.03124092719979871,-0.3200268060602408,-0.009997934150112084
Semiconductor,63,0.11368358391768708,0.498632244773038,0.05668630064272036
Semiconductor Equip,30,0.25683632466511935,0.13881169088914808,0.03565188450851942
Shipbuilding & Marine,8,0.09235139499766344,0.5027071202632976,0.04642570383157369
Shoe,13,0.24043080830071734,-0.20182594713277416,-0.048525175605190735
Software (Entertainment),84,0.19944873406255512,0.4679443076693403,0.09333089977642872
Software (System & Application),351,0.23224389866710615,0.3638023142592327,0.08449086780767995
Steel,29,0.2218083633357043,0.1569878341429413,0.034821214554862805
Telecom (Wireless),13,0.06548378425028921,0.5510450483030811,0.03608451505526916
Telecom. Equipment,66,0.2818216189274289,0.36669384113949066,0.1033422519606487
Telecom. Services,42,0.11796482606061286,0.2012230524472249,0.023737242381322465
Tobacco,16,0.8036055993679144,1.17639869037906,0.9453605746776941
Transportation,36,0.15477553498576985,0.9343605303661486,0.1446161509570083
Transportation (Railroads),4,0.142619533616312,0.22178443078565843,0.031630792082009834
Trucking,22,0.12748742307030905,1.217807517047936,0.15525514214409283
Utility (General),14,0.06473139954433985,1.5052569708950143,0.09743739039990791
Utility (Water),13,0.08406230914414912,1.4950509635847589,0.12567743628712003
Total Market,6481,0.08406230914414912,0.468845142326734,0.039412205295002514
Total Market (without financials),5214,0.1466884216172786,0.44373494936660024,0.06509077933900963
