Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Advertising,57,22298.69,-1350.5200000000004,0.3144900021492352,2358.66,0.10577572045712103
Aerospace/Defense,70,163170.87300000002,7157.937000000005,0.2671946711007415,-595.77,-0.0036512031163797223
Air Transport,25,19890.035,-178.8650000000016,0.06325550884069712,244.2,0.012277504790715552
Apparel,38,8950.889000000001,-505.6799999999985,0.12675433948175738,612.9000000000001,0.06847364546694748
Auto & Truck,34,2711.9,-458,0.0038959276377965707,51.6,0.019027250267340243
Auto Parts,39,9102.090999999999,721.5909999999985,0.11550637682224649,19.5,0.0021423648697865144
Bank (Money Center),15,199002.064,3876,0.014769985358643108,0,0
Banks (Regional),625,128539.63900000004,454.19100000000617,0.024231718428224622,1748.0040000000001,0.013598949037035957
Beverage (Alcoholic),19,15628.117,-88.29999999999927,0.24088028415029308,1007,0.06443514596160241
Beverage (Soft),29,59066.992000000006,-553.5999999999913,0.2195691647739432,0,0
Broadcasting,22,35829.18,-1354.9200000000055,0.25914792122880154,1464.5559999999998,0.040876068054027465
Brokerage & Investment Banking,27,45139.89000000001,77.00000000000728,0.012489002402263532,531.5,0.011774508090294414
Building Materials,44,32438.280000000002,-924.8999999999978,0.25588905374956894,33.96,0.0010469112419030848
Business & Consumer Services,162,95629.96600000001,1867.1670000000158,0.2744510155503377,2792.7110000000007,0.02920330432826882
Cable TV,10,116315.8,1765.9000000000087,0.2084606314728494,0,0
Chemical (Basic),32,14946.652,-1068.0079999999998,0.0996937382677291,1002,0.0670384243909606
Chemical (Diversified),4,741,3,0.04459938198859074,0,0
Chemical (Specialty),68,95826.90000000001,8385.300000000003,0.24193630175879646,127,0.0013253063596964942
Coal & Related Energy,18,103.9,0,0.006985915144462203,0,0
Computer Services,72,87028.948,6445.254000000001,0.30889077875841736,117.81599999999999,0.0013537564535423315
Computers/Peripherals,36,63080.472,798.1819999999934,0.1064849988109911,19.93,0.0003159456384536882
Construction Supplies,45,30694.489999999998,199.70000000000073,0.11821035218316236,925,0.03013570188004427
Diversified,23,137409.17,738.2200000000012,0.10233935123534794,356.134,0.002591777535662285
