Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Advertising,57,0.05618405405405403,0.1485658974358975,0.3434063888888888,0.15872804347826086
Aerospace/Defense,70,0.02862785714285714,0.07528175438596485,0.485818947368421,0.10557133333333335
Air Transport,25,0.0771859090909091,0.11936173913043475,0.4126149999999999,0.17966333333333334
Apparel,38,0.06420323529411764,0.016546666666666664,0.48994187499999997,0.17205323529411765
Auto & Truck,34,0.05816761904761906,0.08448090909090909,0.25431230769230767,0.11483304347826087
Auto Parts,39,0.055590357142857136,0.06266172413793106,0.661528275862069,0.14109656250000002
Bank (Money Center),15,0.012579166666666667,0.03526272727272727,0.6303083333333334,0.06162461538461541
Banks (Regional),625,0.018760566448801735,0.03942465373961219,0.35519605932203363,0.12780177083333347
Beverage (Alcoholic),19,0.029720833333333335,0.06963666666666665,0.3120586666666667,0.1573207142857143
Beverage (Soft),29,0.054715,0.12286615384615385,0.4126039999999999,0.12511999999999995
Broadcasting,22,0.08588888888888889,0.06667411764705883,0.4336005,0.1876336842105263
Brokerage & Investment Banking,27,0.0615613043478261,0.03329583333333334,0.6654469565217391,0.1335996
Building Materials,44,0.024342439024390244,0.034707749999999996,0.7332048780487807,0.05758738095238094
Business & Consumer Services,162,0.06539924369747897,0.05469859649122806,0.5439554782608695,0.15627519083969466
Cable TV,10,0.006889999999999999,0.19631444444444443,0.6014222222222222,0.10527222222222223
Chemical (Basic),32,0.032563913043478256,0.11672666666666665,0.46215333333333325,0.07412304347826087
Chemical (Diversified),4,0.022043333333333335,0.0190575,0.5665749999999999,0.12494
Chemical (Specialty),68,0.028804313725490197,0.05832566037735849,0.6139449056603773,0.09599125000000001
Coal & Related Energy,18,0.026298333333333333,0.02691166666666667,0.33398666666666665,0.11725799999999997
Computer Services,72,0.09370509433962262,0.053840000000000006,0.49656799999999995,0.19437120689655166
Computers/Peripherals,36,0.030851428571428564,0.0517408,0.47980357142857144,0.08385357142857142
Construction Supplies,45,0.04407972972972973,0.06287055555555557,0.59824725,0.08781675
Diversified,23,0.022426363636363637,0.007951818181818178,0.4550623076923077,0.032321666666666665
Drugs (Biotechnology),572,0.03154564777327937,0.05561301397205584,0.33334867537313384,0.09573812727272728
Drugs (Pharmaceutical),245,0.04225916201117317,0.05069464285714285,0.28425454545454554,0.11241995049504952
Education,31,0.07271136363636364,0.05183090909090908,0.5367358333333334,0.12164679999999999
Electrical Equipment,103,0.04886810810810813,0.09019611111111114,0.4100257317073172,0.13226170731707315
Electronics (Consumer & Office),13,0.09634333333333332,0.24415555555555557,0.32261111111111107,0.19894444444444445
Electronics (General),129,0.05771999999999997,0.06000521276595741,0.4456912621359226,0.14011278260869564
Engineering/Construction,43,0.07510810810810811,0.02798800000000001,0.6422962857142858,0.16677026315789473
Entertainment,98,0.09906408163265304,0.12354903846153842,0.3511150943396226,0.18383338983050845
Environmental & Waste Services,57,0.06732891891891891,0.05571290322580645,0.3646410526315789,0.1523625641025641
Farming/Agriculture,42,0.03671884615384615,0.053073571428571414,0.3689162068965517,0.10639689655172414
Financial Svcs. (Non-bank & Insurance),172,0.054571397058823565,0.05506201492537311,0.5103304195804195,0.14143673333333331
Food Processing,82,0.05626465517241381,0.08777385964912279,0.4378715873015873,0.149062
Food Wholesalers,14,0.017667000000000002,0.006516666666666667,0.66102,0.0919009090909091
Furn/Home Furnishings,31,0.04652041666666666,0.011507272727272729,0.5242180000000001,0.16351208333333336
Green & Renewable Energy,17,0.02974285714285714,0.06920666666666668,0.4638733333333333,0.19843666666666668
Healthcare Products,230,0.0367229292929293,0.04271696808510636,0.41304964285714285,0.11324132701421805
Healthcare Support Services,119,0.0664136842105263,0.057710952380952356,0.4872983157894737,0.17751362745098034
Heathcare Information and Technology,128,0.049880000000000015,0.04082642857142857,0.47024759615384604,0.13385999999999998
Homebuilding,32,0.09855444444444446,0.04211269230769231,0.7286999999999999,0.16299481481481481
Hospitals/Healthcare Facilities,32,0.015661304347826085,0.020413809523809525,0.5200318181818182,0.14894
Hotel/Gaming,68,0.060608928571428564,0.06678653846153847,0.5618698076923078,0.1396551724137931
Household Products,93,0.04109789473684211,0.0756846551724138,0.39433949152542375,0.19052405797101454
Information Services,18,0.06877499999999999,0.06940714285714286,0.6206571428571429,0.108584
Insurance (General),21,0.03872473684210526,0.018898888888888896,0.5641363157894738,0.19640894736842104
Insurance (Life),23,0.0066589473684210525,0.10543421052631578,0.5188890476190475,0.021087894736842104
Insurance (Prop/Cas.),50,0.021269361702127662,0.06271765957446811,0.560845,0.13108163265306122
Investments & Asset Management,334,0.16627753731343278,0.30069135,0.39709378571428544,0.20163645569620234
Machinery,103,0.02178948051948052,0.02603641025641024,0.6344458536585365,0.09021360465116281
Metals & Mining,68,0.03521216216216216,0.1996034285714286,0.21981057142857133,0.11658650000000001
Office Equipment & Services,17,0.06306,0.1593381818181818,0.5497846153846154,0.14416500000000002
Oil/Gas (Integrated),4,0.0003366666666666667,0.11214666666666666,0.5048750000000001,0.00201
Oil/Gas (Production and Exploration),166,0.0772875,0.06188988636363635,0.44768252525252544,0.14568892156862742
Oil/Gas Distribution,24,0.0542675,0.09997238095238092,0.546570909090909,0.128625
Oilfield Svcs/Equip.,100,0.033939459459459455,0.0948101333333333,0.5657504000000001,0.09680329411764702
Packaging & Container,22,0.006531052631578946,0.002554736842105263,0.6783750000000001,0.09349499999999997
Paper/Forest Products,7,0.0032259999999999993,0.019794000000000006,0.7856749999999999,0.034480000000000004
Power,50,0.017603170731707318,0.027154047619047623,0.7035397777777779,0.03377325581395349
Precious Metals,61,0.06661870967741937,0.12517150000000002,0.2136071875,0.16053558823529407
Publishing & Newspapers,21,0.011394999999999999,0.022423333333333333,0.5517642857142858,0.10084933333333333
R.E.I.T.,193,0.017794636871508382,0.014623197674418604,0.6631374468085112,0.04456322751322752
Real Estate (Development),17,0.1978325,0.18472428571428576,0.22013,0.33577083333333335
Real Estate (General/Diversified),11,0.05915833333333333,0.016235000000000003,0.4480116666666667,0.1912666666666667
Real Estate (Operations & Services),60,0.1495175675675676,0.1180489189189189,0.341477619047619,0.24593279069767437
