Industry_Name,Number_of_firms,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Advertising,57,0.033450826644128226,20882.795000000002,25999.683237770998,0.19680579147739172,0.24997855454277412,0.25241808479709577,0.6576373838027059,0.6605514879665364,4064.5349999999994,4212.3003524458,0.7084851972663201,0.37784965099424456,0.09613021337246905,0.09962500794544552,5116.888237770996,4781.696999999999
Aerospace/Defense,70,0.007373534547443425,189749.41900000002,200683.66790212897,0.054484996295071975,0.20031761648861413,0.20291777620162876,0.5598223230984364,0.5637989484558215,33087.931000000004,33151.49021957421,0.2246602384456315,0.20840552065334875,0.0853938467891159,0.08555788141123705,10934.248902128951,7703.314000000001
Air Transport,25,0.06321495680154138,113233.721,143705.2763098004,0.21204200772774473,0.6183174618323405,0.6185403903760626,0.783651765686072,0.7838118911961943,15793.11,15323.56493803992,0.14994861451899638,0.11050395010025482,0.06895611482307311,0.06690598009931532,30471.555309800387,30335.74
Apparel,38,0.05377627011773434,20132.324,29965.85470941677,0.3281578584950751,0.3287461078396484,0.3277875013609528,0.5561184684059017,0.5550450810202588,6271.345000000001,6876.512858116647,0.18601340726754395,0.15396066974957107,0.08757781197777915,0.0960288343490783,9833.53070941677,9964.228
Auto & Truck,34,0.003952494508035364,284559.324,290658.1626753761,0.020982857041546853,0.236008473424988,0.23675434053330363,0.5868901380099794,0.5878916076486685,22484.212,22799.058264924763,0.05973478162698552,0.05957489704615838,0.04819731976726051,0.04887222650217772,6098.838675376086,4900.1050000000005
Auto Parts,39,0.0075611251831979795,20838.128,23423.352526427,0.11036953499761672,0.2783441349406412,0.2776627158727018,0.4351723331289274,0.43433805585399404,5103.094000000002,5172.379094714601,0.12920741393432222,0.12163688506694971,0.05306898539439057,0.05378950703860445,2585.2245264269986,2664.8210000000004
Bank (Money Center),15,0.01886283466215346,2628631.3,2658637.0450680964,0.011286138182629593,0.6834685244695483,0.6837066086251078,0.693778330991273,0.6940121322236005,0,377.01298638055187,0,0.00017809965864835952,0,0.0008120089321794556,30005.745068096556,27080.9
Banks (Regional),625,0.020805410022337326,538673.936,553781.4219037938,0.027280593581231388,0.5018289906859653,0.5048182884466578,0.506499457078579,0.5094881228191538,0.007,-339.48918075874394,1.133253568354782e-08,-0.0005337495814512601,3.6415348617892096e-08,-0.0017660881241903206,15107.48590379383,8511.887000000006
Beverage (Alcoholic),19,0.014451752843801059,21915.401999999995,22733.856369504265,0.03600156331603135,0.1931848033726323,0.19656022020066688,0.42598293287143607,0.43125175321914566,6042.263,6078.715126099146,0.16996765301133673,0.16670846804136458,0.20626605729454345,0.20751043151831927,818.4543695042703,334.664
Beverage (Soft),29,0.011217673331720704,102493.327,107446.76460126587,0.046101319287258496,0.1419252480383289,0.1461578752429545,0.5511056709535626,0.5595832431014813,32878.72400000001,33030.895479746825,0.3294667044840951,0.31427615676634674,0.19303402977387185,0.19392744260680844,4953.437601265861,1327.124
Broadcasting,22,0.010155002155659116,58764.43,63950.57700173333,0.08109617215170335,0.6358991595497592,0.6382079868292138,0.5831533236620003,0.5855786439602378,8605.783,8571.213599653334,0.1315607654126901,0.12065125627115969,0.11778498155713862,0.1173118396963372,5186.147001733327,4550.69
Brokerage & Investment Banking,27,0.02436233719065059,1163538.0119999996,1175572.134970433,0.010236822235273646,0.6923605709657238,0.6933076588770894,0.7885004898217336,0.789241700535916,1757.669,1510.7934059132804,0.0018239612063977594,0.0015445796412552905,0.007705853109232633,0.006623517888956914,12034.12297043344,6813.93
Building Materials,44,0.0095770875181014,40165.05999999998,43858.5333893718,0.08421333555733651,0.15292173644423332,0.15361123144803443,0.4608694829095122,0.46218986293745,17581.953000000005,17775.86632212564,0.28861003538426366,0.2712524890179292,0.13549668839875367,0.13699109649917485,3693.473389371815,3461.0029999999997
Business & Consumer Services,162,0.014805686753662036,94353.479,105382.26559677397,0.10465505305203444,0.15298638691141817,0.15210606535531057,0.49995406272311305,0.4982516570077851,27783.981999999993,28214.89668064521,0.3291223467806229,0.29151280182864336,0.11098788170854047,0.11270924431242947,11028.786596773964,11741.300000000001
Cable TV,10,0.009691368775554958,276310.9,289070.50788026844,0.04414012336932478,0.4968344191456318,0.5042600346325823,0.6707423616275149,0.6772686128896829,43140.50000000001,42280.31842394631,0.12119498353805705,0.11344762501969356,0.19465081924755748,0.1907696623652657,12759.60788026842,4299.6
Chemical (Basic),32,0.017631608365966285,45276.30899999999,49913.41357864023,0.09290297429436148,0.31218675111557936,0.31354657676699077,0.47278894818278444,0.47436586419689647,10184.037000000002,10365.69308427195,0.12949604947856116,0.12379076149996115,0.07880938244885832,0.08021513184073013,4637.1045786402465,4322.531000000001
Chemical (Diversified),4,0.009904309626217373,6160.389999999999,6785.917334856474,0.09218021735151369,0.4114118406214004,0.4101286201966363,0.579869094912436,0.5785769375288069,199,205.6645330287052,0.01905869075200674,0.018401648247773173,0.015232688891083214,0.015742833404804896,625.5273348564742,661.6
Chemical (Specialty),68,0.013752569253916911,120064.11399999999,128923.33398555113,0.06871696311037089,0.21066391471331172,0.21148852013848732,0.4163400387308392,0.4175438528376446,28742.069999999992,29103.66500288978,0.15816827942357528,0.15189380087191032,0.13090390749762712,0.13255076866002388,8859.219985551143,8222.448000000002
Coal & Related Energy,18,0.010816975935925342,2736.996,2906.0216831121743,0.05816394423153714,0.18412436356575085,0.18396815851589854,0.28774641049694966,0.28753327724807276,2131.81,2144.101863377565,0.30710439864927364,0.3013402853423504,0.20509759118732937,0.20628016917033085,169.0256831121742,172.09
Computer Services,72,0.011196442164864432,87646.88799999999,95760.25622757588,0.08472584083624769,0.22435057335558692,0.22566035729965525,0.5585598455942673,0.5604110631077107,20538.171999999995,21385.66635448482,0.3606525009236136,0.32528042236951676,0.06978175075516928,0.072661249466694,8113.368227575891,7396.805
Computers/Peripherals,36,0.02881568208361682,177649.71700000003,193293.13420033955,0.08093105461327886,0.05760544730285778,0.05741744674704877,0.6544432289717795,0.6536584402190012,126674.59400000001,126596.01855993213,0.6623127392242324,0.607497292828574,0.21063899949335566,0.2105083414698482,15643.417200339522,16315.135000000004
Construction Supplies,45,0.005955634610380695,87851.96999999999,91231.18611860684,0.03704014232823457,0.1965338642845934,0.19808486343548007,0.48935691514026175,0.49180430113455675,31349.113,31447.548776278643,0.2280439089200304,0.22233708013559714,0.1516624134275202,0.15213863128408384,3379.216118606855,2490.439
Diversified,23,0.007258574631545479,206049.25,215723.25983867538,0.04484453760762706,0.15759169881350352,0.1607420785589129,0.2594982886307333,0.2640473156058605,121205.516,121951.60703226493,0.21339975716430631,0.21092169697162091,0.22931748516386233,0.23072906876887173,9674.009838675382,4655.200000000001
Drugs (Biotechnology),572,0.015220600958199935,186718.10800000004,199648.11479338043,0.06476398140178734,0.1392686500951031,0.14082267604024337,0.49817000513675974,0.501395939147228,2036.5570000000316,1742.3636413239124,0.009601065167040797,0.0077385417633905225,0.010772125793898567,0.009216025047693758,12930.006793380395,10369.33
Drugs (Pharmaceutical),245,0.008819329731322425,254877.376,265101.6424955001,0.03856734495967394,0.13566407981606562,0.1382882750021232,0.4491607480051927,0.45465918255676324,66555.054,66532.18770090002,0.191666624133533,0.1859623205045425,0.1816047184019137,0.18154232452557567,10224.26649550011,4404.208999999998
Education,31,0.032343955263305024,4907.42,7979.020495725578,0.3849595946483729,0.1602699363013773,0.16383109786985448,0.34140256308441597,0.3473237691584027,1145.1280000000004,998.5669008548842,0.10817739999826158,0.07110872663650698,0.05815213773071442,0.05070944029998905,3071.600495725578,2864.907
Electrical Equipment,103,0.010484353745414126,49547.295000000006,52674.297859839106,0.05936487028568911,0.1756713115049333,0.17619594793469248,0.38387753936548985,0.3847337674315113,8440.315000000006,8644.80842803217,0.1589551017459365,0.15324003987909982,0.09001062757621153,0.09219142080399816,3127.0028598391,2936.9350000000004
Electronics (Consumer & Office),13,0.008716727027361985,762.261,969.0476664104436,0.21339163549758597,0.15386702849389416,0.15486981955971799,0.25710353206147607,0.25857353230538926,-4.940000000000008,-2.7183332820887505,-0.0024599274466177426,-0.0012182846288371853,-0.0007643401586021315,-0.00042059337894031676,206.78666641044367,199.53100000000003
