Industry_Name,Number_of_firms,Gross_Margin,Net_Margin,Pre_tax_Pre_stock_compensation_Operating_Margin,Pre_tax_Unadjusted_Operating_Margin,After_tax_Unadjusted_Operating_Margin,Pre_tax_Lease_adjusted_Margin,After_tax_Lease_Adjusted_Margin,Pre_tax_Lease_R_D_adj_Margin,After_tax_Lease_R_D_adj_Margin,EBITDA_Sales,EBITDASG_A_Sales,EBITDAR_D_Sales,COGS_Sales,R_D_Sales,SG_A_Sales,Stock_Based_Compensation_Sales,Lease_Expense_Sales
Advertising,57,0.28112740221764776,0.008858188662687809,0.12256422161946924,0.09613021337246905,0.09090261199802879,0.09962500794544552,0.09420735817443829,0.10140072310597556,0.09598307333496833,0.15139457024713096,0.28374014901438355,0.17059353255589746,0.7188725977823522,0.0191989623087665,0.1323455787672526,0.026434008247000186,0.033450826644128226
Aerospace/Defense,70,0.17274989538212535,0.04962888943452494,0.09708990671247336,0.0853938467891159,0.07918119345550086,0.08555788141123705,0.07933329407675112,0.08770115426633238,0.08147656693184646,0.12132117099230325,0.18547217531525445,0.16330143675008102,0.8272501046178746,0.04198026575777775,0.0641510043229512,0.011696059923357469,0.007373534547443425
Air Transport,25,0.25796602840170507,0.027935480614616377,0.07218486100503635,0.06895611482307311,0.06301138081172555,0.06690598009931532,0.061137989015718826,0.06722710910472822,0.061459118021131715,0.08108201533309943,0.1170234315551253,0.08434972998452789,0.7420339715982949,0.0032677146514284595,0.035941416222025874,0.003228746181963235,0.06321495680154138
Apparel,38,0.519306402894369,0.03149966106137127,0.09588215051790955,0.08757781197777915,0.07865112610762458,0.0960288343490783,0.08624074739699926,0.09604206456031172,0.08625397760823268,0.12388330467718543,0.5529445850214513,0.12516427791576656,0.480693597105631,0.00128097323858115,0.4290612803442658,0.008304338540130397,0.05377627011773434
Auto & Truck,34,0.12453273220526889,0.03529895844181774,0.057854289703649045,0.04819731976726051,0.046695053882456455,0.04887222650217772,0.04734892439859248,0.05097954162021133,0.049456239516626095,0.08769585131912701,0.14811616108203532,0.14132050167749272,0.875467267794731,0.05362465035836569,0.060420309762908304,0.00965696993638854,0.003952494508035364
Auto Parts,39,0.15010788831030233,0.01617828604373789,0.061610428409510316,0.05306898539439057,0.045312628291332216,0.05378950703860445,0.0459278412862197,0.058520548536996245,0.050658882784611496,0.08965884124138161,0.16966661581372552,0.13161030257707934,0.8498921116896977,0.04195146133569772,0.08000777457234391,0.008541443015119752,0.0075611251831979795
Bank (Money Center),15,1,0.3088755765172521,0.02022551963550885,0,0,0.0008120089321794556,0.0006683992505201265,0.0008120089321794556,0.0006683992505201265,0,0.5596336479741613,0,0,0,0.5596336479741613,0.02022551963550885,0.01886283466215346
Banks (Regional),625,0.9936161812995771,0.2967248706535917,0.01516483378939828,3.6415348617892096e-08,2.997201182938355e-08,-0.0017660881241903206,-0.001453596248806972,-0.0017660881241903206,-0.001453596248806972,0,0.499641784816742,0,0.006383818700422927,0,0.499641784816742,0.015164797374049662,0.020805410022337326
Beverage (Alcoholic),19,0.4525035212541742,0.08588248467068164,0.21200131496568872,0.20626605729454345,0.18477308112863744,0.20751043151831927,0.1858877912385795,0.20751043151831927,0.1858877912385795,0.23085294573479345,0.46985034925789104,0.23085294573479345,0.5474964787458259,0,0.23899740352309756,0.005735257671145244,0.014451752843801059
Beverage (Soft),29,0.5451717776278392,0.1373492302712989,0.19833003114714384,0.19303402977387185,0.18014890315299392,0.19392744260680844,0.18098268019274635,0.1939726828971502,0.18102792048308808,0.20471849018562646,0.5520338518269293,0.2096363579755631,0.4548282223721608,0.0049178677899366086,0.3473153616413029,0.005296001373272021,0.011217673331720704
Broadcasting,22,0.38569422488657124,-0.014077480547742714,0.12548869134383103,0.11778498155713862,0.10853308395935406,0.1173118396963372,0.1080971069389889,0.11731512451023196,0.10810039175288366,0.1978461201557549,0.41883738118212227,0.19788718032943942,0.6143057751134288,4.106017368453468e-05,0.2209912610263674,0.0077037097866923965,0.010155002155659116
Brokerage & Investment Banking,27,0.6205550753177238,0.12436089656483781,0.04164861938681809,0.007705853109232633,0.006408155496984104,0.006623517888956914,0.0055080900151908705,0.0057932474418426055,0.004677819568076562,0.006840122924751335,0.3809424609140153,0.010661915565157856,0.3794449246822762,0.0038217926404065213,0.37410233798926396,0.03394276627758546,0.02436233719065059
Building Materials,44,0.3093719415001078,0.07996521589877477,0.14185864561118647,0.13549668839875367,0.10848441089265634,0.13699109649917485,0.10968089756936611,0.13773258950466172,0.110422390574853,0.1779040284763598,0.33796830811687145,0.1890784044258198,0.6906280584998922,0.011174375949460018,0.16006427964051165,0.006361957212432788,0.0095770875181014
Business & Consumer Services,162,0.33498034705498453,0.054476018656618046,0.12480745183922143,0.11098788170854047,0.09895847503616166,0.11270924431242947,0.10049326798511136,0.11307358791595411,0.100857611588636,0.14848106170571504,0.33666190003818663,0.156200105304335,0.6650196529450154,0.007719043598619976,0.18818083833247162,0.013819570130680968,0.014805686753662036
Cable TV,10,0.5904908266111748,0.1069407508543511,0.20604186613557182,0.19465081924755748,0.14848841042598318,0.1907696623652657,0.1455276891801485,0.19087795085663556,0.14563597767151837,0.3198702162430933,0.5772448881064044,0.32147198351127243,0.4095091733888252,0.0016017672681791562,0.2573746718633111,0.011391046888014362,0.009691368775554958
Chemical (Basic),32,0.13746093962265205,0.03524959693527337,0.08304171104514899,0.07880938244885832,0.07176915173312876,0.08021513184073013,0.07304932216803187,0.08017253592667842,0.07300672625398015,0.1886437253264034,0.234605276857113,0.19803134815975104,0.862539060377348,0.009387622833347656,0.0459615515307096,0.004232328596290669,0.017631608365966285
Chemical (Diversified),4,0.18176807886705543,-0.01009261321753428,0.018771112391983782,0.015232688891083214,0.012964101336315011,0.015742833404804896,0.013398270590301705,0.014639496833568348,0.012294934019065158,0.1930073537910642,0.3442342741623744,0.2104316362280801,0.8182319211329445,0.017424282437015895,0.15122692037131022,0.003538423500900566,0.009904309626217373
Chemical (Specialty),68,0.33129926165812446,0.10932573388706827,0.13869564507097365,0.13090390749762712,0.11729543056948599,0.13255076866002388,0.11877108773529667,0.1304736636407548,0.11669398271602757,0.2130197350572759,0.37291560845303806,0.23973112197023175,0.6687007383418755,0.02671138691295585,0.15989587339576214,0.007791737573346513,0.013752569253916911
