Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Advertising,57,0.5641442530150431,0.4529183853676568,0.7475819152029042,0.25241808479709577
Aerospace/Defense,70,0.36402149671230677,0.30600008006860596,0.7970822237983712,0.20291777620162876
Air Transport,25,0.4465099892190103,0.24501377039770522,0.38145960962393743,0.6185403903760626
Apparel,38,0.37035509904588476,0.276454125399787,0.6722124986390472,0.3277875013609528
Auto & Truck,34,0.59698514250326,0.4863846623874507,0.7632456594666963,0.23675434053330363
Auto Parts,39,0.3707196400160045,0.2905678351657934,0.7223372841272981,0.2776627158727018
Bank (Money Center),15,0.22510527234137442,0.11507592412684746,0.3162933913748922,0.6837066086251078
Banks (Regional),625,0.1867735328629955,0.11603587115497116,0.49518171155334223,0.5048182884466578
Beverage (Alcoholic),19,0.4970414041193621,0.4202475363210791,0.8034397797993331,0.19656022020066688
Beverage (Soft),29,0.42961071148670704,0.3800009625404618,0.8538421247570455,0.1461578752429545
Broadcasting,22,0.38457133667076027,0.20653392492147526,0.36179201317078624,0.6382079868292138
Brokerage & Investment Banking,27,0.25213732428210645,0.12757778202816433,0.30669234112291055,0.6933076588770894
Building Materials,44,0.28715879840268466,0.2523332353929605,0.8463887685519655,0.15361123144803443
Business & Consumer Services,162,0.41290054994468384,0.36330880989605707,0.8478939346446894,0.15210606535531057
Cable TV,10,0.3300530419558696,0.2051739270991693,0.4957399653674177,0.5042600346325823
Chemical (Basic),32,0.389245235426506,0.2946568907304802,0.6864534232330093,0.31354657676699077
Chemical (Diversified),4,0.37242278384437877,0.2557626520751138,0.5898713798033637,0.4101286201966363
Chemical (Specialty),68,0.36600539277751015,0.30526060696537544,0.7885114798615127,0.21148852013848732
Coal & Related Energy,18,0.5569225989970031,0.4762820176076425,0.8160318414841015,0.18396815851589854
Computer Services,72,0.49612772702274627,0.4084082351560597,0.7743396427003447,0.22566035729965525
Computers/Peripherals,36,0.38898164531276785,0.37119481749813427,0.9425825532529513,0.05741744674704877
Construction Supplies,45,0.37831296869001413,0.3194191194350929,0.80191513656452,0.19808486343548007
Diversified,23,0.5225050340018127,0.4562428167402272,0.8392579214410871,0.1607420785589129
Drugs (Biotechnology),572,0.6198094773831897,0.5508133868521491,0.8591773239597567,0.14082267604024337
Drugs (Pharmaceutical),245,0.6530341383257241,0.5816304677145357,0.8617117249978767,0.1382882750021232
Education,31,0.43781301036597053,0.38124165708679525,0.8361689021301455,0.16383109786985448
Electrical Equipment,103,0.5442389893824032,0.4687034370649681,0.8238040520653075,0.17619594793469248
Electronics (Consumer & Office),13,0.3942415498208712,0.3460436268615765,0.845130180440282,0.15486981955971799
Electronics (General),129,0.4294264362055603,0.3796438127294208,0.8532615926517355,0.14673840734826454
Engineering/Construction,43,0.3368374054652199,0.28192857510067426,0.7923635378297904,0.20763646217020956
Entertainment,98,0.6118583017241714,0.5047920303767189,0.776726407411896,0.22327359258810395
Environmental & Waste Services,57,0.4606641855124769,0.3953843635712403,0.8200309682356417,0.17996903176435833
Farming/Agriculture,42,0.5413972223878111,0.41054382722459476,0.6882166492426327,0.3117833507573673
Financial Svcs. (Non-bank & Insurance),172,0.38661906483318564,0.17905162347095918,0.22023536422521028,0.7797646357747897
Food Processing,82,0.36509661152078565,0.2932085342214996,0.7479212183370647,0.2520787816629353
Food Wholesalers,14,0.2730341205580487,0.2076880256064722,0.6913967859048872,0.3086032140951128
Furn/Home Furnishings,31,0.46652480430214993,0.3501455794721824,0.6777393837642297,0.3222606162357703
Green & Renewable Energy,17,0.5733620520250774,0.3261370802304435,0.4142393802121054,0.5857606197878946
Healthcare Products,230,0.5220553450431473,0.4755478677265988,0.8876027024944009,0.11239729750559911
Healthcare Support Services,119,0.495257334489641,0.4129608723231399,0.7882476948159491,0.2117523051840508
Heathcare Information and Technology,128,0.5415316524692178,0.48225134453552154,0.8615496523681622,0.13845034763183783
Homebuilding,32,0.3231388378117894,0.28711269183120325,0.8589594243666528,0.14104057563334713
Hospitals/Healthcare Facilities,32,0.46328064944317854,0.30721721964961624,0.5563496280559845,0.44365037194401546
Hotel/Gaming,68,0.4079972106407317,0.3046789014105631,0.6726327945075419,0.32736720549245807
