Industry_Name,Number_of_firms,ROE_unadjusted_,ROE_adjusted_for_R_D_
Advertising,57,0.032541006196152036,0.032474569443161974
Aerospace/Defense,70,0.13191483651952815,0.10364854197742546
Air Transport,25,0.219363538879951,0.20666357216509
Apparel,38,0.09204171598277805,0.09105770034699229
Auto & Truck,34,0.09370908108633746,0.0698608662354585
Auto Parts,39,0.05723613672909091,0.05177085855831441
Bank (Money Center),15,0.148740347323159,0.148740347323159
Banks (Regional),625,0.1214259211695359,0.1214259211695359
Beverage (Alcoholic),19,0.0869908980857384,0.08699089808573839
Beverage (Soft),29,0.30557353679830446,0.2959769596028148
Broadcasting,22,-0.021565149058570276,-0.02155618504305012
Brokerage & Investment Banking,27,0.10413110832014963,0.10242811104852094
Building Materials,44,0.21354650605206582,0.19823126238537875
Business & Consumer Services,162,0.1399754737551486,0.13315815887824048
Cable TV,10,0.19466771140821634,0.19321630016434382
Chemical (Basic),32,0.08894604157698592,0.08295064919668095
Chemical (Diversified),4,-0.02360500422508987,-0.0232503560262429
Chemical (Specialty),68,0.1494327338476946,0.13179844262252313
Coal & Related Energy,18,0.29069215958320355,0.2831453244173502
Computer Services,72,0.18772570752648005,0.1444333695373659
Computers/Peripherals,36,-1.234289008499134e-05,0.5206232196298658
Construction Supplies,45,0.27112218233648655,0.23308573695427284
Diversified,23,0.15867710900985088,0.1532276548578188
Drugs (Biotechnology),572,-0.11590040227481527,-0.03897387619007254
Drugs (Pharmaceutical),245,0.17320808107952249,0.12373557468433737
Education,31,0.016746880536467494,0.015155466564130601
Electrical Equipment,103,0.23703235618633814,0.2057835152389273
Electronics (Consumer & Office),13,-0.06626800138724744,-0.03304324245246328
Electronics (General),129,0.08797660106927524,0.07182283610906928
Engineering/Construction,43,0.06411400934520678,0.06154796598765233
Entertainment,98,-0.0027275543810870717,0.0010365130439865548
Environmental & Waste Services,57,0.2101163487107984,0.2041698163159977
Farming/Agriculture,42,0.2751209698375531,0.24502385363843907
Financial Svcs. (Non-bank & Insurance),172,0.22361139419471984,0.2052554751965988
Food Processing,82,0.10101697021572027,0.09812973691170312
Food Wholesalers,14,0.21114375328629606,0.211143753286296
Furn/Home Furnishings,31,-0.06526279080199633,-0.056441583779683564
Green & Renewable Energy,17,0.10675101428653834,0.10666123300485017
Healthcare Products,230,0.08305797928561881,0.0698011365147881
Healthcare Support Services,119,0.15620310034184115,0.15363894728303804
Heathcare Information and Technology,128,0.0517765805634577,0.04477886360563565
Homebuilding,32,0.2288315257494398,0.22883152574943985
Hospitals/Healthcare Facilities,32,0.6196567951123925,0.6194289641701385
Hotel/Gaming,68,0.3586909891606898,0.2869750917848251
Household Products,93,0.26982900687477657,0.23841255782055826
Information Services,18,0.08428916780703317,0.07595272969068437
Insurance (General),21,0.13524697097521135,0.13462781413402053
Insurance (Life),23,0.013240127450855269,0.013240127450855269
Insurance (Prop/Cas.),50,0.10356883343367865,0.10356883343367865
Investments & Asset Management,334,0.13783634813168708,0.13605396993563604
Machinery,103,0.19022656097823037,0.17162219181759963
Metals & Mining,68,0.12165895420384185,0.12070160551895567
Office Equipment & Services,17,0.026638000470444,0.023100853014143382
Oil/Gas (Integrated),4,0.19851813516763073,0.19672488185405085
Oil/Gas (Production and Exploration),166,0.31094799857184063,0.31057742641810726
Oil/Gas Distribution,24,0.42406084058617804,0.42395112080325326
Oilfield Svcs/Equip.,100,0.296469137164352,0.2872222385205553
Packaging & Container,22,0.08543065693073756,0.08227185977527088
Paper/Forest Products,7,0.1516544447144206,0.15296079275833585
Power,50,0.08603363410590081,0.08579356554502285
Precious Metals,61,-0.023341970007055318,-0.02335621504332312
Publishing & Newspapers,21,0.03396787791067467,0.03350452993784309
R.E.I.T.,193,0.04572271115802798,0.04572045443386233
Real Estate (Development),17,-0.08538037893418758,-0.08538037893418758
Real Estate (General/Diversified),11,0.09109205615781056,0.09109205615781056
Real Estate (Operations & Services),60,-0.08269945359431624,-0.07337119492167209
Recreation,55,0.025626629604530146,0.020754388646770993
Reinsurance,1,0.3123460169723515,0.3123460169723515
Retail (Automotive),30,0.4732854552615435,0.4717255061822297
Retail (Distributors),62,0.2545162298582571,0.2536703194807887
Retail (General),26,0.1955014547502191,0.12483784380621414
Retail (Grocery and Food),14,0.14777603490447422,0.19878247164595694
Retail (REITs),28,0.06523063162826355,0.0652244838280841
Retail (Special Lines),105,0.09643878418310899,0.09508717866484913
Rubber& Tires,3,-0.0999805523142746,-0.07574514400485395
Semiconductor,63,0.12611876313091647,0.08977292852784687
Semiconductor Equip,30,0.3289066823779071,0.21933641387689246
Shipbuilding & Marine,8,0.07817317702121597,0.07817317702121598
Shoe,13,0.29903214866474775,0.29669949723786926
Software (Entertainment),84,0.2325593855621183,0.15427237987403614
Software (Internet),35,-0.1454065112919735,-0.07694818203458641
Software (System & Application),351,0.24441835382299518,0.15615649046331734
Steel,29,0.22194709191501236,0.2214995973662991
Telecom (Wireless),13,0.09739597751390545,0.09725450650107033
Telecom. Equipment,66,0.2455054145923156,0.15423648551673066
Telecom. Services,42,-0.0034470942023052953,-0.003373171366624172
Transportation,36,0.2826737687263194,0.24046925928280993
Transportation (Railroads),4,0.3167794507858253,0.31677945078582537
Trucking,22,0.12974692001389668,0.1245788038810939
Utility (General),14,0.11153676746474966,0.11148112972979586
Utility (Water),13,0.10016189457565504,0.10016189457565507
Total Market,6481,0.15979158800682636,0.13823562092210984
Total Market (without financials),5214,0.16592552471920183,0.13839857100630049
