Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Advertising,57,0.49165562875689806,0.03848233494528914,0.48502758507752175,0.012534141364144605
Aerospace/Defense,70,0.23705668031239338,0.3149899287415406,0.10327249811695312,0.45042764203965496
Air Transport,25,0.040626413016350775,0.02995579818515651,0.067488677967712,0.010944385248270856
Apparel,38,0.12157384101520212,0.20250889715645978,0.08456784815124903,0.24650261726088157
Auto & Truck,34,0.051275303975940434,0.12186529165637239,0.15931792586757915,-0.02199384121059546
Auto Parts,39,0.17105706417547567,0.12240282122549762,0.13922925868163175,0.15450924675978886
Beverage (Alcoholic),19,0.10704086976172907,0.21921171015862204,0.17948185845753026,0.17116248155736727
Beverage (Soft),29,0.11202895204797536,0.07627678164158225,0.2671451826238841,-0.07141616874567232
Broadcasting,22,0.2025147987709321,0.024025402560786162,0.029534281823345443,0.10922957427443249
Building Materials,44,0.13511346340526145,0.12164686607929905,0.08669587120557587,0.1835621131134187
Business & Consumer Services,162,0.18020506518437085,0.016879828064863586,0.06759856254781174,0.1348442517919118
Cable TV,10,0.08356216797169339,0.002583582923265873,0.07877220703676666,-0.000977411923104362
Chemical (Basic),32,0.11150638959604779,0.13984123898299675,0.10558433176115992,0.14739172149447363
Chemical (Diversified),4,0.12458885135574758,0.17683123328901312,0.12893238752879094,0.17621388838496
Chemical (Specialty),68,0.16863870920590304,0.17981828648987744,0.12458545697747346,0.22747765886505658
Coal & Related Energy,18,0.07008208964198526,0.10208487967962672,0.11057534905535578,0.061300782894183045
Computer Services,72,0.17923909254421233,0.07669088807260609,0.12825132481097062,0.1385312172798853
Computers/Peripherals,36,0.08919882433612755,0.048991770266758015,0.18266848509690337,-0.09869344487486884
Construction Supplies,45,0.13609834717398847,0.19286186339261382,0.11503093722597335,0.19378020407952468
Diversified,23,0.13300414275726025,0.10495149030189163,0.1462486473580167,0.05002077101846478
